T,D,P,E
人,인(간),じん·にん/ひと,人
日,일,じつ·にち/か·ひ,日
月,월,がつ·げつ/つき,月
年,년,ねん/とし,干
行,(향)하다/가다,ぎょう·こう·あん/いく·おこなう·ゆく,行
出,내다/나가다,しゅつ·すい/だす·でる,凵
言,말하다/말,げん·ごん/いう·こと,言
上,오르다/위,じょう·しょう/あがる·あげる·うえ·うわ·かみ·のぼる·のぼす·のぼせる,一
話,이야기(하다),わ/はなし·はなす,言
見,보(이)다,けん/みえる·みせる·みる,見
続,계속[하/되]다,ぞく/つづく·つづける,糸
多,많다,た/おおい,夕
使,사용하다(쓰다),し/つかう,亻
受,받다,じゅ/うかる·うける,又
中,안,じゅう·ちゅう/なか,丨
入,들어가다/넣다,にゅう/いる·いれる·はいる,入
考,생각하다,こう/かんがえる,耂
新,새로운,しん/あたらしい·あらた·にい,斤
大,큰/크다,たい·だい/おお·おおいに·おおきい,大

[{'k': '含', 'km': '포함하다/포함시키다', 'p': '口', 's': 'がん', 'm': 'ふくむ·ふくめる', 'knows': 0}, {'k': '回', 'km': '돌(리)다', 'p': '口', 's': 'かい·え', 'm': 'まわす·まわる', 'knows': 0}, {'k': '代', 'km': '대신하다', 'p': '亻', 's': 'たい·だい', 'm': 'かえる·かわる·よ·しろ', 'knows': 0}, {'k': '変', 'km': '바꾸다/바뀌다', 'p': '夂', 's': 'へん', 'm': 'かえる·かわる', 'knows': 0}, {'k': '打', 'km': '치다', 'p': '扌', 's': 'だ', 'm': 'うつ', 'knows': 0}]

[{'k': '含', 'km': '포함하다/포함시키다', 'p': '口', 's': 'がん', 'm': 'ふくむ·ふくめる', 'knows': 0}

f"\"{i['k']}\",\"{i['km']}\",\"{i['s']}/{i['m']}\",\"{i['p']}\""


for i in a : f"\"{i['k']}\",\"{i['km']}\",\"{i['s']}/{i['m']}\",\"{i['p']}\""
