T,D,P
日本,일본,にほん
発表,발표,はっぴょう
死亡,사망,しぼう
今年,올해,ことし
政府,정부,せいふ
必要,필요,ひつよう
予定,예정,よてい
事故,사고,じこ
事件,사건,じけん
時間,시간,じかん
病院,병원,びょういん
被害,피해,ひがい
億円,(몇)억엔,おくえん
選手,선수,せんしゅ
万円,(몇)만엔,まんえん
今回,이번,こんかい
地震,지진,じしん
万人,만인,ばんにん
関税,관세,かんぜい
今月,금월,こんげつ
今後,금후, 차후, 이후,こんご
逮捕,체포,たいほ
説明,설명,せつめい
韓国,한국,かんこく
地域,지역,ちいき
調査,조사,ちょうさ
指摘,지적,してき
家族,가족,かぞく
先月,지난달,せんげつ
映画,영화,えいが
値上,인상,ねあげ
販売,판매,はんばい
新型,신형,しんがた
安全,안전,あんぜん
政権,정권,せいけん
危険,위험,きけん
価格,가격,かかく
支援,지원,しえん
上昇,상승,じょうしょう
計画,계획,けいかく
大雨,큰비,おおあめ
住宅,주택,じゅうたく
会談,회담,かいだん
法律,법률,ほうりつ
主張,주장,しゅちょう
企業,기업,きぎょう
会社,회사,かいしゃ
中国,중국,ちゅうごく
警察,경찰,けいさつ
女性,여성,じょせい
男性,남성,だんせい
去年,작년,きょねん
影響,영향,えいきょう
理由,이유,りゆう
世界,세계,せかい
確認,확인,かくにん
東京,도쿄,とうきょう
問題,문제,もんだい
攻撃,공격,こうげき
一方,일방,いっぽう
場所,장소,ばしょ
発生,발생,はっせい
値段,가격,ねだん
仕事,업무,しごと
自分,자기,じぶん
場合,사정, 형편, 상황,ばあい
原因,원인,げんいん
試合,경기,しあい
情報,정보,じょうほう
内容,내용,ないよう
対応,대응,たいおう
記事,기사,きじ
結果,결과,けっか
一部,일부,いちぶ
建物,건물,たてもの
参加,참가,さんか
一緒,함께,いっしょ
学校,학교,がっこう
人気,인기,にんき
合意,합의,ごうい
大学,대학,だいがく
方針,방침,ほうしん
避難,피난,ひなん
大切,중요,たいせつ
現場,현장,げんば
見通,전망,みとおし
現在,현재,げんざい
写真,사진,しゃしん
生活,생활,せいかつ
年間,연간,ねんかん
運転,운전,うんてん
病気,병,びょうき
心配,걱정,しんぱい
判断,판단,はんだん
利用,이용,りよう
目指,목표,めざし
以上,이상,いじょう
相次,연달아,あいず
状況,상황,じょうきょう
年前,작년,ねんまえ
