T,D,P
"実際","실제","じっさい/",""
"確認","확인","かくにん/",""
"改善","개선","かいぜん/",""
"観察","관찰","かんさつ/",""
"効果","효과","こうか/",""
"態度","태도","たいど/",""
"意識","의식","いしき/",""
"効率","효율","こうりつ/",""
"翌日","익일(다음날)","よくじつ/",""
"簡単","간단","かんたん/",""
"圧力","압력","あつりょく/",""
"接続","연결","せつぞく/",""
"圧縮","압축","あっしゅく/",""
"即興","즉흥","そっきょう/",""
"変換","변환","へんかん/",""
"姿勢","자세","しせい/",""
"接続","연결","せつぞく/",""
"直接","직접","ちょくせつ/",""
"台詞","대사","せりふ/",""
"結論","결론","けつろん/",""
"圧縮","압축","あっしゅく/",""
"即興","즉흥","そっきょう/",""
"変換","변환","へんかん/",""
"姿勢","자세","しせい/",""
"接続","연결","せつぞく/",""
"台詞","대사","せりふ/",""
"非常","비상","ひじょう/",""
"結論","결론","けつろん/",""
"圧縮","압축","あっしゅく/",""
"即興","즉흥","そっきょう/",""
"対象","대상","たいしょう/",""
"種類","종류","しゅるい/",""
"瞬時","순간","しゅんじ/",""
"変換","변환","へんかん/",""
"反復","반복","はんぷく/",""
"機能","기능","きのう/",""
"経験","경험","けいけん/",""
"分析","분석","ぶんせき/",""
"失敗","실패","しっぱい/",""
"条件","조건","じょうけん/",""
"形式","형식","けいしき/",""
"負担","부담","ふたん/",""
"曖昧","애매","あいまい/",""
"結果","결과","けっか/",""
"可能","가능","かのう/",""
"余裕","여유","よゆう/",""
"完成","완성","かんせい/",""
"定着","정착","ていちゃく/",""
"翻訳","번역","ほんやく/",""
"改善","개선","かいぜん/",""
"観察","관찰","かんさつ/",""
"効果","효과","こうか/",""
"態度","태도","たいど/",""
"希望","희망","きぼう/",""
"意識","의식","いしき/",""
