T,D,P
"負担","부담","ふたん"
"判断","판단","はんだん"
"解析","해석","かいせき"
"使用","사용","しよう"
"成立","성립","せいりつ"
"模索","모색","もさく"
"直接","직접","ちょくせつ"
共感,공감,きょうかん
施行,시행,しこう
会話体,회화체,かいわたい
該当,해당,がいとう
抽象,추상,ちゅうしょう
補完,보완,ほかん
推測,추측,すいそく
実体,실물,じったい
話題,화제,わだい
文体,문체,ぶんたい
構築,구축,こうちく
中盤,중반,ちゅうばん
機能,기능,きのう
上限,상한,じょうげん
初級,초급,しょきゅう
読者,독자,どくしゃ
意欲,의욕,いよく
受容,수용,じゅよう
姿勢,자세,しせい
証拠,증거,しょうこ
主語,주어,しゅご
一方,일방,いっぽう
挑戦,도전,ちょうせん
単位,단위,たんい
前後,앞뒤,ぜんご
目安,기준,めやす
特徴,특성,とくちょう
統一,통일,とういつ
過程,과정,かてい
都度,매번,つど
複文,복문,ふくぶん
有効,유효,ゆうこう
文末,문말,ぶんまつ
文法,문법,ぶんぽう
馴染,익숙함,なじみ
