T,D,P,E
"快","(こころよ)快い:유쾌하다","かい",""
"賀","(축)하","が",""
"績","(공)적","せき",""
"永","(なが)永い:길다","えい",""
"態","(형)태","たい",""
"率","(ひき)率いる:이끌다","りつ·そつ",""
"財","재(산)","ざい·さい",""
"張","(は)張る:뻗다","ちょう",""
"提","(さ)提げる:들다","てい",""
"質","(재)질","しつ·しち·ち",""
"素","(원)소","そ·す",""
"報","(むく)報いる:되갚다","ほう",""
"志","(こころざし)志:뜻 / (こころざ)志す:뜻하다","し",""
"築","(きず)築く:쌓다","ちく",""
"護","(보)호","ご",""
"責","(せ)責める:비난하다","せき",""
"設","(もう)設ける:마련하다","せつ",""
"貿","무(역)","ぼう",""
"統","(す)統べる:총괄하다","とう",""
"測","(はか)測る:재다","そく",""
"招","(まね)招く:부르다","しょう",""
"豊","(ゆた)豊か:풍부함","ほう",""
"能","능(력)","のう",""
"接","(つ)接ぐ:잇다","せつ",""
"演","연(설)","えん",""
"識","(지)식","しき",""
"編","(あ)編む:엮다","へん",""
"貧","(まず)貧しい:가난하다","びん·ひん",""
"資","자(본)","し",""
"経","(へ)経る:지나다","けい·きょう",""
"織","(お)織る:(옷을)짜다","しき·しょく",""
"潔","(さぎよ)潔い:결백하다","けつ",""
"銭","(ぜに)銭:돈","せん",""
"貸","(か)貸す:빌려주다","たい",""
"慣","(な)慣らす:익숙하게하다 / (な)慣れる:익숙해지다","かん",""
"恩","은(인)","おん",""
"絶","(た)絶える:끊어지다 / (た)絶つ:끊다 / (た)絶やす:끊게하다","ぜつ",""
