



T,D,P,E
話,,わ/はなし·はなす,
語,,ご/かたらう·かたる,
文,,ぶん·もん/ふみ,
私,,し/わたくし·わたし,
考,,こう/かんがえる,
習,,しゅう/ならう,
成,,せい·じょう/なす·なる,
例,,れい/たとえる,
単,,たん/,
言,,げん·ごん/いう·こと,
日,,じつ·にち/か·ひ,
確,,かく/たしか·たしかめる,
練,,れん/ねる,
思,,し/おもう,
自,,し·じ/みずから,
今,,こん·きん/いま,
実,,じつ/み·みのる,
構,,こう/かまう·かまえる,
分,,ぶ·ふん·ぶん/わかつ·わかる·わかれる·わける,
理,,り/,
果,,か/はたす·はて·はてる,
方,,ほう/かた,
中,,じゅう·ちゅう/なか,
一,,いち·いつ/ひと·ひとつ,
間,,かん·けん/あいだ·ま,
状,,じょう/,
本,,ほん/もと,
使,,し/つかう,
際,,さい/きわ,
問,,もん/とい·とう·とん,
時,,じ/とき,
的,,てき/まと,
感,,かん/,
法,,ほう·はっ·ほっ/,
作,,さ·さく/つくる,
出,,しゅつ·すい/だす·でる,
態,,たい/,
提,,てい/さげる,
何,,か/なに·なん,
解,,かい·げ/とかす·とく·とける,
書,,しょ/かく,
学,,がく/まなぶ,
正,,しょう·せい/ただしい·ただす·まさ,
認,,にん/みとめる,
意,,い/,
用,,よう/もちいる,
葉,,よう/は,
造,,ぞう/つくる,
案,,あん/,
直,,じき·ちょく/ただちに·なおす·なおる,
要,,よう/かなめ·いる,
現,,げん/あらわす·あらわれる,
強,,きょう·ごう/つよい·つよまる·つよめる·しいる,
点,,てん/,
勉,,べん/,
題,,だい/,
伝,,でん/つたう·つたえる·つたわる,
然,,ぜん·ねん/,
会,,かい·え/あう,
明,,みょう·めい/あかす·あからむ·あかり·あかるい·あかるむ·あきらか·あく·あくる·あける,
対,,たい·つい/,
度,,ど·たく·と/たび,
内,,ない·だい/うち,
知,,ち/しる,
違,,い/ちがう·ちがえる,
況,,きょう/,
容,,よう/,
心,,しん/こころ,
形,,ぎょう·けい/かた·かたち,
目,,もく·ぼく/め·ま,
不,,ふ·ぶ/,
韓,,かん/,
整,,せい/ととのう·ととのえる,
場,,じょう/ば,
見,,けん/みえる·みせる·みる,
修,,しゅう·しゅ/おさまる·おさめる,
国,,こく/くに,
表,,ひょう/あらわす·あらわれる·おもて,
持,,じ/もつ,
安,,あん/やすい,
後,,ご·こう/あと·うしろ·のち·おくれる,
大,,たい·だい/おお·おおいに·おおきい,
章,,しょう/,
効,,こう/きく,
記,,き/しるす,
遅,,ち/おくらす·おくれる·おそい,
味,,み/あじ·あじわう,
観,,かん/,
頭,,ず·とう·と/あたま·かしら,
前,,ぜん/まえ,
動,,どう/うごかす·うごく,
必,,ひつ/かならず,
質,,しつ·しち·ち/,
気,,き·け/,
合,,かっ·がっ·ごう/あう·あわす·あわせる,
少,,しょう/すくない·すこし,
信,,しん/,
聞,,ぶん·もん/きく·きこえる,
緒,,しょ·ちょ/お,
詞,,し/,
面,,めん/おも·おもて·つら,
化,,か·け/ばかす·ばける,
手,,しゅ/て·た,
身,,しん/み,
能,,のう/,
立,,りつ·りゅう/たつ·たてる,
体,,たい·てい/からだ,
定,,じょう·てい/さだまる·さだめる·さだか,
改,,かい/あらたまる·あらためる,
善,,ぜん/よい,
部,,ぶ/,
段,,だん/,
再,,さ·さい/ふたたび,
主,,しゅ·す/おも·ぬし,
階,,かい/,
憶,,おく/,
難,,なん/むずかしい·かたい,
最,,さい/もっとも,
人,,じん·にん/ひと,
力,,りき·りょく/ちから,
昨,,さく/,
秒,,びょう/,
識,,しき/,
通,,つう·つ/かよう·とおす·とおる,
次,,じ·し/つぎ·つぐ,
流,,りゅう·る/ながす·ながれる,
回,,かい·え/まわす·まわる,
行,,ぎょう·こう·あん/いく·おこなう·ゆく,
切,,せつ·さい/きる·きれる,
察,,さつ/,
短,,たん/みじかい,
以,,い/,
覚,,かく/おぼえる·さます·さめる,
近,,きん/ちかい,
完,,かん/,
上,,じょう·しょう/あがる·あげる·うえ·うわ·かみ·のぼる·のぼす·のぼせる,
準,,じゅん/,
由,,ゆ·ゆう·ゆい/よし,
眠,,みん/ねむい·ねむる,
重,,じゅう·ちょう/おもい·かさなる·かさねる·え,
説,,せつ·ぜい/とく,
余,,よ/あます·あまる,
番,,ばん/,
