video_id,comment
0LlSFYSkPys,"
一時間以内に異変を全部見つけたの凄かった！
オチも完璧で楽しかったよ"
0LlSFYSkPys,"８番出口おつこよ～！
全部の異変を見つけるの！！最後の最後に脱出できないの悲しいなぁ…ｗ"
0LlSFYSkPys,ラストこよちゃんらしい運Gでよかった。
0LlSFYSkPys,"アーカイブで見たよ〜！
新異変コンプおめでとう！

からの最後の最後で閉じ込められエンドは草😂
さすが配信者持ってるね！めっちゃ面白かったw"
0LlSFYSkPys,最後の最後でポスター巨大化引いて気付かず０番、神懸かってんな……ｗ
0LlSFYSkPys,"おつこよー！
こよちゃんの感想で気になって、映画観てきました
そしたら、こよちゃんの配信の感想を聞き直したくなって、もう一度観に来ました
ネタバレ無いけど映画を見てたら分かる感想、かつ見劣りしないリアクションばかりで、再度観ても楽しかったです
･･･ループって、幸せかも知れない･･･！！"
0LlSFYSkPys,最後に閉じ込められちゃったこよちゃん！今助けに行くからね！
0LlSFYSkPys,43:56　ここすこ
0LlSFYSkPys,最後の最後で抜け出せないの面白かったです😂
0LlSFYSkPys,最初から最後まで、困り顔のこよちゃんがとても可愛かったです。❤❤❤
0LlSFYSkPys,"こよちゃ〜〜〜〜〜〜〜〜〜ん
閉じ込められちゃったー
オチとしては最高だったよ"
0LlSFYSkPys,"おつこよ〜〜
最後に配信者魂をみせたこよりさんグッドです"
0LlSFYSkPys,"8番出口おつこよ〜！

成長のこより！異変を見つける早さやさすこよな走りを魅せて新異変コンプおめでとう🎉

新異変を求め好奇心旺盛で色んな状況でびっくりしたり悲鳴や映画トークも楽しんで異変&おじさんに笑う声&後ろ姿やどきどきな心臓も最高に可愛すぎるこよちゃんが大好き

よう頑張ってえらいオチもついてこよちゃんと一緒で更に楽しくて面白い時間ありがとう！"
0LlSFYSkPys,"
終始こよちゃんのリアクションが面白かった
そしてまさかのENDで更に笑った
こよちゃんは最高の配信者です"
0LlSFYSkPys,"
最初前にコンプした異変残ってないって焦ってたのに結局一から終わらせてしまうとは一体何事()"
0LlSFYSkPys,
0LlSFYSkPys,"あーおもろかった！
こなれた８番出口で笑いをとるこよちゃん！流石っ！！"
0LlSFYSkPys,おつこよ〜
0LlSFYSkPys,"8番出口初めて見ました！
新感覚なホラゲって感じで面白かった。好きなジャンルかも。こよちゃんのリアクションもオツでしたん"
0LlSFYSkPys,8番出口配信お疲れ様です！
0LlSFYSkPys,"おつこよ。
「１時間弱で新旧全異変を見た上で８番出口から出たえり〜と」と「１時間強で新旧全異変を見たけど８番出口から出られなかったずのー（笑）」･･･どちらが優秀なのかは一目瞭然ですよね？w"
0LlSFYSkPys,exit 8 was great again! 
