video_id,comment
9XrqmccVUEk,"団長、もはや世代隠す気ないだろw

ぴちぴちピッチは敵キャラのキャラソンがかっこよかった記憶がある"
9XrqmccVUEk,相変わらず可愛い歌い方でほっこりしました
9XrqmccVUEk,アーカイブで見ました！歌枠ありがとうごさいます。聞いていて、元気になりました。
9XrqmccVUEk,"1:06:30 ナイトループ歌ってくれてありがとう！

REVERSI歌ってたのマジか…！🎤🎤"
9XrqmccVUEk,🤍🤍🤍💖💖💖
9XrqmccVUEk,
9XrqmccVUEk,42:41 記憶力の低下を嘆きつつもこういうオモシロへの反射神経が配信者としてスゲー
9XrqmccVUEk,"49:08 ？？？「時の列車デンライナー….次の駅は、過去か…未来か？」

仕事でリアタイ出来なかったので、アーカイブで見させていただきましたが、まさか団長が仮面ライダー電王OP(主題歌)「Climax Jump」を歌って下さるとは！！？😳😳😳
個人的にめっちゃ嬉しかったです！ありがとうございます🙇‍♂️"
9XrqmccVUEk,団長の母をたずねて三千里
9XrqmccVUEk,わからなくても間違っても楽しそうに歌う団長が勇気や元気や癒しを与えてくれる！ありがとう✨️
9XrqmccVUEk,仕事終わったので見ます！疲れが取れそうで楽しみて
9XrqmccVUEk,いつもすごく楽しかった歌配信ありがとうね団長❤団長のカラオケは最高🔥
9XrqmccVUEk,ノエルさん、最高です :3、歌が上手ですね ^^
9XrqmccVUEk,団長のREVERSI最高！
9XrqmccVUEk,"お昼の歌枠
休憩時間にしっかり英気を貰えました🙌"
9XrqmccVUEk,おつまっする
9XrqmccVUEk,昼活歌枠でしたー
9XrqmccVUEk,踊る団長は可愛い
9XrqmccVUEk,おつまっする〜。だんちょの歌はいつも励まされるありがとうだんちょ
9XrqmccVUEk,"
仕事今、終わってアーカイブで見ました。
すいません
長時間の縦歌枠お疲れ様でしたm(_ _)m
楽しかったですし仕事の疲れも癒されました
喉の調子どうですか？
ゆっくり休んでねm(_ _)m
長文失礼しました"
9XrqmccVUEk,団長の歌枠めっちゃ可愛くて面白くて最高に楽しかったです！
9XrqmccVUEk,"今晩は､遅刻組です｡

お昼にLIVE配信して頂いていた様なので､思わず私は

「あの時ノエル団長がこちらへ嫁ぎに来てくれのかな?」

とか考えてしまいました｡

…自惚れが過ぎますよね｡一目位は確認しとけば､今この胸な中に残る私の留飲を下げられていたのでしょうかと気に掛かけてしまいます｡

残念なが「今の私自身」には測りかねる「感情」にはなってしまいます｡

失礼しました｡"
9XrqmccVUEk,"おつまっするでしたー！
お昼の歌枠めっちゃ楽しかったです"
9XrqmccVUEk,
9XrqmccVUEk,団長大好き❤
9XrqmccVUEk,団長の俺ら東京さ行ぐだ聴けて嬉しかった最高です
9XrqmccVUEk,"途中途中しか見れなかったけど最高だった
ありがとう"
9XrqmccVUEk,"歌も雑談も楽しかったー！懐かしいアニソンも多くてはっぴー！
元気たくさん貰えました！ありがとう"
9XrqmccVUEk,おつmuscleでした
9XrqmccVUEk,"【 セットリスト＆タイムスタンプ 】 01:50  こんまっする
01. 0:10:09 サムライハート ／ SPYAIR
02. 0:18:33 GO!!! ／ FLOW
03. 0:26:26 Rolling star ／ YUI
04. 0:34:47 のびしろ ／ Creepy Nuts
05. 0:42:35 ピースサイン ／ 米津玄師
06. 0:49:06 Climax Jump ／ AAA DEN-O form
07. 0:58:32 パンダヒーロー ／ ハチ feat. GUMI
08. 1:08:58 ナイトループ ／ 大神ミオ
（1:13:03 お喋りパート）
09. 1:20:16 俺ら東京さ行ぐだ ／ 吉幾三
（1:23:35 お喋りパート）「兎をCOW」
10. 1:35:38 世界はそれを愛と呼ぶんだぜ ／サンボマスター
（1:40:49 お喋りパート）
11. 2:36:37 REVERSI ／ UVERworld
（2:43:41 お喋りパート）
12. 2:50:21 妄想感傷代償連盟 ／ DECO*27
（2:54:59 お喋りパート）
（2:59:03 「先端限定w」）
（3:01:45 くしゃみ３連発）"
9XrqmccVUEk,"昼活歌枠でしたー
昼休憩の時間に団長の歌が聞けて元気を貰えました！
見れなかった所は後程アーカイブで見させていただきますね✨️
楽しい時間をありがとうございました"
9XrqmccVUEk,"Thank you for today's cute and beautiful singing stream, Cute 3Danchou Noel-nee 😍"
9XrqmccVUEk,おつまっする🤍
9XrqmccVUEk,"叫んだり、声を出し過ぎたりしないように注意してください。ノエル  これは鼻炎のようなもので、ノエルがドラゴンボールZのセリフのようにストリーミングで自分自身を治すだろうとすでに予想しています  ノエルの声の音を見つけた。後で鼻水が出ていたようだ。 🧊 もう寝なきゃ。明日の配信のために夜更かししなきゃいけないから
奇妙なことに、ノエルは突然声が枯れることなく歌うことができた。   叫んだり叫んだりするのは声をかなり傷めるので注意してください  "
9XrqmccVUEk,"昼活歌枠配信でしたー！
団長のお歌にパワーを沢山いただきました✨
楽しく幸せなひとときでした🎵ありがとうございます"
9XrqmccVUEk,"
そして、アニメソングがたくさんあったのも楽しかった。"
9XrqmccVUEk,配信ありがとう！お疲れ様です😆
9XrqmccVUEk,縦型歌枠おつまっする〜
9XrqmccVUEk,"歌枠
めっちゃ楽しかったー！🎶
お大事に🍀
ノエちゃん愛してるよ～"
9XrqmccVUEk,昼活歌枠ありがとう！めっちゃ楽しかった🎶
9XrqmccVUEk,"おつまっするでした!
出勤前に大きな力をもらいました!
最近は歌枠が多くて本当に幸せです!"
9XrqmccVUEk,"二日酔い罵倒してもらったものです。
とても助かりました"
9XrqmccVUEk,🤍🤍🤍
9XrqmccVUEk,"1:49 
ノエルちゃんお疲れ様でした楽しかったカラオケ楽しみ"
9XrqmccVUEk,長時間おつまっするでした！お歌に雑談に楽しかったです♪︎癒しの歌枠ありがとうございました！くしゃみも出ていましたしお身体ご自愛くださいませ🍀
9XrqmccVUEk,団長のおかげで残業も余裕な気がしてきた
9XrqmccVUEk,"団長さん、お昼のフリーダム歌枠＋雑談配信お疲れ様～🎶
懐かしい曲からミオしゃのオリ曲とたくさん歌いましたね～
めっちゃ元気貰いました！！団長さん、ありがとう～♪
ミオしゃのソロライブ、楽しんでね～👍✨"
9XrqmccVUEk,"歌枠ありがとう
とても楽しかったです"
9XrqmccVUEk,Thank you for the afternoon karaoke stream danchou
9XrqmccVUEk,"お昼の歌枠配信ありがと～夜配信はリアタイできない事が多いから助かります
喉休めと鼻休めもちゃんとしてなぁ🍀
でしたぁ"
9XrqmccVUEk,"
いつか電ボの声マネしながらホロメン解説してほしいくらいには似てましたｗ"
9XrqmccVUEk,Thank you for the fun singing stream! I enjoy Noel's singing and chatting a lot. Your voice is very soothing.
9XrqmccVUEk,"楽しい時間をありがとうございました
アニソン多めなのも楽しかった〜！癒しでした"
9XrqmccVUEk,
9XrqmccVUEk,楽しい歌枠&雑談配信ありがとう🍀癒されたよ🍀
9XrqmccVUEk,今日も癒されたー
9XrqmccVUEk,"おつまっする～
歌枠楽しかったよ😊
夜はミオしゃのソロライブ見ながらゆっくり休んでね"
9XrqmccVUEk,縦型配信ありがとうございます長時間お疲れ様です
9XrqmccVUEk,"⚔あらすじ⚔
　大神ミオのソロライブ当日
　ライブを楽しむための昼活歌枠
　ミオのオリ曲も歌った全12曲
　歌い終わった後は、オススメの漫画やアニメの話も
　喉休めもするはずが、ちょっと長めの昼活歌枠
　お喋りの後には締めの歌もあるので、最後までお見逃しなく"
9XrqmccVUEk,
