video_id,comment
9yAUyrBddbQ,"現地でこのイベントに参加できたことに感謝！！
最高の夏の思い出をありがとう！！！！！！"
9yAUyrBddbQ,"54:07
激エモシーン
花火師のホロに対する愛が伝わりました(இ﹏இ｡)"
9yAUyrBddbQ,"人生初の一人でイベント参加、そして一人でこんな素敵な花火大会が
ホロライブでよかったです！！
どれも素敵なものになってて最っ高の思い出になりました！！！！
叫ぶことしか出来なかったですが大満足です(இ﹏இ｡)
ありがとうホロライブ！！
大好きだ！！"
9yAUyrBddbQ,👀
9yAUyrBddbQ,"ホロライブにハマって初めてイベントを現地で参加できたのがこのホロ花火でした！
お恥ずかしい話自分がハマり始めたばっかっていうのがあり知ってる曲の方が少なかったけど新たに素晴らしい楽曲と出会えたり、花火とドローンショーがめちゃ綺麗で感動したり、イベントの楽しさを存分に楽しめた一日でした！
またホロ花火やる時が来たら絶対絶対参加させていただきます！めっちゃ素敵な思い出になりました、ありがとうございました🙌💕"
9yAUyrBddbQ,次は関西でやってくれ・・・
9yAUyrBddbQ,"ホロライブを知ったのは
5年くらい前だったか…
もう8周年なんですね～

花火とライブの融合みたいな
イベントも凄いし、
天候に恵まれたのも本当に良かったですね。
もしかしたら、これをきっかけに業界に興味を持ったり、
彼女達の後輩を目指したりする娘達もいるのかな？

これからも、
感動、感謝の連鎖が
続いていきますように"
9yAUyrBddbQ,"I'm crying over this. People come and go with all of their reason, yet they've been fighting for their dreams in Hololive for 8 years.

I still remember their original reasons and how grateful they were to become Hololive members. They are surely heroes of the VTuber world, adored by so many. There's Sora Tokino with her personality, Roboco-san with her calming, Sakura Miko with her jokes and laughter, and AZKi and Suisei Hoshimachi with their singing power.

Damn... I don't know why I'm crying so hard. I mean, I didn't follow them from the very beginning; I only knew them when they were already successful. It's strange. And I truly hope Hololive continues to thrive and remain a pioneer for a long time. I don't want to see their smiles broken again. Please, keep their smiles. Thanks."
9yAUyrBddbQ,(ホロライブ公式様)こんにちは先ずは(創立8周年)誠におめでとうございますそしてこちらの配信の52:28~付近より[本打ち上げ地近くの某ビルで毎日定点観測をされている(民間気象会社)社員までもを虜にされると言うすごい状況でかつ前後花火演出補足ですが[みこさんパートピンクから緑等変化したのは恐らくみこさん配信でも紹介されていますが[過去配信でみこさんが使用されたアイテム&それに関連した繋がりの物]を表現する演出になっていると思います
9yAUyrBddbQ,素晴らしきかなホロ花火
9yAUyrBddbQ,チラ見せありがとうございました!言語化できないくらい感動しました。
9yAUyrBddbQ,"ホロライブもデカくなったなあ……(知って1年未満)
どこまでいくんだマジで世界圧巻しちまうんじゃねーか？"
9yAUyrBddbQ,現地の感動思い出してまた泣ける
9yAUyrBddbQ,"ほんと最高の花火大会でした！！

来年も開催できたらまた参加させていただきたいです！！！"
9yAUyrBddbQ,初めてのリアルイベント参加だったんですが、最高でした！また来年も開催してください
9yAUyrBddbQ,"ホロ花火現地参加させていただきました！
ホロ花火とドローンが凄すぎて感動しました！
ホロライブ本当にありがとう。これからもずっと応援します！"
9yAUyrBddbQ,"初めての現地イベ最高でした‼︎
さらにホロ沼にハマった感じする笑"
9yAUyrBddbQ,Hololive continues to invest in their talents and gives back to the community. They are the flagship agency 👏
9yAUyrBddbQ,みこちが花火で打ち上げられて「あっちゅあっちゅ」してるの見て泣いた
9yAUyrBddbQ,"移動大変だったけど現地で見れて本当に良かった
Hololiveに出会えてホントよかった"
9yAUyrBddbQ,1:03:03 this part of the song is so good! 🤍
9yAUyrBddbQ,"現地楽しかった(*ˊ˘ˋ*)
カラーライズハーモニーのアフター上映が前後にあったからバタバタ旅行になったけど堪能できて良かった( * ॑꒳ ॑*)
そしてみこちの法被を多分忘れて帰ってきてる(´；ω；｀)"
9yAUyrBddbQ,"Happy 8th Anniversary, what an insane number to reach for hololive, and all 5 girls as well! thank you for everything!"
9yAUyrBddbQ,"出演したホロメンにしっかりギャラが払われてるなら許そう😂
まぁ現地参加民(無課金ブルーシート)が沢山いたみたいだけど😂
まぁ今回のイベントの動員数とかは決算に載るだろうし楽しみやで😂🎉🎉(また都合の悪い数字は載せずに逃げるのかな？😂)

そもそも花火大会やりたいとか言い出したヤツは誰なんだよ🙄"
9yAUyrBddbQ,現地勢だけど夏の最高な思い出作れ ました！夏の最後にプレゼントありがとう💖
9yAUyrBddbQ,This is gay and lame
9yAUyrBddbQ,最高のイベントを生で見れたのは、最高の思い出！ありがとう！
9yAUyrBddbQ,生で見れて本当に良かった来年もやって欲しいくらいだった本当にありがとう
9yAUyrBddbQ,まじで現地民に言うけど、 イベントとかに行けてるのって奇跡ぐらいのことだと思ったほうがいい。いけない人もたくさんいるわけでその中で見れているのはほんとにすごいと思う。ただチラ見せでここまで綺麗に沢山見せてくれるのはいいなと思った。今までのチラ見せがすごく短かったからね。
9yAUyrBddbQ,このリミックスYouTubeで普通に配信して欲しい😢まじでいいセトリだった
9yAUyrBddbQ,耳を澄ますと微かにプロペラの音がする臨場感と数百機のドローンの迫力。場内に流れる音楽や観客との一体感。画面越しでは絶対に感じられないものがある。オペレーター陣や職人の皆様にも感謝。
9yAUyrBddbQ,現地で見れたのが本当にいい思い出になりました。
9yAUyrBddbQ,"このイベントを現地で観れたこと、一生の思い出になったな…！
願わくば第2回が来ると良いな！"
