video_id,comment
A04outQTlSA,1:35:36 スターリーが軌道ずらしてなかったらワドルディの町終わってたからスターリーは隠れMVP
A04outQTlSA,"Whenever Fubuki does a Kirby impression, I'm pretty happy!"
A04outQTlSA,🤍🤍
A04outQTlSA,"I can't believe FBK went broke and had to end stream. 
Looking forward to the next one!"
A04outQTlSA,フブちゃんお疲れ様！
A04outQTlSA,7:48 11:32 18:52 24:01 28:20 47:01 49:16~49:40 53:44 1:00:26 1:01:17 1:18:26 1:24:25 1:30:25 1:39:36
A04outQTlSA,"配信お疲れ様でした！
次回も楽しみにしています！"
A04outQTlSA,"おつ🌽でした！
初見でもコンプリート凄かったです！
ガチャは気付いたらお金なくなってしまいましたね
ハアィ！も最後の金欠でジト目もとても可愛かったです"
A04outQTlSA,
A04outQTlSA,お疲れ様でした🤍🤍🤍
A04outQTlSA,"アーカイブからおつでした～
今回も分かりにくいミッションもありましたが一発コンプ出来ててさすがでした
次回も楽しみにしてます！"
A04outQTlSA,おつ🌽でした
A04outQTlSA,"おつでしたー！！
全ミッションクリアおめでとうございます
今回もフブちゃんの「ﾊｧｲ｣可愛すぎました
次回の配信も楽しみにしてます！"
A04outQTlSA,Thanks for the stream Fubu-nya! 
A04outQTlSA,星のカービィゲーム配信お疲れ様です！
A04outQTlSA,"おつ🌽でした！
一発でミッションコンプできるのさすがでした！
お金が足りずにガチャ回せなくなるのつらいですね…
ジト目なフブちゃんもかわいかったです！
次回も楽しみです！"
A04outQTlSA,❤❤🌽🌽
A04outQTlSA,自分用 37:16
A04outQTlSA,おつこん様でした
A04outQTlSA,おつ🌽でした～！
A04outQTlSA,"おつでした！
今回も順調にコンプしていきながら楽しめましたな✨👀
初回でそのステージのミッションをコンプできると、再度行く必要もなくなりますし、しっかりとクリアできた感が感じられて気分良くなりますな👍
ガチャについてはVol.が示していたように、２が出てきてしまいましたなｗコインをたっぷりと集めねば💪次回も楽しみにしておりますよー！"
A04outQTlSA,"おつでした〜！
ミッションをしっかり回収していくフブちゃん流石でした！
やはりDLCもガチャにぬまるのか...
しっかりお金集めなきゃですね...!

今日も楽しい配信をありがとうございました！"
A04outQTlSA,🤍🤍🤍
A04outQTlSA,"スターリーワールドおつでした〜！
カービィは注意深く探索していくところが楽しいし、道中のギミックを無視すると早くクリアできるところも良いよね！
ガチャルポンについてですが、スターリーコインが足りなかったら、こうかんワドルディにレアストーンと交換してもらうこともできるよ！！"
A04outQTlSA,"おつ🌽でした～
毎回、ステージクリア時のフブちゃんの笑顔とはぁいが可愛すぎます！"
A04outQTlSA,"星のカービィ スターリーワールドおつでした!
邪悪な流星によって既にいくつもの大陸が滅ぼされていたなんて…
地球も生命の起源は隕石によってもたらされた説が有ります 今後得体のしれない物もやって来るかも
そしてガチャは全てを呑み込んでいく"
A04outQTlSA,"おつでした！
ガチャ次こそコンプしよう！"
A04outQTlSA,おつこんでした 今日も可愛いすぎる
A04outQTlSA,おつ
A04outQTlSA,"おつでした！！

フブさんのはぁい！とガチャのワドさん全員盛り合わせにとても癒された…

まさかの金欠ENDに…すこん部総出でフブさんのガチャ全コンプの為ガチャコイン集めなきゃ！"
A04outQTlSA,カービィ配信おつこんでした〜👋ミオしゃのライブもおつこんでした〜
