video_id,comment
AaAOQnRXOIQ,Nice Playing with Mahjong Soul Yesterday Roboco-san
AaAOQnRXOIQ,"おつろぼでした～
他と繋がる可能性のある真ん中の牌を残してくの覚えてるのいいね
あとは誰かがリーチした時に、周りの捨て牌みて安牌探すのもおススメよ"
AaAOQnRXOIQ,おつろぼでした
AaAOQnRXOIQ,1:53:15　気持ちは大きく、夢でっかく
AaAOQnRXOIQ,"おつろぼでした〜〜
皆既日食と合わせての雀魂配信嬉しいです
皆既日食で確かに月が赤くなってたの観てた中でロボ子さんが雀魂を長時間配信してくれたの嬉しいです配信感謝です"
AaAOQnRXOIQ,
AaAOQnRXOIQ,"長時間配信おつろぼでした！
チルすぎて寝落ちしてたw"
AaAOQnRXOIQ,❤❤❤
AaAOQnRXOIQ,"バカ麻雀、私の知ってる奴なら「黄泉の国より麻雀」ってゲームで、どんどん自分を強くしていくローグライト麻雀ゲーです。めちゃ面白いよ
キャラもキョンシーでロボ子さんそっくり"
AaAOQnRXOIQ,"3年に1度の特別なイベントをロボ子さんと楽しめた！！嬉しい！！！
麻雀もこの前イーアルサンスーとか言ってたのにめちゃくちゃ上達してて感動したぁ！！高性能！！"
AaAOQnRXOIQ,Thanks Roboco!
AaAOQnRXOIQ,あーーーー😭
AaAOQnRXOIQ,おつろぼでした〜お月見麻雀楽しかった！
AaAOQnRXOIQ,"おつろぼでした！
少しずつロボ子さんが役を覚えながらそれを完成させていくのが成長物語みたいで見ていて嬉しく思いました。

離脱したところからまた見させていただきます！"
AaAOQnRXOIQ,"おつろぼでした〜
学びの麻雀になりましたかな！"
AaAOQnRXOIQ,"Amazing work, Roboco!"
AaAOQnRXOIQ,おつろぼでしたー、月と麻雀楽しかったです
AaAOQnRXOIQ,おつろぼでした！　撮影もじょじょに上手くなってただけに月を見失ってしまったの惜しい
AaAOQnRXOIQ,おつろぼ❤
AaAOQnRXOIQ,"おつろぼ！
少しずつ役の揃え方を覚えている🀄️
ロボ子のお陰で月食を見ようと思えた😙
昼夜逆転生活には注意👋🤖"
AaAOQnRXOIQ,"おつろぼでしたー！
また色々学べて麻雀楽しくなってきた！
皆既月食を見るのも楽しかったね～"
AaAOQnRXOIQ,"Thank you for stream, love spending the day with you "
AaAOQnRXOIQ,"Thanks for the fun stream! Great pictures of the lunar eclipse . The blood moon looked amazing.
Doing great at Mahjong too . OtsuRobo! Rest well and have a nice day "
AaAOQnRXOIQ,"おつろぼでしたぁ
皆既月食も麻雀も楽しいね
途中寝落ちしちゃったからアーカイブで観させてもらいますね"
AaAOQnRXOIQ,"おつろぼー
雀魂配信ありがとう！楽しかった！
次回の配信も楽しみにしています
おやすみ、ぐっすり寝てね〜"
AaAOQnRXOIQ,"おつろぼでした〜
皆既月食を初めて見てテンション上がってて可愛かった、一緒にリアタイ出来て嬉しみ〜"
AaAOQnRXOIQ,"49:25 ロボ子さん先撮影皆既月食 (Roboco-san's first ever lunar eclipse photo)

おつろぼでした〜！夜更けまで皆既月食と麻雀楽しめて何よりよ〜！本日の合同練習もたのしんだもろてれ"
AaAOQnRXOIQ,Doing great with the Mahjong Roboco! Keep it up with the practice! Thanks for the stream! OtsuRobo!
AaAOQnRXOIQ,"おつろぼでした～！
役を覚えられたら強くなれそう！？"
AaAOQnRXOIQ,"ロボ子さんのおかげで久々に皆既月食見れました
さらに一気通貫の瞬間も見れて縁起がいいｗ
おつろぼでした"
AaAOQnRXOIQ,"雀魂配信おつろぼでした〜
戦いの中で成長するロボ子さんが最高にかっこよかったです!
何よりもモチベがあり、楽しいって思えるその気持ちが素晴らしいですねぇ"
AaAOQnRXOIQ,"おつろぼでした～！
成長速度がすごかった！"
AaAOQnRXOIQ,"おつろぼー！
スーパーブラットムーンになるの久しぶりに見ましたね！ロボ子さんと一緒に見れてよかったです😊"
AaAOQnRXOIQ,ロボ子さんのおかげで人生初の月食がみれて凄い感動して嬉しかった
AaAOQnRXOIQ,配信ありがとう、とても楽しかったです、次の配信を見るのを楽しみにしています、とても素晴らしい一日を過ごせますように、❤愛しています。
AaAOQnRXOIQ,Thank you for sharing the lunar eclipse photos with us! The blood moon looks really cool! 
AaAOQnRXOIQ,ふふっ おはよう 俺の可愛い赤ちゃんの皆
