video_id,comment
B719rxcqjAs,"中学生時代めちゃくちゃ好きだった声優さんと今の推しがコラボしてて不思議な気分でした
耳がすごく幸せだった！"
B719rxcqjAs,❤❤
B719rxcqjAs,"Roboco's group was really lively, was fun to watch!
Tough competition but you did your best . Good luck for next round! OtsuRobo!"
B719rxcqjAs,
B719rxcqjAs,Nice Playing with Mahjong Soul Roboco-san
B719rxcqjAs,おつろぼでした
B719rxcqjAs,おつろぼ❤
B719rxcqjAs,"Good work today, Roboco!"
B719rxcqjAs,"Well done!! Robocosan
This game has to be practiced many times to be strong, so keep going!!
みんな応援してるよ！"
B719rxcqjAs,おつろぼでした～！
B719rxcqjAs,"おつろぼです～
あがれるチャンスもあったし振り込んじゃうのもしょうがないけど悔しい！！
初心者だから臆病にならずにこれからもチャレンジしていってほしい！
次も応援してます！"
B719rxcqjAs,ﾝｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞ リアタイ見れなかったぁぁぁぁぁぁぁぁぁぁぁぁぁ
B719rxcqjAs,おつろぼでした
B719rxcqjAs,"おつろぼでした～！
ナイスファイト！"
B719rxcqjAs,"おつろぼでした！
新しいこと覚えながら下剋上目指して頑張っててすごいです！
次の試合も応援してますね！！"
B719rxcqjAs,"おつろぼでした！
楽しい時間をありがとうございます！
ロボ子さんのコミュ力がとても素敵でみんなのトーク引き出せて楽しい卓になっていたと思ってすごく尊敬します。"
B719rxcqjAs,Robociii❤❤❤❤
B719rxcqjAs,"おつろぼ！
総合最下位阻止しただけで大健闘！👏
かなり猛者揃いの中頑張った🤖👋😌
経験値は確実に得たもんね🀄️"
B719rxcqjAs,"1週目おつろぼでした～！
終始和やかで安心して見れた～
逆に和やかすぎたかな？
次も頑張ってね～！！！"
B719rxcqjAs,"おつろぼでした～！！
3倍ででっかく上がりたいね～！！"
B719rxcqjAs,"カンとかドラ爆弾みたいな余計なエサ来たときって捌くの難しいよね〜！！
夢見れるからこその痛手だった...いい攻めだったと思う！！"
B719rxcqjAs,"Thank you for tonight's hard fight but fun Mahjong tournament, Roboco-san! 

Ganbarre for the next round!"
B719rxcqjAs,"初日おつろぼー
くやしー
この後も頑張れ"
B719rxcqjAs,"ロボ子さんおつろぼですっ！
1回戦目はナイスファイト！
まだまえるよー！"
B719rxcqjAs,"大会おつろぼだよー！！
めっちゃ頑張った！！！今日は楽しめたかな！？
ろぼちゃんが楽しめたのならそれでよしだと思う！！
こちらも楽しめましたありがとうございました
"
B719rxcqjAs,"おつろぼでしたー！
悔しい思いもしたと思いますが、麻雀は楽しめましたかな…？
本番の雰囲気とか緊張感とか…色々とカロリー使ったと思います！
見ててドキドキしながら応援してました！
まだまだこれからっスよー！！"
B719rxcqjAs,"お疲れさまでした～
喉お大事に～🩺"
B719rxcqjAs,おやろぼ～
B719rxcqjAs,"otsurobo! 10q for stream!!
your turn seemed hard but you tried your best
it was very fun to watch good luck for next time
have a good night sweet dreams and rest well"
B719rxcqjAs,"打ち込み王は回避したからセフセフｗ
これからは伸び代しかない❢
おつろぼでした"
B719rxcqjAs,"おつろぼぉぉ！！
いやーっっ惜しかったねぇぇ！ツモって欲しかったにゃぁ
でもでも時間ない中で善戦してたよろぼちゃん！！ナイスファイト👍まだまだこれからだぜ"
B719rxcqjAs,"Good fight today Roboco! The 6 circle was deadly 
I'll continue cheering you on! It was a fun stream seing Roboco taking part in the tournament "
B719rxcqjAs,おつろぼでした〜、NT！
B719rxcqjAs,おつろぼでした〜
B719rxcqjAs,"一周目おつろぼ〜！ロボ子さんないすふぁいと！
光の麻雀大会すぎる‥！"
B719rxcqjAs,"おつろぼでしたー！
残念だったけど頑張った！
楽しかったです！次もがんばって！"
B719rxcqjAs,"おつろぼでした！

身のある一戦だね✨
ロボ子さんは伸び代しかない❤️"
B719rxcqjAs,開始　11:56
B719rxcqjAs,Thanks for the stream Roboco!!
B719rxcqjAs,"ロボ子さんおつロボでしたー！！！
次も応援しますわ！！🎉🎉🎉"
B719rxcqjAs,"おつろぼ〜！
ロボ子さんナイスファイト！楽しめたらならヨシ！"
