video_id,comment
CAg1KKDRdLw,1:12:48 1000万眠ってた😆
CAg1KKDRdLw,後輩先輩を取っ払ってもっと仲良くなって欲しいですね・・・プロレスも出来て、深い話も出来るいい関係ですよ・・・お疲れ様でした勝利楽しかったです！
CAg1KKDRdLw,"この会話のおかげで香水の知識増えた！ありがとう。
σ(ﾟ∀ﾟ )ｵﾚなんかソヴァージュしか買ってないから他のも試してみるよ！！！
"
CAg1KKDRdLw,"ぺこちゃんと同じなのかな
俺の場合はいらっとした時に指パッチンで爆発しないかなってやってるはいまだに😅😅"
CAg1KKDRdLw,相性抜群やでな
CAg1KKDRdLw,"心和む〜。
ぺこちゃんとヴィヴィの会話のグラデーションが日に日に濃くなっていくのが本当に素敵"
CAg1KKDRdLw,ぺこらヴィヴィ見直したわい!感動の話をありがとう😢
CAg1KKDRdLw,"500円の徳、すごー！
200万超えでの勝利おめでとう！
過去のカードの鑑定で4桁万円出したのもすごい"
CAg1KKDRdLw,オーロラよりレアなぺこーら
CAg1KKDRdLw,ホロ高額カード2位おめでとう！ぺこヴィヴィはやっぱりニヤニヤしながら見ちゃうよww
CAg1KKDRdLw,1:12:15  10M
CAg1KKDRdLw,コラボ配信感謝です
CAg1KKDRdLw,アーカイブ観たよ！ヴィヴィちゃんがお話しやすいように積極的に話題振ってあげたり色々アドバイスしてあげたりしてぺこらちゃん本当優しい！ぺこらちゃんはヴィヴィちゃんが本当大好きだよね！ぺこヴィヴィ相変わらず微笑ましい！これからもずっと仲良しでね！微笑ましい素敵なコラボありがとう！
CAg1KKDRdLw,1:49:30　これはめちゃくちゃ大事な話よね。いくら身体やメンタルが強い人でも全力で走り続けたら、身体を壊したり、メンタルがグチャグチャになって潰れちまうからね。でも、これを言えるぺこらは俺なんかの想像以上に必死に頑張ったんやろうな。尊敬するわ。
CAg1KKDRdLw,💟💟💟 kawaii…
CAg1KKDRdLw,"自分用
35:30  36:30
37:40 昔のゴーストカード(163万9989円)を試しに鑑定に出す
41:28  01:12:20 163万9989円→1029万0212円(ランク10)にUP"
CAg1KKDRdLw,ぺこちゃんの国宝のネタスルされたワロタ
CAg1KKDRdLw,"今回もぺこヴィヴィ面白かった！たくさんの小粋の話聞いて最高👍
ヴィヴィちゃんの言いたいエモい話も聞きたいw"
CAg1KKDRdLw,優しいぺこら先輩❤
CAg1KKDRdLw,"アーカイブ視聴完了！
2人の並走対決めっちゃ面白かった！
まさか過去のカードが化けるとは！
今回は時間内に幸運兎を発揮してたおかげで完全勝利だったね！"
CAg1KKDRdLw,この配信ぺこちゃんのやまびこ気になった
CAg1KKDRdLw,いいぞもっと営業妨害していこう
CAg1KKDRdLw,トイレ行かないとかなたみたいに石できるよー
CAg1KKDRdLw,"後継者問題でM＆A使って経営権譲渡や共同経営をするお店が増えています
今の若い人はしんどい仕事、儲からない仕事は嫌がるので小規模の飲食は特に問題になっています"
CAg1KKDRdLw,わための枠でぺこらが1000万出したって聞いて見てみたけど実は200万なの？
CAg1KKDRdLw,ぺこちゃんほんま優しいね
CAg1KKDRdLw,ぺっちゃんとヴィヴィちゃんはおもろいんや
CAg1KKDRdLw,アーカイブ見始めたばかりだけど２人の雑談いいなぁ
CAg1KKDRdLw,ぺこヴィヴィ供給ありがとうございます！
CAg1KKDRdLw,ぺこヴィヴィ面白い
CAg1KKDRdLw,"はたして、綺々羅々ヴィヴィは、綺々羅々ヴィヴィは、『ラッキッキッ』を、取り戻すことが出来るのだろうか……。
がんばれ！ヴィヴィちゃん！！
引くのだ！高額カード！！"
CAg1KKDRdLw,「″ヴィヴィちゃんが″入ってきてくれて楽しいよ」の後に「色んな人が〜」で濁して、その後照れ隠しで鑑定に向かう緩急最高にぺこちゃんらしくて好き
CAg1KKDRdLw,"2人の会話沢山聞けて楽しかった

また次のぺこヴィヴィに期待します"
CAg1KKDRdLw,"おつぺこー！
相変わらずの豪運うさぎ！
2人の会話も楽しかった！
今日も楽しい配信ありがとう！！！"
CAg1KKDRdLw,ぺこヴィヴィ並走おつぺこ～！ぺこーらヴィヴィをご飯に連れて行ってあげてくれ！
CAg1KKDRdLw,1:12:18　1000万を寝かせていた事実ｗ
CAg1KKDRdLw,2:03:27 歌うぺこちゃんかわいい
CAg1KKDRdLw,おつぺこ〜ぺこヴィヴィ面白かったし色んな話聞けてよかった配信ありがとう
CAg1KKDRdLw,"2:24
2:45
5:10
31:15
32:06
34:24 😂
44:30
1:35:55 😊
1:40:08
1:41:45
1:43:46
1:46:40
1:51:56 😊
2:00:58
2:02:02
2:03:40
2:09:50
2:16:42
2:17:58 😊
2:32:10
2:36:52 😂
2:58:58
3:09:48"
CAg1KKDRdLw,🩵🩷🩵🩷
CAg1KKDRdLw,デレすぎたな、と思った時の照れ隠しが可愛いすぎる
CAg1KKDRdLw,3時間早く感じる　この２人　エモかったし　マジ話だったり　デレたり　なにより楽しんでるオーラがよかった　おもしろかったわ
CAg1KKDRdLw,色々な話も聞けてめっちゃ楽しかった！2人ともおつぺこでした
CAg1KKDRdLw,"ぺこちゃん勝利おめでとう！
2人の色々な話を聞けて楽しかった！
次回のコラボも楽しみ！"
CAg1KKDRdLw,ぺこヴィヴィありがとう！
CAg1KKDRdLw,"ぺこヴィヴィラジオでもポッドキャストでもいいから好きなタイミングで2人の雑談やって欲しい
2人のおしゃべり心地よくて楽しすぎる"
CAg1KKDRdLw,ぺこヴィヴィがあるたびにどんどんどんどん好きになる
CAg1KKDRdLw,❤️❤️❤️
CAg1KKDRdLw,"ぺこヴィヴィ並走勝利おめ！！！
500円の徳を積んだのが効いたねｗ
色んなトークが聞けて楽しかった！！！"
CAg1KKDRdLw,
CAg1KKDRdLw,
CAg1KKDRdLw,☺️☺️☺️💙💖💕😁😁😁💙💖✨️
CAg1KKDRdLw,ぺこヴィヴィの会話その噛み合わない時も愛しい
CAg1KKDRdLw,"コラボ配信ありがとう！
2人のトークはずっと聞けるね！"
CAg1KKDRdLw,2人の関係がずっと続くことを願ってる
CAg1KKDRdLw,"ぺこヴィヴィてぇてぇが溢れてめっちゃ幸せでした
次のぺこヴィヴィも楽しみ！✨✨✨
そしてめっちゃ幸運兎田
500円の縁起で圧倒的の差…！！！凄すぎる "
CAg1KKDRdLw,ヴィのこと大好き兎すぎる
CAg1KKDRdLw,１億円で宜しいでしょうか
CAg1KKDRdLw,2:21:52 victory
