video_id,comment
D53Zc8Po-_k,いい意味でも他の配信者と違った試みの生誕祭ライブ最初から最後まで満たされました！自分のやりたいこと信じてプレゼン出来るぼたんちゃん大好きー‼️❤️‍🩹
D53Zc8Po-_k,"生誕ライブ良かったです。
ちなみにあずきちはイノナカ時代に【I've女子会】としてI've Soundさんと公認歌枠やってたりしますよ（アーカイブもあり）"
D53Zc8Po-_k,"自分もI've sound大好きです。
「birthday eve」「bite on the bullet」「CAVE -Remix-」「F◯CK ME」「I pray to stop my cry」「L.A.M -laze and meditation-」「Treating 2U」あたりが特に好きー"
D53Zc8Po-_k,"まったく触らないし通ってこなかったジャンルのゲームの歌なので知らないものばかりだったけどライブのストーリー展開で聞いてて凄く良かった！
まさかそっち系の歌もあったとはw

リオーナ出番の絡み方や配信者としての在り方などもうこのライオン尊敬しかできないんだがｗ"
D53Zc8Po-_k,生誕祭マジで楽しかったし、ゲストも豪華だった🎂
D53Zc8Po-_k,"今回のライブ、本当に最高でした～！😭
ししろんをきっかけに昔の美少女ゲーの文学的な良さに触れてくれる人が増えると思うと、感慨深いです。
55分あたりのししろんの考え方もものすごく好き！"
D53Zc8Po-_k,"コミケ限定アルバムとかあったりで、Ｉ.veアルバムは結構持ってるから話がわかる😊
楽しかったです。
美少女ゲームの曲は揃えるの沼りますからねぇ。"
D53Zc8Po-_k,"ライブお疲れ様でした！
凛と美しくも堂々としていた『アイドルの獅白ぼたん』でした
自分もニコニコでI've Soundにのめり込んだので、歌ってくれてホワりました
I've Soundを使ったアイドルMADと錯覚した…

（自分はI've Soundの中だと『季節の雫』が好きです、AIRの喪失感をI'veで埋めるというI've地産地消していました)"
D53Zc8Po-_k,"Into Grayは素敵な曲です。歌っていただきありがとうございます、ししろん。
白昼夢の青写真をプレイしたことを思い出し号泣しました。ありがとう、ししろん、ありがとう…
エンディングの「凪いだ海のように」もおすすめです。あとサントラの「遠い日に想いを馳せて」と「海が凪ぐまでは」も良き。Laplacianの公式チャンネルからも聴くことができるからおすすめ！
ゲームもswitchで全年齢版もあるからプレイもおすすめです。"
D53Zc8Po-_k,"まさかししろんから目的と手段の入れ替わりの話を聞くとは。
うちの会社で講義してくれ。"
D53Zc8Po-_k,"ライブへの意気込みや熱意が聞けて良かったです。楽曲や作品への愛とリスペクトが伝わってきました。
ししろんが I've 大好きお友達なのも驚きましたが、ゲストのイメージにばっちり合う曲の引き出しがあまりに豊富で尊敬の念を禁じ得ません
（モモーイさんが「フワモコちゃんの先輩なんだー」と仰っており、なるほどそっち経由か！と膝を打ちました）"
D53Zc8Po-_k,完全少女論マジでどう歌えたのか気になりますね
D53Zc8Po-_k,*ららーいおーん*
D53Zc8Po-_k,"生誕祭LIVE振り返りお疲れさまでした～
サムネの拘りやタイトルのアナグラムについて
そして刺さる所にはクリティカルなセトリのお話と
色々聴けて楽しかったよ～
ししろんの好きを追求する姿をこれからも応援してるよ！"
D53Zc8Po-_k,"お疲れ様でした！
このコンセプトライブ本当にビビりました！PCゲーム大好きなので是非是非また聴かせて頂きたいです！！
特に紅の空とre:callはめちゃめちゃ聴きたいです！！！"
D53Zc8Po-_k,"Thanks for the stream, Botan. Take care. ♌"
D53Zc8Po-_k,"お疲れさまでした！
いつか ししろんとI've Sound語ろう会などしたいですね😊"
D53Zc8Po-_k,ライブ振り返りお疲れ様でした。早速名前をアマツツミにしてる人いて草
D53Zc8Po-_k,🤍🤍🤍🤍💖💖💖💖
D53Zc8Po-_k,リオナにはKOTOKOのRe-sublimityを歌ってほしい
D53Zc8Po-_k,"生誕祭＆振り返りお疲れ様でした！
これからもししろんの楽しいを感じながらたくさん応援します！"
D53Zc8Po-_k,お疲れ様でした🤍
D53Zc8Po-_k,振り返りありがとう😊良いライブだったしししろんの歌声良かったよ😊
D53Zc8Po-_k,"車内でintogtay聴きながら帰って来てししろんから聞こえて来たから脳がバグった
好きな曲ばかりで最高でした"
