video_id,comment
FqFk_k_92oY,こうゆう結末になるとは思わなかった…
FqFk_k_92oY,"ヒロはすぐにリタイアしたため忘れてましたが、まさかこんな形で物語に関わってくるとは。
予想外の展開が多くてとても引き込まれます。続きも楽しみにしてます。"
FqFk_k_92oY,ぺこちゃんの手のひらクルクルで面白い。
FqFk_k_92oY,ア　ニ　メ　化　希　望
FqFk_k_92oY,1:27:19 2:28:27 2:48:05 2:58:57 3:36:55 3:38:08 3:40:33 3:41:42
FqFk_k_92oY,"ペコちゃんメルルに対する反応
1週目／俺の推し！！



2週目／こいつ黒幕です！私2週目だから分かるんです！！

すげぇー手のひらクルクル"
FqFk_k_92oY,こういうの好き🤗
FqFk_k_92oY,めちゃめちゃおもろい
FqFk_k_92oY,偽善者が多いな
FqFk_k_92oY,マジでおもろいなこのゲーム。話題になるのも分かるしぺこらの反応もおもろいw
FqFk_k_92oY,"マジで目が離せなかった。
めっちゃ面白い。
最初と条件が変わったことで、今後の展開と結末がどうなるのか本気で気になる。"
FqFk_k_92oY,大魔女の絵の漫☆画太郎感
FqFk_k_92oY,"神シナリオだし神配信だわ
流石です"
FqFk_k_92oY,"メルル推しの人の実況を見たかったので今回だけ見ました
いい反応でしたありがとうございます"
FqFk_k_92oY,"メルルは裏切るだろうとは思ってたけど、まさか黒幕だったことは予想外！
それとエマの魔法が時間を戻す系なのかと思ったら、ヒロがその魔法で主人公交代になるとは！
予想外の展開が多すぎて最終的な結末が気になりすぎる！"
FqFk_k_92oY,57:16「なんなんだろうね、このメモ」ガチ笑ったw
FqFk_k_92oY,"「戻った」のシーンはペコちゃんの反応楽しみだったから見れて満足
ここから全キャラの印象が変わるんだよな
ネタキャラにされてるレイアがこれからどうなるか"
FqFk_k_92oY,3000円のボリュームじゃないだろこのゲームすごすぎ
FqFk_k_92oY,"ロンパを感じさせつつもついに本性をだしてきた魔女裁判



2周目に入り1周目で魔女化したレイピアとアンアンのストレス値が減り大きく展開が変わりそうな開幕だ
魔女化すると殺戮衝動が強くなる設定からストレス管理ゲー（特にレイピア）の様相を呈してきた2周目
強くてニューゲームしてるあてぃし、黒幕の行動も目が離せないぜ"
FqFk_k_92oY,"今日も楽しかったです！(≧∇≦)
次回のまのさば配信も楽しみ"
FqFk_k_92oY,めっちゃ楽しかった！！この先どんな風になるのか気になる！
FqFk_k_92oY,面白すぎる展開！続きも楽しみだしあてぃしの評価も上がった
FqFk_k_92oY,"おつぺこー🐰
魔法少女ノ魔女裁判やってくれて本当に嬉しい！！☺
2週目のペコちゃんの反応も楽しみ😊
勝手な想像だけど二階堂ヒロ
の名前の由来は
「2回移動(2週目の)、ヒーロー(主人公)」なのかなーとか想像してみたりするなぁ🤔"
FqFk_k_92oY,Really a fun game!
FqFk_k_92oY,神ゲーです
FqFk_k_92oY,もうめちゃくちゃや！！！！ってその通りだったね　次回がまちきれません＾＾
FqFk_k_92oY,何この神ゲー！早よSwitch版来てくれ！
FqFk_k_92oY,💟💟💟 kawaii
FqFk_k_92oY,"こんなに衝撃を受けた作品は初めてかも…と思うくらい凄まじく熱くなりました…！
もう目が離せない！
次回も楽しみにしています！"
FqFk_k_92oY,"2:28:40
ここが好きすぎる
何らかの癖にぶち刺さってる
まじおもろいなこれ"
FqFk_k_92oY,
FqFk_k_92oY,"最高に面白い展開！
意外性だらけのストーリーが天才的過ぎる！
マジで神ゲー！"
FqFk_k_92oY,三重のこどおじから始まったまのさばブーム！
FqFk_k_92oY,アリサの死体見て目が結晶化してることに気付かないマーゴ無能だろ
FqFk_k_92oY,楽しかった！この展開は読めない…凄いです！
FqFk_k_92oY,大魔女いじめてた人達勘が良すぎる
FqFk_k_92oY,"メルルに甘々のぺこちゃん好きw
何個の結末予想したけど主人公交代は流石に予想外
2周目のヒロ視点はエマと全然違うからこのゲームはここからって感じだね"
FqFk_k_92oY,"こんなに続きが気になるストーリは中々ない！
メルルにはびっくりした鳥肌ヤバかったわ"
FqFk_k_92oY,チュートリアルクリアおめでとうございます
FqFk_k_92oY,"ここまでがチュートリアル
ここからどうなるのかワクワクドキドキですな"
FqFk_k_92oY,"1:23:08 資料一発で当てたやつ初めて見た
俺でも30分かかったのに"
FqFk_k_92oY,ココが実質2週目になって強キャラになるかと思いきや看守にビビってて可愛い
FqFk_k_92oY,もうエンディングかと思ったらまだ楽しみが続く
FqFk_k_92oY,"OP2
3:13:10"
FqFk_k_92oY,ぺこらー
FqFk_k_92oY,"おつぺこ
まのさばのストーリーがどんどん面白くなってきました。
プロローグを越えて、いよいよ本編という感じで楽しく見ています。"
FqFk_k_92oY,"The game was very interesting, it's definitely a safe purchase if they release a patch for Spanish or English, cheers!"
FqFk_k_92oY,"おつぺこー！
今までのはプロローグってことか‥
ヒロの活躍エマの結末楽しみ！
今日も楽しい配信ありがとう！！"
FqFk_k_92oY,"57:14
🌸「全部の数字を足してみて、ココちゃん！」"
FqFk_k_92oY,"黒幕判明した時でも、黒幕に対して悪いことしちゃった幼稚園児に対しての反応でなんかメルぺこてえてえだった…
2週目楽しみ過ぎる"
FqFk_k_92oY,"いやー他人がやるまのさばは最高ですね
そしてここからまたゼロから始まるのがまのさばですよ"
FqFk_k_92oY,ぺこーらの配信だとレイアさんがおもしろすぎるキャラで草😂
FqFk_k_92oY,いやぁ凄かった...本当に面白くて驚いて、ぺこちゃんの反応と同じような感じだったよ笑
FqFk_k_92oY,"まじでこのゲーム面白過ぎる。自分もぺこちゃんの配信見るまで知らなかったけど、これはもっと広まって欲しい。
あとペコちゃん最後の方声がかすれてたので喉をお大事に。"
FqFk_k_92oY,"この結末を受け入れるしかないんだなぁ…と思ってたから、まさかこんな展開になるとは思わなかった！！めちゃめちゃおもろすぎる！
ここからどんなストーリーになっていくのか楽しみ！"
FqFk_k_92oY,"ネタバレ注意










本編始まるまでがチュートリアルだったの鳥肌立った"
FqFk_k_92oY,"今更だけどこのゲーム、どのキャラクターも魅力的すぎるんだよなあ。
次回から、ぺこらがどんなリアクションしてどのキャラ推しになるか楽しみ。"
FqFk_k_92oY,よくできましたね
FqFk_k_92oY,面白くて全てLIVEで見てます！ぺこちゃん神ゲー配信ありがとう🥕レイピア…
FqFk_k_92oY,今週で終わりかと思ったら…面白すぎる
FqFk_k_92oY,"まさか大魔女のお気に入りがメルルが伏線になっていたとは！？
大魔女ぺこらのこれからのストーリー気になりすぎる！！
次回も楽しみ"
FqFk_k_92oY,"配信お疲れさまでした！
終わりかと思ったらまさかの展開でびっくり！違った視点でまた見れるのが楽しいし、どんな展開になってくかがこれから楽しみです！！"
FqFk_k_92oY,"凄い展開で気分晴れない終わり方だなと思ったら2周目開始で驚いた
ここからどんな展開になるか楽しみだ！！"
FqFk_k_92oY,"意外な展開の連続で楽しいね
遅くまでお疲れ様"
FqFk_k_92oY,"おつぺこでした
まさかの展開すぎてめちゃくちゃ面白いね
続きが楽しみぺこ"
FqFk_k_92oY,待ってました！！！！！
FqFk_k_92oY,"面白すぎやな…

ぺこちゃんと同じタイミングでどひゃーってなった"
FqFk_k_92oY,"おっつー😂🎉🎉🎉
盛り上がって来たで😂"
FqFk_k_92oY,二週目でハッピーエンドかと思ったらオープニングで裁判シーンあるからまた死にまくるの楽しみ半分不安半分
FqFk_k_92oY,遅くまで頑張ったね！ゆっくり休んで疲れを癒して喉お大事にね！長時間お疲れ様！
FqFk_k_92oY,"この展開は予想外すぎた！
これからもまのさばが見れるのが嬉しい"
FqFk_k_92oY,"先にクリアしててよかった、ぺこらの考察とかが所々鋭くて感心した
後方腕組視聴組"
FqFk_k_92oY,"想像を超えてくる展開！！！！
ヒロの掘り下げ少ないなーと思ってたらそういうことか～と！
あの13人で新たな展開が見れそうで続きが気になる！！！"
FqFk_k_92oY,主人公だったキャラが2周目でグルっと見方が変わっちゃうのおもろい。
FqFk_k_92oY,ヒロの言動がぺこらみたいで面白い
FqFk_k_92oY,"2周目序盤
ややヘイトが溜まりがちなヒロがノアと絡んだ途端に一気にヘイトが中和されるの上手いよね"
FqFk_k_92oY,"推しのまさかな内面に開いた口が塞がらない様なぺこちゃん
新たな癒しを見つけ今度こそはと大切に愛でるぺこちゃん
かわいい



今日も一日お疲れ様！
まさかまさかの展開でビックリ!振り返りにやろうかと思って買うだけ買ってるまのさばを今ぶっ通しでやりたくなる
ぺこちゃんと見るまのさばは遊んでるぺこちゃんに感情移入しているようでこれまた楽しい
少女たちが苦悩しながらも一生懸命に生きる姿は眩しいね
お仕事や収録にと毎日お疲れ様
無理せず、楽しんでね
ぺこちゃんが頑張って作ったものを見るのがすごく楽しみ！
いつも配信してくれてありがとう
ぺこちゃん大好き
頑張れぺこちゃん！！！"
FqFk_k_92oY,"ストリート本当に面白かったね！神展開本当にすごい
続き楽しみぺこ"
FqFk_k_92oY,驚きの展開の連続で面白すぎる！
FqFk_k_92oY,おつぺこ💙
FqFk_k_92oY,"Editing timestamps 
3:24 Start 
3:47 yahoo is still laughing?
5:11 did it work?
5:44 Poem
Magical Girl Witch Trials 
6:49 is Emma going to be ok...
7:27 previously 
9:03 Trial continues 
9:56 
12:27 Choise 
44:05 Peko-chan favorite 
59:45 Nanoka!
1:07:41 key evidence 
1:12:55 Meruru-chan 🎶
1:27:30 Meruru backstory 
1:35:25 Grand Witch!?
1:38:09 Peko-chan still loves Meruru
1:44:12 is pointless with time magic 
1:45:35 going berserk 
1:50:20 back to distrusting Margo
1:53:02 Gokucho 
2:07:30 back at the courtroom 
2:28:43 Emma's wings 
2:32:48
2:35:30 execution
2:37:00 memories...
2:45:42 Credits roll
2:48:10 Hiro!?
Hiro's story 
3:07:08 
3:13:10 Opening 
3:41:40 Scream!?
3:59:00 stoping here"
FqFk_k_92oY,"2週目のOPかっこよすぎやろ！
マジ激アツ展開すぎる"
FqFk_k_92oY,"配信ありがとう！
裁判がやっと終わったかと思ったら…すごいことにさすがに予想できない"
FqFk_k_92oY,"次々と仲間を失ってなお頑張って、最後まで救いを求めて最悪のBAD END…から唐突に２周目が始まり主人公交代とは、想像もしてなかったすわ
ぺこちゃんの現推しと共に新しい関係性も出てきて、このゲームまだまだ楽しめそうです"
FqFk_k_92oY,"えええそういう終わり方か～！きちぃ...
と思ったらまさかの2周目展開おもろすぎる！これは神ゲーですわ！
2周目だとみんないい子なんですぅ...ってなるしまたみんなに会えるのいいな...ここから運命を変えてくれ！
1:37:59 〇〇〇にチョロすぎるぺこら笑うｗ 1:41:43 手のひらくるくるで草"
FqFk_k_92oY,"衝撃的な展開だった…まのさば面白すぎる
次回も楽しみにしています！"
FqFk_k_92oY,マジで面白いことになってきたな
FqFk_k_92oY,またズッ友の絆見れて尊い（＾ω＾）
FqFk_k_92oY,"おつぺこ！まさかの展開！！！
良いキャラが多いだけにこういう展開嬉しい！
ガラッと変わったストーリーになりそうだから続き楽しみすぎる！
今日も長時間配信ありがとね！"
FqFk_k_92oY,"まさかの展開すぎて面白すぎる！
これからどんな展開になるか楽しみ！"
FqFk_k_92oY,1周目エンディングまでクリアおめでとう！すべてが悪意によって仕組まれていたなんて予想のはるか斜め上すぎるし、後半の方はそれでいいの！？ってなるような弁論が繰り広げられて正直訳分からなかったよね～　2周目は悲劇を防いでいくだけかと思いきや、全然別のストーリーっぽいから今後も長がどういう反応を見せてくれるか楽しみ！今日も遅くまでお疲れさま！
FqFk_k_92oY,"今日で最終回か〜と思ってたらまさかの
続きが楽しみすんぎ！！"
