video_id,comment
GmbIaroMuiU,35:33 ラオーラ
GmbIaroMuiU,51:56 ナヒーダ
GmbIaroMuiU,"大昔にししろんが
「I pray to stop my cry」
歌ってくれたの嬉しかったのが懐かしい"
GmbIaroMuiU,Happy Birthday Botan! Awesome Show! Great job and cool guests! Your singing was amazing Botan!
GmbIaroMuiU,HAPPY BIRTHDAY BOTAAANNNN ILYYYSMMM ❤️🎉🎉🎊💕💖💖💖
GmbIaroMuiU,永遠は無いけど、この瞬間の積み重ねはある（改めておめでとうございます）
GmbIaroMuiU,えいえんはないよ、ここにはないよ
GmbIaroMuiU,鳥の詩　 国歌斉唱はなかったか…
GmbIaroMuiU,"お疲れ様でした！
Disintegrationーー今のこの令和に聴けるとは思いませんでした。
むっちゃ好き〜〜♥♥♥"
GmbIaroMuiU,"びしょげで育ってきた身としてはマジで嬉しい選曲でした。
コンセプトライブとしてもゲーマーとしても楽しめるのはこの上なく幸せな時間で、ありがとう以外の言葉が見当たらないくらい。
びしょげとししろんの未来に幸多からんことを祈っています。"
GmbIaroMuiU,show me chihiya
GmbIaroMuiU,I REALLY love this setlist! It introduced me to so many songs I've never heard before but are definitely going on my playlist! Amazing performances by the guests too! I especially loved seeing Raora and having the two beeg cats on stage together! Happy birthday Shishiron~
GmbIaroMuiU,"完全少女論とBreath of stellaっ⁉︎
大好きな曲歌ってくれて感涙..."
GmbIaroMuiU,"ししろん誕生日おめでとう。
世界観良すぎた、最高過ぎる！"
GmbIaroMuiU,ヘンプリきたぁぁぁぁぁぁぁ！！！！！！
GmbIaroMuiU,"ししろん誕生日おめでとう
ヘンプリの「ILLEXECUTION」まじで最高だぜ Baby〜

「コトダマ紬ぐ未来」もよかったです。歌ってくれてありがとう。あの頃の記憶が蘇るような感じがしました。
そして最後の「Into Gray」と「Asphodelus」は、ライブシナリオである『終わりの世界観』にマッチして、鳥肌が止まらないくらいマジで感動しました！"
GmbIaroMuiU,Raora and Botan two beeg cats!
GmbIaroMuiU,"ししろんお誕生日おめでとうございます！！
ストーリーのある内容でめちゃくちゃ満足しました。
ストーリーとともに聴ける歌の組み合わせが良かったです。
一つだけよくわからなかったのがラオーラに衣装を描いてもらったのにラオーラとの歌パートではアイドル衣装じゃなかったのは何か意図があるのかな？と考えつつ答えが出ませんでした。（もう1回見直すか）"
GmbIaroMuiU,ラオラは、緊張して喉が閉まっちゃってるな😂可愛らしい。今からや、ラオラわ。
GmbIaroMuiU,"PCゲーソングのカバーをしていたので聞きに来ました。

選曲センスありすぎ！！

コトダマ紡ぐ未来は神すぎる"
GmbIaroMuiU,Into gray 神すぎる
GmbIaroMuiU,選曲…良！
GmbIaroMuiU,🤍🤍🤍
GmbIaroMuiU,just WOW! this live was so Botan like! the song choices were perfect and I loved every minute of it! And thank you for singing so much English! You get better every time :D
GmbIaroMuiU,HAPPY BIRTHDAY BOTAN-TAN🩶🤍🩶
GmbIaroMuiU,"Congrats on the 3D live Botan! It was such an enjoyable series, I love the vibes to the Visual Novel segments and the song/guest selections! I think my favourite part for this live is when you sing with Akirose!

Also, Raora and Botan is unexpectedly lovely suprise! Now I really want to see Holoneko group! (maybe with Okayu, Zeta, Niko!)"
GmbIaroMuiU,ヘンプリの曲は色々と難しいのに歌ってくれてとても嬉しい。
GmbIaroMuiU,"ししろん生誕祭2025 おめでとうございますッ!!ADVパートがSTEINS;GATE風だけに
最早SHISHIRONS;GATEで物凄く好きッ!!ゲストのホロメンもスタッフさんもしゅごい///"
GmbIaroMuiU,ヘンプリの主題歌めちゃ良いよね〜
GmbIaroMuiU,"正直曲は一曲も知らないんですが、それでも最後まで楽しませて頂きました。グッズ紹介入って笑っちゃったけどw
それでも昔RPG系ゲームをクリアした時の感覚を思い出したのは、よく出来ている証拠なんだと思います。

個人的には猫科2人の声がそれぞれ唯一無二の特別な物なのに、ぶつからずにマッチしててとても好きになりました
沢山の準備と努力に感謝を"
GmbIaroMuiU,ヘンタイプリズンにバルドフォースと新旧の神エロゲが同時に歌われてるの最高すぎる！
GmbIaroMuiU,ヘンプリは良いぞぉ
GmbIaroMuiU,"獅白ぼたん生誕3Dのセトリ

上から

BALDR FORCE EXE←エロゲのPS2版
スワローテイル←エロゲ
アマツツミ←エロゲ
終のステラ←ギャルゲ
ヘンタイ・プリズン←エロゲ
竜†恋←エロゲ
白昼夢の青写真←エロゲ
穢翼のユースティア←エロゲ

の楽曲です"
GmbIaroMuiU,ギャルゲの曲いっぱい
GmbIaroMuiU,"いや、めちゃくちゃ良かった。
演出はししろんなのかな？
リオナとのＭＶびっくりしました
いや〜いい"
GmbIaroMuiU,Into Grayを歌ったと聞いて吹っ飛んできました。セトリが俺得すぎて最高でした
GmbIaroMuiU,アキちゃんの台詞パートがまんまフルボイスのゲームや（笑）
GmbIaroMuiU,ラオーラとししろんのハスキーコンビが歌うとこんな感じに！？
GmbIaroMuiU,9月8日  獅白ぼたん誕生日おめでとうございます。とても最高の2025年LIVEでした。😊
GmbIaroMuiU,Disintegration fits you so much Botan!! I've been back so many times just to listen to it!
GmbIaroMuiU,"こう言う選曲出来るのがししろんのいい所だなぁ
歌もさらに声の使い方うまくなっててすごい"
GmbIaroMuiU,選曲のセンス、ライブの構成、ストーリ仕立て、伝えたいメッセージ全て明確でそのスタイルにとってもかっこいいって思いました😖きっとここまで作り上げることは簡単では無いはずなのに表では嫌な顔せずにアイドルでいてくれてありがとう 大好きが止まりません。つらつらとお気持ち表明しちゃったけどぼたんちゃんを推していて良かった幸せです💋💖お誕生日おめでとうございました、これからもししろんダイスキー！！
GmbIaroMuiU,"お誕生日おめでとうございます🎊
最高のライブをありがとうございました！"
GmbIaroMuiU,"Amazing 3D live.　I am in love with the Trance Rock fusion. 
There is something about Botan's singing voice that I love, but can not explain why. 
I feel like she can Cover all of 川田 まみの music and I would be addicted! 🥺"
GmbIaroMuiU,"ゲーム楽曲は世に埋もれがちなところがあるので、こういった形で再発信されることで懐かしむ人も初めて聴く人もみんな普段では得られない良い刺激をもらっていそう。開始1秒から最後までゲーム仕立てなのも実にエモーショナル
ほんと素敵なライブでした！お誕生日おめでとうございます！"
GmbIaroMuiU,"00年代のエロゲの主題歌って、おっさん過ぎて世代外の自分でも知ってるくらいの全盛期な印象ある。
世界観あって、しかもそれを活かしたライブ構成ですんごい良かった。。
流れるようなグッズ紹介は笑ったｗ"
GmbIaroMuiU,やっぱバルドシリーズって美少女ゲーム史に燦然と輝くマスターピースだよね
GmbIaroMuiU,完全少女論か…
GmbIaroMuiU,アマツツミは私の一番好きなゲームです。本当にありがとう。
GmbIaroMuiU,"35:38 Raora靈動的尾巴😂
446生日快樂"
GmbIaroMuiU,すこ
GmbIaroMuiU,"Happy late birthday, Botan-chan! Always supporting you! "
GmbIaroMuiU,"there's something mesmerizing about botan's style, you can watch it forever. happy birthday botan!!"
GmbIaroMuiU,衝撃のセトリすぎる…
GmbIaroMuiU,Starting with LOVE.EXE made me tear up. Thank you for singing Momoi's song.
GmbIaroMuiU,3Dまだなリオーナもこんな感じで絡めるのが新感覚だった
GmbIaroMuiU,"全てが最高でした😊
なんと言っても、わためとの絡みの所…
ライオンと羊　この関係性を　この世界線まで変わらない所😊"
GmbIaroMuiU,展開が初期配信を思い出して泣いちゃった(　߹꒳​߹ )
GmbIaroMuiU,"ししろん、お誕生日おめでとうございます🎉
とある竜の恋の歌、アキちゃんと歌ってくれてありがとう🥹
2人の声質と雰囲気が曲によく合っていてめちゃくちゃエモかったよ〜！！
白と黒の衣装のハイライトも見事でした✨️✨️"
GmbIaroMuiU,Asphodelus is so amazing thank you so much for doing it w Kanata !!!!
GmbIaroMuiU,ししろんおめでとう〜！リオーナ初ゲスト❤
GmbIaroMuiU,最高だ
GmbIaroMuiU,Happy birthday shishiron!!!! The English songs were super cute and your English is amazing~ Let's have another fun year next year too 
GmbIaroMuiU,🤍🤍🤍🤍🖤🖤🖤💖💖💖
GmbIaroMuiU,"【モノが無い】からこそ生まれたこのMVって事実がメロすぎる

リオーナがまだ３Dモデルがないから、歌うシーンをアニメーションMVで作るしかなかったんだろうけど
それが返って功を奏してて、めちゃくちゃエモい展開を作ってる
この曲歌ってる2人も最高"
GmbIaroMuiU,"またホロメンのエロゲソングが聴けるとは思わなかった
好きな曲ばっかり"
GmbIaroMuiU,love.exeとDisintegrationはヤバ過ぎる・・・おれが昇天してしまう
GmbIaroMuiU,"ぼたんさん、誕生日おめでとうございます！！！
ゲームをプレイしているような演出、とても面白かったです

そして、まだ３Dがないリオーナを呼んでくれてありがとうございます！！！まさかMVを用意してくださるなんて、感謝の言葉が見つかりません
ぼたんさんの可愛らしい歌声とリオーナの声の融合が素晴らしかったです
もちろん、ほかのゲストの方々との組み合わせも普段観ている配信上の雰囲気とはガラッと変わって素敵でした"
GmbIaroMuiU,:}
GmbIaroMuiU,she really is an idol
GmbIaroMuiU,びっくりするぐらい歌声が清楚
GmbIaroMuiU,Happy Birthday Botan! Thank you for the 3D Live!
GmbIaroMuiU,"ぺこらがパチスロで、ししろんはADVで2025からVのライブが変わりつつあるのが面白いｗ
しかもこのADV方法なら3Dデビュー前にもライブ出れるのがいい"
GmbIaroMuiU,Happy Birthday 🎉
GmbIaroMuiU,"凄いライブだった🤣
ありがとう😊"
GmbIaroMuiU,セトリ神がかってる！！
GmbIaroMuiU,"聴けばきくほど
何故フワモコがゲストに居ないのかｗｗｗ
2025年にDisindegrationが聞けて幸せでした
お誕生日おめでとうございます！！！"
GmbIaroMuiU,"誕生日おめでとうございます🎂
IntoGrey感動しました！！
リオナとのコラボ凄く良かったです！"
GmbIaroMuiU,"なんでフワモコはLOVE.EXEまで知ってんだ…？日本人のゲーマーでも2割も知らないだろこの曲
ゲーム自体も結構入手困難だった気がするけどこの反応を見るとプレイ済みなのだろうか…"
GmbIaroMuiU,コトダマ紬ぐ未来で涙腺崩壊、ししろんおめでとう！！！
GmbIaroMuiU,マジ可愛すぎるだろこの獅子
GmbIaroMuiU,HBDししろん!🎉🎉
GmbIaroMuiU,"ぼたんちゃんお誕生日おめでとう🎉
生誕祭ライブのゲーム調ストーリー、ゲストとの語りと歌の掛け合いが１つになって新鮮で時間を忘れて見入ってた〜Disintegrationめっちゃ格好良かったよ✨最高のライブでした🫶"
GmbIaroMuiU,"お誕生日おめでとうございます！！そして、素晴らしいライブをありがとうございます！！
Disintegration流れてきた瞬間「えっ！？」ってなったし、ラストのユースティティアまじで驚いた！"
GmbIaroMuiU,"36:59 生誕おめでとう御座います㊗️🎊🎉
かっこいー！❤"
GmbIaroMuiU,"えびかれー伯爵様のポストで
来ました｡

まさかの選択でびっくりした…"
GmbIaroMuiU,👏👏👏👏👏👏👏👏👏 9:51
GmbIaroMuiU,momo-i represent!! 5:57
GmbIaroMuiU,"Happy Birthday, Botan!🎉🎉
Thank you for incredible and creative 3DBirthdayLive!"
GmbIaroMuiU,The song with Raora was so awesome!! ❤
GmbIaroMuiU,"So cute! Congrats Botan-chan! Thank you for being here and entertaining us!
You're an amazing person and I couldn't be prouder to be your fan!
Thank you for everything! And please keep laughing and smiling! I love you Botan-chan! ^_^"
GmbIaroMuiU,Big cats! :D
GmbIaroMuiU,1曲目で完全に心が20年前のあの日々までダイブしちまったね……
GmbIaroMuiU,始まりから終わるまでめちゃめちゃはちゃめちゃ考えられた構成でグッズ紹介とかも凄くて凄いLIVEだった🦁
GmbIaroMuiU,Happy Birthday Botan and thankyou for the amazing 3D live 🎉🎉🎉🤍🤍🤍
GmbIaroMuiU,"ユースティア・・・そして全てに
ありがとうししろん
お誕生日おめでとう！"
GmbIaroMuiU,新たな可能性を作ってくださりありがとう！とても素敵なライブでした！
GmbIaroMuiU,"コトダマ紬ぐ未来を歌ってくれて本当にありがとう。私が大好きな作品の大好きな曲です。ししろんの儚い歌声とミオちゃんの力強い歌声が作品や歌に非常にマッチしていて素晴らしいクオリティでした。
聴いた瞬間全身に駆け巡りました。"
GmbIaroMuiU,"Asphodelusをかなたんと歌ったと聞いて飛んできた
信じられない、本当にありがとう"
GmbIaroMuiU,"歌うまかき集めて聴き応えバツグンのライブでしたね😂
シナリオも練られててサイコーでした😊
お誕生日おめでとう🎉"
GmbIaroMuiU,"1:06:20 自分の誕生日じゃないなのにこのパートがエモい

ぼたんさんお誕生日おめでとう🎂🎉🎈"
GmbIaroMuiU,I’m still cheering for you! 🤍
GmbIaroMuiU,"お誕生日おめでとうございます！
素敵な演出の数々、凄く楽しかったです！"
GmbIaroMuiU,"世界観好き、グッズ紹介の仕方もよかった
そしてラオーラかわいい"
GmbIaroMuiU,昔はPCゲーソングのカバーをしてたけど最近は会社も大きくなってそういうカバーも難しいのかなって思ってたらライブで歌ってくれてほんと嬉しい、PCゲーの良さをみんなにももっと知ってほしいな
GmbIaroMuiU,"Happy birthday, Botan Chan! Thanks for the great 3D live stream, the songs were incredible and everyone did amazing! I hope you have a day full of love and happiness. Poi~🎉🎉🎉 🎂♌️🖤🤍"
GmbIaroMuiU,ニーア？
GmbIaroMuiU,Happy birthday!!!
GmbIaroMuiU,"Happy birthday, Shishiron!
I always love VN songs and Botan is really good at picking amazing songs!
Thank you for the wonderful 3D live!"
GmbIaroMuiU,"天使がキーワードの作品のOPに天使連れてくるのはずるいでしょ！
ここで穢翼のユースティアが出てくるとは思わないわ…"
GmbIaroMuiU,ヘンプリの歌歌ってるのすげえ
GmbIaroMuiU,"もうこの手の曲はホロライブでは難しいだろうなと思っていたのに、、
まじで最高だった！！！

もちろんinto grayやasphodelusの名曲も最高だったが、個人的にはnina77さんをよく聞いてるのでめっちゃ嬉しかった！
あずきちはこの手の曲に詳しいと思うが、完全少女論まで知ってたのだろうか..."
GmbIaroMuiU,"
生日快樂"
GmbIaroMuiU,"誕生日おめでとうししろん！
3Dライブ最高だったよー！"
GmbIaroMuiU,"Disintegrationが聴けて無事崩壊しました。
ありがとうございます。"
GmbIaroMuiU,改めておめでとうございます、また充実して楽しめる1年になりますように。Ceuiさん＆小高光太郎さんの曲をホロメンが歌ってくれたのはおそらく初めて、本当嬉しかった。ししろん、かなたん、どちらも高い歌声がとてもキレイだからああいう壮大系のアニソンも相性良いよね。あと何といっても「LOVE.EXE」、セットリストに対して個人的にもっていた期待を１曲目から超えられて嬉しい悲鳴が出ました。
GmbIaroMuiU,まさか完全少女論のカバーを聞ける日が来るとは
GmbIaroMuiU,Thanks for the great live and happy birthday!🎉
GmbIaroMuiU,なんだか初配信のOPを観た時の何か始まりそうなワクワク感を思い出しました。
GmbIaroMuiU,"原作ゲームも是非プレイしてね！
5:19 『BALDR FORCE EXE』OP
11:17 『スワローテイル』OP
16:38 『アマツツミ』 ED
23:35 『終のステラ』OP
29:02 「I've 3rd Album」オリジナル曲
35:38 『ヘンタイ・プリズン』OP
41:53 『竜†恋』ED
47:33 『白昼夢の青写真』OP
52:46 『穢翼のユースティア』OP"
GmbIaroMuiU,これからも応援したくなるVtuberの一人
GmbIaroMuiU, Loved it! your ears are as cute as always! >.<
GmbIaroMuiU,"Thank you very much for the stream, Botan chan.
お誕生日おめでとう 🎂🎊🎊🎊🎊🎊🎊🎊"
GmbIaroMuiU,Happy birthday Botan your voice sing so beautiful I hope you enjoy your birthday Botan you're my favorite vtuber whole time 🤍🤍🦁🦁🎉🎊🎂🪖🪖
GmbIaroMuiU,ILLEXECUTIONを歌われたとえびかれー伯爵のXで拝見してすっ飛んできました、本当にありがとうございます。
GmbIaroMuiU,"Thank you for the fun live, Shishiron!"
GmbIaroMuiU,"fantastic live , guests , performances , were all great ."
GmbIaroMuiU,お誕生日おめでとう 446
GmbIaroMuiU,"ししろんお誕生日おめでとう〜！
まさかI'veのDisintegrationが聴けるとは思わなかった…最高でした！！"
GmbIaroMuiU,Happy Birthday Shishiron great performances
GmbIaroMuiU,47:33 これもうそういうエロゲのOPだろ…
GmbIaroMuiU,ラオーラの太ももは嘘をつかない👍
GmbIaroMuiU,С днем рождения!
GmbIaroMuiU,너무 좋았습니다 보탄~~
GmbIaroMuiU,"Such a beautiful and lovely 3D LIVE!
Fierce Lion, cute voice and extremely talented!
Keep at it Botan and let your voice charm everyone"
GmbIaroMuiU,Happy birthday Botan~
GmbIaroMuiU,ボタンちゃん、お誕生日おめでとう🎉🎉🎉今からアーカイブ観ます♪
GmbIaroMuiU,まさかのユースティアで泣いた、、
GmbIaroMuiU,セトリというかライブそのものの構成良すぎた
GmbIaroMuiU,Happy Birthday Botan!
GmbIaroMuiU,實在是太棒了，可以感受到獅白在唱歌方面的成長，如果這次誕生祭有出藍光光碟的話一定收藏
GmbIaroMuiU,I've Sound!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
GmbIaroMuiU,3Dライブ配信お疲れ様です！
GmbIaroMuiU,"Aiyoku no Eustia is literally my favorite VN, thanks botan"
GmbIaroMuiU,風邪引いて最悪な気分だったけどぼたんさんの声聞いたら元気が溢れて来ました特にミオさんとのデュエットの時のお二人の綺麗で美しい歌声に癒されました、よく眠れそうです、最後にぼたんさんお誕生日おめでとうございます✨
GmbIaroMuiU,お誕生日おめでとう！Happy Birthday ! I always loved Botan's singing ! And thank you for singing and performing with newer members too like Raora and Riona ! What a cool senpai 🤍
GmbIaroMuiU,お誕生日おめでとう!🎂🎉🎉
GmbIaroMuiU,ししろんおめでとう！
GmbIaroMuiU,"お誕生日おめでとうございます
他のホロメンにない選曲が大好きです"
GmbIaroMuiU,"シナリオもライブも良かったぁ
お誕生日おめでとうございます！"
GmbIaroMuiU,Two beeg cats together? My life is complete
GmbIaroMuiU,おめでとう！！！
GmbIaroMuiU,"お誕生日おめでとう🎉
曲わからなかったけど、めちゃ良かった。
ぼたんちゃんの幅広い活動のおかげで興味持てたものが沢山ある…ありがとう〜〜"
GmbIaroMuiU,❤️
GmbIaroMuiU,誕生日おめでとうございます。
GmbIaroMuiU,最後のオリ曲心に響いた。最近の生活の厳しさ中あんな積極的の歌聞けてがんばる元気ももらえる。ししろんは本当に優しいな。。
