video_id,comment
GroUCXeVHbg,GTAの時に気づいたんだけど、ししろんが車運転してる時の「ぷい〜ん」が好き
GroUCXeVHbg,有個不錯的影片要給妳們看
GroUCXeVHbg,"ホロ7DTDハード Day11 お疲れさまでした～
襲撃準備に皆でクエスト巡り、ゾンビなんて何するものぞな
安心と信頼のししわたコンビが見れたり
学園シチュで絡むししわただったり、おかゆんとの整理整頓の攻防の末
確かな成長を見せて褒められ喜ぶししろん可愛すぎる"
GroUCXeVHbg,最強と最狂のししわたコンビはいいなw
GroUCXeVHbg,🤍🤍🤍🖤💖💖
GroUCXeVHbg,1:07:49 ぼっさんカッコイイぜ。乗りながらよみなwは最高なのよ。惚れるぜ😊👍✨
GroUCXeVHbg,"Thanks for the 7DtD stream, Botan. Take care. ♌"
GroUCXeVHbg,😁😁😁🤍💕☺️☺️☺️🤍💕
GroUCXeVHbg,"🌿Временные метки🌿 Перевод DeepL
1:57 Начало
2:22 Подготовка к следующей атаке зомби
4:00 Войти
~~~~~~~~
◆Watame, Botan, Mio, Okayu
15:43 ◆Очищение зоны массовых вспышек
17:17 Ватаме провоцирует зомби
20:57 💦
28:26 ◆Очищение зоны массовых вспышек
29:18 Большое пространство
31:12 Ватаме радуется тому, что Оку присоединяется к слову «Ватаме Хаммер»
33:07 способность Ботана обнаруживать кризис 🦁
38:35 способность Ботана обнаруживать кризис 🦁
41:35 💦
44:26 Ватаме пытается прорвать внешнюю стену, чтобы выйти, потому что не может найти выхода перед ним 🤣
47:48 Оку любит дорожное убийство
47:55 Система автомобильной навигации Ватаме
48:22 Штормовое предупреждение 💦
48:59 Внутренняя часть автомобиля безопасна, но Ватаме находится в грузовой зоне 🤣
49:27 😱
~~~~~~~~
◆Watame, Botan, Mio, Okayu, Chihaya
49:46 Избегают до основания
51:16 Благословите вас
55:12 Panic 💦
56:58 Naked Fubuki
~~~~~~~~
◆Watame, Botan, Okayu
1:00:59 Песня Ватаме о моче вместе
1:03:44 Okayu's sneeze 🤧
1:07:47 Высокая эффективность 🤣
1:09:58 ◆Очищение зоны массовых вспышек
1:12:08 способность Ботана обнаруживать кризис 🦁
1:12:53 Алмазный Волк
　-1:13:03 Падение предмета
1:15:38 Болезненный (Damage 15)
1:19:22 Возможность обнаружения кризисов Ботана🦁
1:21:30 Окайю тренируется на наказание
1:26:09 Прыгающий медведь
1:28:10 Фубуки продолжает работать 🤣
1:30:37 Временное использование коробки, по-видимому, не допускается
1:39:14 Оку кричит 😱
1:41:01 Дрон робота завершен
1:45:26 Дальнейший дрон
~~~~~~~~
1:47:03 Большое количество наземных мин 💦
1:47:28 Алмазный Волк
　-1:47:42 Взрыв из наземных мин 💥
1:48:05 Работа по утилизации земельных мин
1:48:54 ◆Сила восстановлена
1:48:55 Возобновление мин при запуске квест 🤣
1:55:22 Охота на дорожные убийства 🤣
1:57:45 ◆Очищение зоны массового возникновения
1:57:47 Игра в Гололиве Академии
2:09:05 Великая радость Оку
2:12:27 Микочи выпрыгивает 💦
2:15:31 Оку хочет, чтобы Ботан организовал свои предметы 🤣
　-2:22:05 Ботан рад, что его похвалил Оку
2:39:28 ◆Очищение зоны массовых вспышек
2:42:15 Звук чтения книги навыков
　-2:42:21 Оку: ""Может быть, это мой Чин Чин (что означает пенис на японском языке)"". Watame: “Eh⁈” 🤣
2:46:20 Зомби в режиме ожидания 🤣
2:50:30 Ватаме ходит по стальной пучке
　-2:50:36 В момент падения Ватаме 😱
3:00:35 ◆Очищение зоны массовых вспышек
3:01:45 По-видимому, вы также можете исцелить своих союзников с беспилотом
3:04:42 способность Ботана обнаруживать кризис 🦁
3:04:50 Перехват огня 💥
~~~~~~~~
3:14:12 Присоединение к ВК
3:19:13 Медведь
3:24:27 Следующий раз 35 дней Зомби атака
3:25:10 ED"
GroUCXeVHbg,"🌿Timestamps🌿 Translation by DeepL
1:57 Start
2:22 Preparing for the next zombie attack
4:00 Logging in
~~~~~~~~
◆Watame, Botan, Mio, Okayu
15:43 ◆Clearing the mass outbreak area
17:17 Watame provoking the zombies
20:57 💦
28:26 ◆Clearing the mass outbreak area
29:18 Large space
31:12 Watame is delighted that Okayu joins in saying “Watame Hammer”
33:07 Botan's crisis detection ability 🦁
38:35 Botan's crisis detection ability 🦁
41:35 💦
44:26 Watame tries to break through the outer wall to get out because he can't find the exit in front of him 🤣
47:48 Okayu enjoys roadkill
47:55 Watame's car navigation system
48:22 Storm warning 💦
48:59 The inside of the car is safe, but Watame is in the cargo area 🤣
49:27 😱
~~~~~~~~
◆Watame, Botan, Mio, Okayu, Chihaya
49:46 Evacuating to the base
51:16 Bless you
55:12 Panic 💦
56:58 Naked Fubuki
~~~~~~~~
◆Watame, Botan, Okayu
1:00:59 Watame's song about peeing together
1:03:44 Okayu's sneeze 🤧
1:07:47 High efficiency 🤣
1:09:58 ◆Clearing the mass outbreak area
1:12:08 Botan's crisis detection ability 🦁
1:12:53 Diamond Wolf
　-1:13:03 Drop Item
1:15:38 Painful (Damage 15)
1:19:22 Botan's Crisis Detection Ability🦁
1:21:30 Okayu's Punishment Training
1:26:09 Jumping Bear
1:28:10 Fubuki keeps running 🤣
1:30:37 Temporary box use is apparently not allowed
1:39:14 Okayu screams 😱
1:41:01 Robot drone completed
1:45:26 Follow-up drone
~~~~~~~~
1:47:03 Large number of landmines 💦
1:47:28 Diamond Wolf
　-1:47:42 Explosion from landmines 💥
1:48:05 Landmine disposal work
1:48:54 ◆Power restored
1:48:55 Landmines revived at quest start 🤣
1:55:22 Roadkill hunting 🤣
1:57:45 ◆Clearing the mass occurrence area
1:57:47 Hololive Academy play
2:09:05 Okayu's great joy
2:12:27 Mikochi jumps out 💦
2:15:31 Okayu wants Botan to organize her items 🤣
　-2:22:05 Botan is delighted to be praised by Okayu
2:39:28 ◆Clearing the mass outbreak area
2:42:15 Sound of reading a skill book
　-2:42:21 Okayu: “Maybe it's my Chin Chin (meaning penis in Japanese).” Watame: “Eh⁈” 🤣
2:46:20 Zombies on standby 🤣
2:50:30 Watame walking on a steel beam
　-2:50:36 The moment Watame falls 😱
3:00:35 ◆Clearing the mass outbreak area
3:01:45 Apparently, you can also heal your allies with a drone
3:04:42 Botan's crisis detection ability 🦁
3:04:50 Intercept fire 💥
~~~~~~~~
3:14:12 Joining the VC
3:19:13 Bear
3:24:27 Next time is 35days Zombie attack
3:25:10 ED"
