video_id,comment
HAfmfYXEzSc,"おつフブポルでした！
無事、登頂達成、おめでとうございました。
次は、バカタレサーカスでの登頂を楽しみにしています。"
HAfmfYXEzSc,Sugoi
HAfmfYXEzSc,"おつフブポルでした！
お二人共登頂おめでとうございます
次はバカタレサーカスでの登頂楽しみにしてますね"
HAfmfYXEzSc,🤍🤍
HAfmfYXEzSc,"おつフブポルでした
お二人での頂上おめでとうございます！
カルデラでのアシストでした！終盤はアイテム運が生きて無事二人で頂上できて一発クリア凄かったです
ハラハラする山登り楽しかったです！次回も楽しみにしています！
ゆらゆらフブさん可愛かったです"
HAfmfYXEzSc,Congratsss yippiii!
HAfmfYXEzSc,的確な指示を出すのもそれを実行できるのもすごいプロだ😮
HAfmfYXEzSc,おつフブポル🤍❤
HAfmfYXEzSc,"おつフブポルでした〜！
登頂成功おめでとうございます！"
HAfmfYXEzSc,ナイス登頂
HAfmfYXEzSc,おつ🌽でした
HAfmfYXEzSc,"おつフブポルでした！
登頂おめでとうございます🎉🎊"
HAfmfYXEzSc,"おつフブポルでしたー！
2人で登頂おめでとうございます！
会話やラストの敬礼ネタも面白かったですし、バカサー登山も楽しみです！"
HAfmfYXEzSc,"おつフブポルでした！
2人とも無事登頂成功おめでとうございます！"
HAfmfYXEzSc,"おつフブポルでした～
二人で登頂おめでとう！サムネ通りのラストを迎えられて良かったです！
フブポルのチームプレイやダウンしてからの誘導ナイスでしたよ！"
HAfmfYXEzSc,
HAfmfYXEzSc,you have reached the top of PEAK! 
HAfmfYXEzSc,"Nice climbing, Foxes!"
HAfmfYXEzSc,"おつフブポルでした～
もう山登りもベテランの域で一発登頂おめでとう🎉
次回バカタレサーカスも楽しみにしてます"
HAfmfYXEzSc,おつフブポル！PEAK楽しかった！✨
HAfmfYXEzSc,"おつフブポルでした！
危ない所はありましたが、それを乗り越えてのお二方揃っての登頂おめでとうです👍✨
お互い経験値が高いので互いにサポートしあって登っていくの良きでした😌
次はバカタレサーカスでの登頂、その日の山運にもよりますが、挑戦する時はファイトですよー！💪"
HAfmfYXEzSc,"おつフブポルー！
今回はアイテムガチャ完全勝利でしたね！
足場を絶対に逃さない視野角とルート選択さすフブでした！
フラグをもへし折って有言実行した2匹のオタクに🫡"
HAfmfYXEzSc,"おつフブポルでした〜！
登頂成功おめでとうございます！！！

火山でフブちゃんが倒れた時はヤバイ！と思ったけどぽぅぽぅ頑張った！！！
そしてフブちゃんのラジコンも流石すぎました！！！

全体を通してもルート選択が凄く上手だったし、2人のチームワークがめっちゃ光ってました！！

是非バカタレサーカスでも登山待ってます！！！！

今日も楽しい配信をありがとうございました！！！
"
HAfmfYXEzSc,"おつでした～ 
フブポルPEAK登頂おめでとうございます次はアセント1？ 順次ハンデが増えてく様で…
FBKingは単身で大分進まれている模様 むしろポルカさんをバックに入れて運んでしまうのもありかと"
HAfmfYXEzSc,"おつフブポルでした！
フブちゃんが骨になった時は
どうなる事やと思いましたが
2人揃って頂上到達おめでとうございます！次はバカタレサーカスでも楽しみです！"
