video_id,comment
Ho3JVrorhTo,"ミツカンCMで、団長とにぇ人形が出てた‼️
２人だけだった、人形が。"
Ho3JVrorhTo,
Ho3JVrorhTo,"喉温存中にも関わらず予定よりも長い時間ありがとう✨
たっぷり団長の笑顔が見られて今週も頑張れます😌🍀"
Ho3JVrorhTo,団長の〇〇が最高過ぎた件
Ho3JVrorhTo,団長の声ほんと癒される
Ho3JVrorhTo,"おつまっするさんでー
毎週日曜に彩りをくれてありがとうございます🙌
ホロごえ、スターウォーズ部のお話等々楽しかったです✨"
Ho3JVrorhTo,"朝配信ありがとう✨
まったり雑談助かる❤"
Ho3JVrorhTo,"言いたいことわかるわ
7/8/9まで義務教育に含めるのはムズいよね
時間的なものもあるし考え方?も変えなあかんし"
Ho3JVrorhTo,🤍🤍🤍
Ho3JVrorhTo,"日曜日の朝はさんでーまっするですね✨
色んなお話聞けて楽しかったです🙌"
Ho3JVrorhTo,おつまっする
Ho3JVrorhTo,サンデー団長いつも素晴らしい朝配信ありがとう🤍❤️
Ho3JVrorhTo,癒しの配信ありがとう
Ho3JVrorhTo,自分も体調不良だったけどノエルさんの配信で少し元気出た。ムクムクはしなかったけど(笑)
Ho3JVrorhTo,パワプロの時、忙しくてあまり覚えてないと行って反省してたけど冷静に最適解を出してたから気付かなかった、それでもあれだけ見せれるの凄い！そこからハマって団長のゲーム配信楽しみに見てます( ･ᴗ･ )
Ho3JVrorhTo,"おはますお疲れ様。
スターウォーズ部はホント楽しかったな。自分もオメガのアナキンて奮発した腕時計あるんよね。
ラムコークも自分もスッキリ感のゼロ派です。
ノエ笠！これからだねこんこよ高校は。実際の衣笠選手も黒人とのハーフの方で、幼少期はご苦労された方なんですよ。勝手にシナジー感じてます。
体調回復優先で頑張って下さいね！"
Ho3JVrorhTo,団長のグッズ買ったらめちゃくちゃ可愛かったです
Ho3JVrorhTo,"おつまっするー！
朝活めっちゃ楽しかったです！
ノエル団長ありがとう！"
Ho3JVrorhTo,"最近知った
俺団長の笑い声ツボだな
ありがとう"
Ho3JVrorhTo,"
ホロごえっの裏話すごく楽しかった！声優さんとのコラボは新鮮で面白かったね
みんなでモンブランを美味しそうに食べれて優しい世界🌰☺
コカコーラとスターウォーズ部の配信の裏話もめっちゃ面白かった😂チューバッカはかなたんと色々似てるねｗ🦍ころさんも天才でおもろいよなｗ

団長が炭酸を飲めるようになってよかった！度数は高いけどラムコーク美味しいよね、私も大好き
ノエフレの話も聞けて嬉しかったし、たくさんのお話ありがとう！
次はカドショ配信もワクワク
団長の喉も心配だから、これからも無理せず団長のペースで頑張ってね💪ずっと応援してるよ！11月も楽しみにしてる✨
大好きだよ！"
Ho3JVrorhTo,朝雑談配信ありがとうございます
Ho3JVrorhTo,"Thank you for today's fun and comfy Sunday morning chit chat stream, Danchou Noel-nee! 

1:26:54 🫳🫳🫳🫳🫳"
Ho3JVrorhTo,
Ho3JVrorhTo,
Ho3JVrorhTo,
Ho3JVrorhTo,"
ホロごえやスターウォーズ部等色々なお話が聞けて楽しかったです！
喉休めつつ時間までゆっくり過ごして下さいね"
Ho3JVrorhTo,"今日も楽しい配信をありがとう🍀.*
だんちょ の笑い声聞くとホント落ち着くわー大好き🫶💕︎💕︎"
Ho3JVrorhTo,おつまっする🤍
Ho3JVrorhTo,おつmuscleでした😊
Ho3JVrorhTo,"
数限は4日に購入予定だったけど2日の日付変わったタイミングで売り切れましたね
団長になら強く当たられても全然平気だよ
俺も人に頼れないことが多いからめっちゃわかり実が深い。
性格とか考え方がマジでそっくりだから女なら団長みたいになってるだろうな"
Ho3JVrorhTo,"Thanks for the morning stream Dancho~ 
Have a nice day "
Ho3JVrorhTo,ノエル団長、さんでーまっするの配信ほろごえ、スターウォーズ部、こんこよ高校、ノエフレのと楽しいお話ありがとうございます。喉のが良くなりますように
Ho3JVrorhTo,"朝 配信いつもありがとう

団長 大好き"
Ho3JVrorhTo,さんでー🍀🍀癒やしのさんま配信をありがとう🍀喉や体調に気をつけてね🍀
Ho3JVrorhTo,1:21:27 1:37:59 1:37:13 1:44:33 2:27 10:23 12:31 45:00 46:35 今日も可愛いすぎる おつまっする
Ho3JVrorhTo,"おつまっする今日も楽しいお話しありがとうございます。
喉の管理って大変なんだなぁと思いつつ楽しい時間でした。充実してて何より"
Ho3JVrorhTo,"さんま配信お疲れ様でした！👏👏👏
苦手だったコーラやわさびなど、食べられる(飲める)ようになったみたいで本当に良かったですね！👏👏👏👏👏
"
Ho3JVrorhTo,"おつまっするさんでー！
今日も色んなお話聞けて楽しかったよー！
喉もお大事にです"
Ho3JVrorhTo,"団長さんまお疲れ様でした！朝からゆっくり雑談めちゃ癒されたよー
ありがとー"
