video_id,comment
IfVNEAtA02w,クマリン可愛すぎ❤❤❤
IfVNEAtA02w,オバサンの動きって何か癖になるよね
IfVNEAtA02w,할머니 안아줘요
IfVNEAtA02w,"Marine, you're too dangerous... =____="
IfVNEAtA02w,このあと見つかった後ろの2人はどうなったんだろう
IfVNEAtA02w,프랭크 집은 나이지리아 였다네요~~
IfVNEAtA02w,migochi casually looting shi
IfVNEAtA02w,This is so nice❤❤❤❤❤❤
IfVNEAtA02w,This animation style is so nice
IfVNEAtA02w,背後に泥棒がいる
IfVNEAtA02w,クマは塔の中にいるよ
IfVNEAtA02w,Где-то там на заднем плане Кобо Канаэру ❤❤❤❤❤
IfVNEAtA02w,めこすじ見えた
IfVNEAtA02w,Mas pace lagi ngitung duit😂
IfVNEAtA02w,Most people here are japanese or what language it is
IfVNEAtA02w,何こぼぼ
IfVNEAtA02w,太もも良き良き。
IfVNEAtA02w,なんか細いなこのモデル
IfVNEAtA02w,"I spy with my eye, Miku stealing in the back and Kobo just acting like a gangster xD"
IfVNEAtA02w,上にはクママリン❤
IfVNEAtA02w,😂 vc vc b a as vc n n se a😮🚹🤑😊
IfVNEAtA02w,船長、声きれい🤤
IfVNEAtA02w,セクシーや！
IfVNEAtA02w,Mi vieja
IfVNEAtA02w,Cute
IfVNEAtA02w,後ろにこぼとみこちが、、、😂
IfVNEAtA02w,우리 센쵸 이제 결혼만 하면 행복 시작이다!!!
IfVNEAtA02w,YAY to HIP SWAY
IfVNEAtA02w,盗賊がいるぞ
IfVNEAtA02w,❤_❤ へ へ ❤ 。。。
IfVNEAtA02w,Miko deja esa bolsa con monedas de oro
IfVNEAtA02w,This song doesn’t hit like the other ones
IfVNEAtA02w,So sensual and pretty!
IfVNEAtA02w,"Marine has the moves! Also, I love that outfit, just the right amount of sexy and cute elements for her.

Brilliant!"
IfVNEAtA02w,船長の衣装、セクシーじゃなくて下品になったね・・・
IfVNEAtA02w,MMDやんけ
IfVNEAtA02w,Smash
IfVNEAtA02w,Garterbell wa saikyou! 😭👍
IfVNEAtA02w,かわゆ
IfVNEAtA02w,GARTERS SUPREMACY I KNEEEEL
IfVNEAtA02w,Marine learning to dance is one of the greatest marvels in history and has helped her  “getting younger” era
IfVNEAtA02w,動きがほんと色っぽい
IfVNEAtA02w,귀여웡
IfVNEAtA02w,こぼちゃんとみこちがいる
IfVNEAtA02w,kanaeru at background lmaoooooo
IfVNEAtA02w,こりゃ子供にも虚言うつるわ…子供には罪ないのにね。心底可哀想だと思うわ
IfVNEAtA02w,みこちゴミ拾いしてる…？
IfVNEAtA02w,"パンチラが見える。黒いパンツが見える。
パンツ見た
マリン船長のパンチラを、つまりパンツを見せるためのダンスつまり踊り
いいもん見せて貰いました
ありがとうございます"
IfVNEAtA02w,😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
IfVNEAtA02w,ngl   i was watchingat kumarine    bcs  i simp to hard for this one  T^T even as 2022 marine simp
IfVNEAtA02w,"i love her outfit, so cool  specially the skirt"
