video_id,comment
L-fPTXaxcjU,ころねすきーさん大好き❤はいつも言ってくれてるから罰ゲームにならなかったねw
L-fPTXaxcjU,ころね「いつか、スバルにリベンジマッチ申し込む」
L-fPTXaxcjU,ない指で蓋を開けたコロネスキー
L-fPTXaxcjU,これリアタイしてたら危なかったw
L-fPTXaxcjU,"ころさん楽しかった！！
ストップ＆ゴーステーションうますぎました💕"
L-fPTXaxcjU,15:34  とんでもないルール作ろうとするの面白いw
L-fPTXaxcjU,ゲームスタート 11:30
L-fPTXaxcjU,someone should edit the two streams together
L-fPTXaxcjU,"おつころ～んでした
思いのほかお二方とも緊張していたのがこちらにも伝わってきてました"
L-fPTXaxcjU,面白かった！
L-fPTXaxcjU,いやこれころねも充分上手い(多少凡ミスあれど)けれど今回のスバルは極まっていた…👏✨
L-fPTXaxcjU,こぉね好き😊
L-fPTXaxcjU,SubaKoro gogogogogooooo!  💪🐵
L-fPTXaxcjU,ころねちゃんお疲れ様でした
L-fPTXaxcjU,"感謝！486san!
OTSUKORO ✌🏻 "
L-fPTXaxcjU,ころさんドンキー最強説
L-fPTXaxcjU,かえってきた！！
L-fPTXaxcjU,ゲーム配信お疲れ様です！
L-fPTXaxcjU,"出だしからヒリつく面白い並走バトルでした！
リベンジに期待！"
L-fPTXaxcjU,2の並走があるならせめて2時間は見たい
L-fPTXaxcjU,プレッシャーと焦りがｗ
L-fPTXaxcjU,We need a DKC3 race.
L-fPTXaxcjU,"ポっと出のやつ...のはずがスバルめっちゃ上手かったねえ！まさかフブキも超えていくとは...集中力が凄いｗ
でもどっちが勝つのか緊張感あって楽しかった～！
次はリベンジしよう！"
L-fPTXaxcjU,"ウサギとカメならぬ、アヒルとイヌでしたとさ。
つぎはぜったいリベンジしよう！

スバルにあのセリフ言わせるまで終われない"
L-fPTXaxcjU,"並走はハラハラするね～！怒涛の追い上げで追いつくころさんすごかった！
勝負中でもコメントみてくれるのうれしい！
次はころさんがチャレンジャーだね！絶対勝ってスバルちゃんに恥ずかしいセリフを言わせちゃおう！"
L-fPTXaxcjU,結構落ち着いてたら上手いころさんがスタートからラストまでずっと焦って普段見たことないミスが100に近いくらい出ててプレッシャーかかった時の難しさを改めて実感しました笑
L-fPTXaxcjU,
L-fPTXaxcjU,おつスバころ🦆🥐
L-fPTXaxcjU,追い抜き追い越されの並走はハラハラして楽しいw
L-fPTXaxcjU,"そういえば昔話であったよね。
いぬとあひるって。"
L-fPTXaxcjU,おつころーん
L-fPTXaxcjU,Koro cute ❤
L-fPTXaxcjU,"おつころーん！
並走めっちゃ楽しかった！
リベンジ待ってる次は勝とう！
​​またね～"
L-fPTXaxcjU,"スバルちゃんに追いつくころさんめちゃかっこよかった！
前評判のプレッシャーも時間縛りもあったしもどかしさあったね
お互い真剣勝負ナイスだったよ！リベンジも協力ゲーもまたスバころ待ってる😊
楽しい並走バトルありがとう✨"
