video_id,comment
LL-DYyut6BY,"バージョン2は全体的に好きな話が多いから今後のリアクションが楽しみです😊
でも喉は大切にしてくださいね"
LL-DYyut6BY,😊😊😊💓✨️🥰🥰🥰💓✨️💕
LL-DYyut6BY,2:43:38  ここ好き
LL-DYyut6BY,ホロメンって初期能力が全員高いけれど、ルイ姉はそれからの伸び率がホロメン屈指だと思う。視聴者のツボを押さえて配信とても面白い。
LL-DYyut6BY,"Good progress in this game. Thanks for the DQ stream, Lui."
LL-DYyut6BY,Thanks Lui!
LL-DYyut6BY,おつルイルイ
LL-DYyut6BY,美しい ありがとう 愛しています Lui <3 <3 <3
LL-DYyut6BY,オンラインで難易度下げても強かった「手」。ver2は知っていてもワクワクする。
LL-DYyut6BY,"Thank you for today's fun Dragon Quest X stream, Lui-nee!"
LL-DYyut6BY,"バージョン２のOPで
乗船してた冒険者達がワイワイしてたけども
オンラインのプレイヤーは当時マジでこういう心境だった思い出"
LL-DYyut6BY,"Thanks for your Dragon Quest stream!
"
LL-DYyut6BY,今回のMVP:たんすミミック(?)
LL-DYyut6BY,"配信お疲れ様でした。
新キャラ達も個性豊かで、序盤の展開から面白かった。
また続き楽しみにしてます。

3:11:45  4:22:55 くしゃみ"
LL-DYyut6BY,"おつルイルイ！
ついに始まったVer.2！
敵も味方も濃いキャラ多くて楽しかったしルイ姉の実況も最高に面白かった！
今後の冒険も楽しみ！！"
LL-DYyut6BY,おつルイルイ
LL-DYyut6BY,ドラクエⅩ ver.2の配信お疲れ様です！
