video_id,comment
LVURfK9vyjE,おつんざ！
LVURfK9vyjE,"今回もポニテユニーリアがとても可愛い！
強引なプレイなのにドンドンクリア出来ちゃう辺り、やっぱゲーム上手ですよねー
雑さ（説明を聞かない、周りを見ない等ｗ）を治すことが出来れば、もっと伸びると思います"
LVURfK9vyjE,か、かわいいんだｿﾞｳｳｳｳ！！！！
LVURfK9vyjE,バナンザ初めて見たよ。楽しかった😊
LVURfK9vyjE,"ラミィちゃんアーカイブで見たよ！
ヴォイドコング戦だったり、怪鳥ウェザード戦が何度もあって苦戦したのね…！
ギミックとかも結構こってきて難しくなってる…！
でも順調に進めていて良かったよ！ナイス！👏
個人的にはポリーンがやるしかないか…！から、よし！って変わったのが印象的だった！
ゾウバナンザも楽しいね！今回も語尾がかわいいんだぞう
楽しかったよ！ありがとう！"
LVURfK9vyjE,❤💙💙💙💖
LVURfK9vyjE,"おつらみ〜〜
ラミィさんのドンキーコングバナンザ配信とても面白かったです"
LVURfK9vyjE,"今回はゾウさんやったね🐘
エレファントバナンザ中々強いんじゃない？😳
段々謎解きも難しくなって、ボスも強くなっていって難しいやろけど頑張れー😎👍
ラミィちゃんが思う通りにプレイしてくれるのがいいんだたから、沼ってても気にしないでね😉👍
またドンキーの続き楽しみにしてます"
LVURfK9vyjE,"ラミィちゃんドンキーコング
ステージの後半で難しくなるのは仕方ないよ！
見てて楽しいので頑張って！"
LVURfK9vyjE,"バナンザ配信でした！
結構進んできたし、難易度も上がってたね〜。
新しいバナンザもゲット出来たね、苦戦したけどクリアおめでとう🎉
続きも楽しみだね😀
ラミィちゃんが楽しくゲームを出来るのが１番だから、謝らなくて大丈夫だよ〜。
次の配信も楽しみにしてますね✨️"
LVURfK9vyjE,요즘 라미가 제일 좋다..
LVURfK9vyjE,"
やっぱり地下に潜れば潜るほど難易度上がって来たね…！
新たなバナンザも手に入れて攻略の幅が広がってこの先どうなっていくのか、続きも楽しみ♪"
LVURfK9vyjE,
LVURfK9vyjE,"でした～✨
今日も苦戦しながらもストーリー進みましたね！！"
LVURfK9vyjE,☺️☺️☺️💙✨️😁😁😁💙✨️💕
LVURfK9vyjE,"おつらみでした～
恐らくストーリーも終盤に差し掛かって色んな面で難易度上がってきたね
それでもいろいろ試してちゃんとクリア出来てる！！
次回もバナンザ楽しんでこ～！"
LVURfK9vyjE,おつらみ〜
LVURfK9vyjE,"
今回のボス戦は行ったり来たり連戦だったりと大変だったね！
これから先ステージも難しくなると思うけどラミィちゃんなら大丈夫😆
楽しい配信をありがとう"
LVURfK9vyjE,ラミィちゃんのドンキー楽しいです！ありがとうね！
LVURfK9vyjE,おつらみ🩵
LVURfK9vyjE,"今日もバナンザ楽しかった〜
新しいエレファントバナンザ！難しそうだけどちゃんと使えてたね！かなり難しいステージだったけど突破おめでと〜！！！"
LVURfK9vyjE,
LVURfK9vyjE,"ラミィちゃん
ステージもいよいよ難しくなってきたけど、それを乗り越えた時は見る方も気持ちいいよ！
最後までがんばってね！ラミィちゃん配信ありがと〜！"
LVURfK9vyjE,"おつらみー！
バナンザを楽しそうにやってる破壊神ラミィちゃん見れて面白かった！
ギミック難しくなってきたけど、新しいバナンザを使いこなしてクリアしていく
ラミィちゃんすごいよ
次回のバナンザも楽しみにしてるね！"
LVURfK9vyjE,"
岩を使った様々なギミックがかなりの難所になってたけど、悪戦苦闘しながら考えて謎を解いていくラミィちゃん上手だったよ！
この先もより難しそうな謎解きがありそうだけどラミィちゃんなら突破できるよ！
途中からだったけど楽しかったよ！今日も配信ありがとう！"
LVURfK9vyjE,This was a nice stream Lamy. I hope you have a good day.
LVURfK9vyjE,"Thank you for the fantastic stream, Lamy-chan ! This was really a lot of fun today too. Congratulations on the amazing progress ! 
Some part where difficult but Lamy-chan's genius and determination was the strongest ! You are getting used to the mechanic and doing better and better each time. I can't wait for the next Bananza adventure 
I'm really looking forward to tomorrow collab ! Have fun all together ! I wish you a wonderful evening and delicious dinner. I Love you "
LVURfK9vyjE,"おつらみでした～！
今回はゾウさんに！🐘ストーリーが終盤な感じ？でギミックも難しいものが増えてきたね…！
ボスも手強かったけどなんとか撃破！

次回もラミィちゃんのペースで楽しんで進めていきましょ～♪
次は遂に地下1000階！（だよね？）果たして何が待つのか…！？"
LVURfK9vyjE,"
つかの間のリゾート地、怪鳥との激闘を制してなんとかなってよかった！
苦戦しつつも、やり方を掴んでいくのはうまくなってる証(*'ω'*)
このままクリアを目指してがんばろう！！"
LVURfK9vyjE,"Thank you for the DK stream, Lamy-chan! 🥰
Though today it was only 2 bosses defeated, it was like a total of... 7 boss battles total! So even though it may not seem like much, it was an enormous progress today! 👏

You were very smart today, there were some solutions that you came up with that didn't even cross my mind, you're amazing! So don't underestimate yourself, cause you did great!

Looking forward to the collab stream tomorrow! 😊"
LVURfK9vyjE,"ドンキーコングバナンザ配信～！
いっぱい寝てるラミィちゃん可愛い
猿との対決！
すぐに逃げるからめんどくさい敵やねｗ
ボス撃破
もう最後の方なのかと思ってたけどまだまだ下があるのね👀
まだまだ遊べるぞ！
また新たなバナンザが！？
ゾウバナンザだぞぉ？ｗ
掃除機のように吸いまくるの強いねぇ
吸い込んだ物で欠片を作れるのもいいよね
ステージも難しくなってきたし沼るのも仕方ない
沼ってるところもおもろいでｗ
ゆっくりやってね～
配信ありがとう、楽しかったよ
ラミィちゃんだけ大好き愛してるよ
次回も楽しみだ"
