video_id,comment
P6Dl-k8rf84,8:12:18 モデルは絶対春木屋
P6Dl-k8rf84,"ふと思ったけど、日本の学校を体験してない奏ちゃんだからこういう学生が主人公のゲームは相性良いんだなと思ったな。
ところどころでかしこい所を見せれてるのもイイね👍"
P6Dl-k8rf84,8:23:56 ここからの奏ちゃん好き
P6Dl-k8rf84,鴨志田編クリアおめでと〜！！ほんとに魅力的なキャラクター達たくさんだよね！まだまだ始まったらばかりだから、お楽しみあれ〜！！長時間お疲れさま！！
P6Dl-k8rf84,7:13:04
P6Dl-k8rf84,4:21:06 ここすき
P6Dl-k8rf84,😊😊
P6Dl-k8rf84,"So sad I can't watch these live cause of timezones but I'll enjoy the archived version through the week. But man Kamoshida is truly the worst, he broke Ryuji's leg, made Ann cry and almost got Joker expelled wanting to ruin his life. Beat him up Kanade!!"
P6Dl-k8rf84,"コメントしてる人居たけど
自分も奏にペルソナの歌みたやってほしい"
P6Dl-k8rf84,☺️☺️☺️💛✨️😁😁😁💛👏👏💛💕
P6Dl-k8rf84,今日は顔まるいです❤
P6Dl-k8rf84,"奏ちゃんの魅力が引き立つ神回でした✨

悪者であっても反省している姿を見れば同情せずにはいられないような展開でしたが、モヤモヤする！といった言葉通りスカッとするような反応で改めて奏ちゃんの芯の強さを感じました！
次のペルソナ配信も楽しみにしています"
P6Dl-k8rf84,長時間配信お疲れ様でした。かつてスバルママが配信してたペルソナ5Rを、時を経て奏ちゃんがプレイしてるのを見ると感慨深くピエンヌパオンヌです。
P6Dl-k8rf84,こういう長編のゲームだとより感じるんだけど、奏ちゃんの素直で真面目な部分が垣間見えて凄く素敵
P6Dl-k8rf84,きゃなでぃーのプレイ見てて面白いけど胃が痛い(；ﾟДﾟ)
P6Dl-k8rf84,"長時間配信お疲れ様です。
ペルソナにハマったようで何より。
ペルソナファンとして、ホロライブファンとして嬉しい限りです！
続き楽しみにしてます！"
P6Dl-k8rf84,"いつも配信ありがとう
ほぼ9時間の長時間配信……！ペルソナにどハマりして楽しそうにゲームする奏ちゃんが最高です"
P6Dl-k8rf84,奏が最初はリュージに興味ないって言ってたのにコープでの会話試したらリュージ沼にハマっていってたの微笑ましい
P6Dl-k8rf84,"イージーなのに指示コメたくさんだ、そんな難しいのか
おじさん見る専だから後方腕組みです。"
P6Dl-k8rf84,💛💛💛
P6Dl-k8rf84,指示やヒント出しコメントが多いを通り越してそれしかないように感じられる。ペルソナはシリーズやったことないと難しい部分も確かにあるだろう。でも、考える機会を奪うのが良いことなのだろうか。私は失敗も含めてゲームだと思っているが、奏ちゃんが確実にクリアする方を望むならそれはそれ。ただ、他の配信者さんにとっては指示厨に分類されることもあるということは認識したほうがいいと思う。
P6Dl-k8rf84,"手探りでプレイして色々学んでどんどん成長してくのイイね
ゲームとか慣れてくるとこの感覚は味わえなくなっちゃうからリアクションが新鮮で見てて楽しいw"
P6Dl-k8rf84,맨날 어디서 똥겜만 들고와서 하던  연주가 왠일로 명작겜을 하네
