video_id,comment
QANk8jF_KTA,
QANk8jF_KTA,釣り席で応援してますよソロライブ頑張れ
QANk8jF_KTA,"
喉とぅるとぅる良き〜
ライブ楽しみにしてます!
健康第一で楽しみましょう!"
QANk8jF_KTA,"ライブ直前に話す話題がたわちゃんのバターペロペロトークで安心したw
十分に練習頑張ったならあとはライブ楽しむだけじゃ〜！！"
QANk8jF_KTA,"おつみおーんでした！
ダネフシ2回も助かります
ライブ楽しみ！ミオシャも楽しんでね"
QANk8jF_KTA,"朝ミオお疲れ様でした！　飯テロ回はお腹が空きますね…
ソロライブまであと少し、体調を整えて迎えたいですね！
今週もみなさま、良い週でありますように！"
QANk8jF_KTA,"ソロライブ前でも朝ミオをやってくれることに感謝！！！
先週はホロライブが8周年を迎えたね！そして2日後にはミオちゃんのソロライブ！
この前の花火のように、今度はミオちゃんが輝く番だ！！！
万全な状態で挑めるよう願っております✨✨✨✨"
QANk8jF_KTA,"鼻うがいは手術したときやってたけど水残っちゃうのはそういうもんって感じ
残ってないと奥まですすげてない気分になっちゃう
あとダネフシ"
QANk8jF_KTA,"ミオちゃんの低めの声実はめっちゃ好き
喉のためにも、たまにこういう配信して欲しいかも"
QANk8jF_KTA,"ライブに向けてのお休み中は、喉休めも猫ちゃん達とゆっくり過ごす事も出来たようでなによりだよ
いよいよ明後日はソロライブ！ミオちゃんがどんな素敵な景色を見せてくれるのか楽しみにしてます！こちらも全力の声援を届けますよ！"
QANk8jF_KTA,"朝ミオ ！
ミオしゃの喉の調子が好調で我々も嬉しい限りです！
声量控えめの朝ミオがなんだか新鮮&癒し効果高めでよきでした
所々猫トークも聴けて和みました
大舞台の直前に朝ミオありがとうね！"
QANk8jF_KTA,"ソロライブ目前でも朝ミオやってくれてありがとう
喉の調子も良さそうでよかった

いよいよ明後日に迫った夢の舞台
目一杯楽しんでね！
全力で応援しに行くよ

32:50 控えめなﾀﾞﾈﾌｼめっちゃかわいい"
QANk8jF_KTA,"おつみぉーん！
喉を大事にした控え目な感じな朝ミオもなかなかよかった…！どうしても出てきたいﾀﾞﾈﾌｼｯがかわいかったｗ
ついに明後日がライブだね！全力で楽しもうねー！"
QANk8jF_KTA,"朝ミオおつみぉーん！
抑えめ控えめボイス
飯系のおたよりはお腹が空く・・・
ソロライブも間近！楽しみすぎる"
QANk8jF_KTA,"すごく美味しそうなご飯たち、めでたい沢山のニュースたち、目にして惹かれるものはあるのですが、心がどうにもふわふわ心地
すぐ目と鼻の先にある大きなイベントに、心が向いてて、緊張もあるし高揚もあるし、ちょっと心が定まらない感じしますわねｗ
もちろん楽しみではあるんですが、零れそうな涙を抑えるのに、今日は苦労もしましたで

いろいろ考えることはありますけれども、どうかミオさんにみなさんに、すごくステキな一日になりますよう🙏✨
今日も華やかな一週間の始まり、とってもおつみぉーんです。今週もミオさんにみなさんに、よき巡りを
そろそろソロライブ、とってもとっても応援しとりますぞい"
QANk8jF_KTA,てんあげたわちゃ。
QANk8jF_KTA,"穏やかに話すミオしゃも良いですね～
念願のソロライブ，思いっきり楽しんでほしいな！"
QANk8jF_KTA,ソロライブ前の朝ミオお疲れ様です。ソロライブも頑張ってください。
QANk8jF_KTA,"
しっとりボイスな朝ミオをありがとう。明後日が楽しみ。"
QANk8jF_KTA,おつみぉーん ライブまで残り僅かで大詰めの段階に来たね 今までの事を一生懸命やればきっと成功するよ 楽しみだなー
QANk8jF_KTA,"ライブ前最期のの朝ミオ‼️
ライブ前にも配信してくれてありがとうね
ウィスパーみおーんかわいくて不足していたミオニウムが補填されました
ミオしゃの大舞台、現地からコールもペンラの色も完璧にして全力で応援するよ〜！"
QANk8jF_KTA,"ついに明後日はソロライブ！
ミオちゃんの頑張りが詰まった最高のライブに負けないくらい、こっちも全力で応援するよー!!
楽しもうね✨"
QANk8jF_KTA,"43:09 
現地の写真とか見てたらスゴい人数やったけど、
来場者3万人もいたとかDAI DAI DAI 成功で本当にスゴいイベントでしたね！！

喉に気をつかった、落ちついたクールな感じの喋り方も
カッコよくていいですね👍
明後日のソロライブ頑張ってください！！！"
QANk8jF_KTA,"ソロライブ前の朝みおありがとう。
ライブ本番は楽しんで応援しますね。ミオしゃも楽しんで。"
QANk8jF_KTA,"ソロライブ直前朝ミオ！
いつもより控えめボイスなミオちゃんもいいですね…
いよいよソロライブ間近！
ミオちゃんの頑張りに応えられるようこちらも全力で応援するよ！"
QANk8jF_KTA,"
今は大変だろうけど頑張ってね！"
QANk8jF_KTA,イケボミオしゃすごくいい…
