video_id,comment
R_0v5_TnKPQ,
R_0v5_TnKPQ,"「全てを許すことが正しいことなのか？」
いろいろ考えさせられる深い言葉である"
R_0v5_TnKPQ,"Damn, danchou really beat muffet in just two tries, that was actually really cool"
R_0v5_TnKPQ,"Ｐ√も待ってます












G…"
R_0v5_TnKPQ,🤍🤍🤍
R_0v5_TnKPQ,When she said not to hurt her friends... Respect.
R_0v5_TnKPQ,"アンテ配信お疲れ様でした！👏👏👏👏
まさかあんな衝撃展開起こると思わなかったです……😨
小さい子は確実にトラウマになりますね〜あれは……😱
でも無事クリア出来て良かったですね！"
R_0v5_TnKPQ,"ボスをレベル1の初期の体力でやるの大変そうだったけどよく頑張ったね
最後のフラウィを倒そうが見逃そうがそこまでエンディングに変わりは無いw"
R_0v5_TnKPQ,3:00:41 　自分用好きなシーンﾆﾁｬﾆﾁｬ
R_0v5_TnKPQ,アンダーテール完全初見Nルートクリアおめでとうございます！そしてお疲れ様です！違うアカウントでずっと見てました！楽しませて下さりありがとうございました！
R_0v5_TnKPQ,"初見クリアおめでとう🎉
団長のお陰で見た事ない会話や演出が見れて楽しかったです！
別ルートもやる事があれば楽しもうね🥳"
R_0v5_TnKPQ,3:51:19 神避!!!
R_0v5_TnKPQ,3:54:27  ノーコメント笑
R_0v5_TnKPQ,＊配信に間に合わなかった
R_0v5_TnKPQ,おつまっする
R_0v5_TnKPQ,"クリアおめでとう＆おつかれさまでした！ 
3:53:13 そういえば団長は騎士でした。忘れてました。"
R_0v5_TnKPQ,おつまっするでした
R_0v5_TnKPQ,"団長さん、アンテ配信お疲れ様～🎶（アーカイブで続き見たよ～）
パッパとマンマは本当に心から優しい方だったね(´;ω;｀)ﾌﾞﾜ💦
とりま、クリアおめでとうだよ～🎉✨
次やる時は他のルート（LOVE上げ）をやっていこうね～"
R_0v5_TnKPQ,ノエル団長、アンダーテールのクリアおめでとうございます。涙腺と発狂で大変でしたが無事にクリアおめでとうだよ！
R_0v5_TnKPQ,いろんなルート周回したけど、団長の配信見て、まだ　知らない小ネタが多くて　Undertaleってすげぇなってなった✨
R_0v5_TnKPQ,"アンダーテールクリアおめでとう御座います🎊
団長らしい選択が見られてよかったです✨❤
"
R_0v5_TnKPQ,"35:34 36:20 1:03:02 1:04:45 1:44:25 2:00:37 2:10:03 2:22:30 2:43:47 3:00:42 3:17:19 3:19:30 3:24:20 ここで視力検査思い浮かべる人100％説
3:24:39 二回目で見切るとは　3:25:24 3:27:55
3:28:40 また珍しい選択肢
3:29:27 3:45:49 3:48:46 3:49:42　3:50:00 3:53:16 ここでやるパターン初めて見たｗ　3:54:32"
R_0v5_TnKPQ,"アンテクリア
魅力的なストーリーとキャラがいっぱいでとても面白かったです🙌
別ルートも楽しみにしています～"
