video_id,comment
TNiymxZMcUc,2:57:50 敵一体に火炎放射のほうがもったいないわい
TNiymxZMcUc,"今更だけど自分がクロノトリガーやってた時、一度も武器とか防具買ったこと無かったような気がする
物を買う発想が当時なかったんかな"
TNiymxZMcUc,"子供心には「絶望の未来を改変するＲＰＧ」
成長してからやると「歴史改変をすることの意味を知るＲＰＧ」"
TNiymxZMcUc,1:58:49
TNiymxZMcUc,"ドラクエおじさんの件があって長編RPGはやらんと思ってたんだがまさかこのゲーム
やるとは思わなかった
何か心の変化があったのか？
ラミィの実況面白いんだよね
セットでクロノクロスもやってくれたら嬉しい"
TNiymxZMcUc,2:02:20 いや外出なよw
TNiymxZMcUc,1:56:56 技の説明出てるのに…
TNiymxZMcUc,1:27:06 どう考えてもカエルやろw
TNiymxZMcUc,昔は気付かなかったけど、今見ると地下にいたネズミや虫って食料になるんじゃないか？って視点が生まれた。貴重なたんぱく源になりそう…
TNiymxZMcUc,好きなゲームのオケコンは良いぞ😉👍️✨
TNiymxZMcUc,"BGMもストーリーも最高だね(∩´∀｀)∩
ラミィちゃんのプレイスタイル好きだからまたこういうの見られて嬉しい💕"
TNiymxZMcUc,1:12:44 せっかく刀を買ったなに
TNiymxZMcUc,"名作プレイ配信やるって見かけて見に来ました✨️
クロノトリガーめっちゃいいですよね！曲も😌
オレも中世のBGM一番好きです🎵"
TNiymxZMcUc,極悪非道のクロノ爆誕
TNiymxZMcUc,
TNiymxZMcUc,"クロノトリガーです！！
初見ですがBGM、ストーリーが良く名作ゲーなのが頷けますね！！
ラミィさんのリアクション込みで最高に面白いです！！
次回も楽しみ♪"
TNiymxZMcUc,😁😁😁💙💕🥰🥰🥰💙💕👏👏
TNiymxZMcUc,当時はスーファミでやったクロノトリガーなので記憶が甦る
TNiymxZMcUc,"Chrono Trigger, one of the game that shape my childhood. I always watch whenever one of the Hololive girls is playing it. It just that good and trigger my nostalgia"
TNiymxZMcUc,クロノトリガーのBGM最高だよね👍️
TNiymxZMcUc,むっちゃ面白かった！お店で悩んでいるとき…プライムデーなら買ってそうと思った
TNiymxZMcUc,"アーカイブ見終わりました😚
自分も初見でラミィちゃんと一緒に楽しめるのが嬉しい🥰
BGMもいいし、ストーリーもめっちゃ面白そうなかんじやし続きが気になる😳👍"
TNiymxZMcUc,"序盤からたたみかけるように進んでいくのはクロノトリガーならではだな

ラミィちゃんが自分とは違う感じ方や楽しみ方を見てるとそれも面白くてずっと見続けちゃった…次回も楽しみ！"
TNiymxZMcUc,こよりもやってたけど、心の片隅でルッカとマールの名前をポルッカとオマールにして欲しかった自分がいる
TNiymxZMcUc,"おつラミ！
クロノトリガー序盤の目玉「王宮裁判」は惜しくも有罪、初めてで無罪勝ち取れるかドキドキしました。
パーフェクト有罪を飾ったホロメンもいる中、大健闘だったと思います。次回も楽しみにしてます！"
TNiymxZMcUc,めっちゃいい...自分が何も知らずにプレイしてた時のような感覚でみれるし、何よりラミィちゃんの反応がいい！クロノトリガー遊んでくれてありがとう
