video_id,comment
WkjUofqdgBY,"朝こよ 249回目 おつこよ！
こよちゃんXD-LABの共同研究、ロケや研究の結果、楽しみ！
こんこよ高校を応援する団長、こんな綺麗な絵馬まである、きっと運よくなる！
こよちゃんの恐怖耐性は最弱レベルと思ったが、まさか某ござるが下
こより占いは久々に当たった、ロウソクかわいい
今週もがんばれ！
そして来週はもう250回目なのか！？楽しみ"
WkjUofqdgBY,腋！
WkjUofqdgBY,"色んな情報たっぷりで、リーク常連になりつつあるラプ様やニコたんの返答も面白かったｗ
台詞大賞の聖上で笑って、こよちゃんの一言の素っ気なさでめちゃくちゃ笑いましたｗ"
WkjUofqdgBY,"
もう次で250回目の朝こよかぁ…いつの間に歴史が生まれてるもんだなぁ"
WkjUofqdgBY,毎週朝こよのおかげで忙しくて配信とか最近のホロライブを追えてない時でも色々知ることができて本当に感謝してます！！朝こよは不滅！！
WkjUofqdgBY,🩷🩷🩷
WkjUofqdgBY,えっ､まじかぁ〜のどかさん今までお疲れ様でございました〜。
WkjUofqdgBY,ラプちゃん絵が上手いけど裸なの面白いってなりがちだけど、なんであれミオしゃといつメンてわけでもないのにちゃんと心がこもった応援メッセージを書いたって事が素晴らしいよね！
WkjUofqdgBY,
WkjUofqdgBY,"【提案】
次回250回記念ということで久しぶりにゲストに
最近毎週のように朝こよリークに登場してて
ダジャレもとい語呂合わせが好きそうな「ニコたん」いかがでしょうか？"
WkjUofqdgBY,"寝起きのフニャフニャ可愛い🥰
次回250回目おめでとうございます🎉👏"
WkjUofqdgBY,駆け込み神社⛩️
WkjUofqdgBY,"
今週も朝こよで楽しい時間をありがとう！こよちゃんの運が上がっていきますように！"
WkjUofqdgBY,"249回目の朝こよおつこよ〜！

250回目も目前の朝こよ！
8周年ホロのおめでたい事もいっぱい共同研究の進歩も楽しみKHN！団長に感謝とノエこよの絆&面白いリークの一喝！
ダジャレにニッコリな週刊朝こよ！最カワな待受と経験で迷走する難易度の占い！一緒でめっちゃ楽しい盛りだくさんな朝こよありがとう！
冷静に今週も元気に一緒に頑張ろうー！

助かるねむねむ&あくび最カワなこよちゃんに逢えて嬉しい朝こよ朝の元気と新鮮なコヨリニウムもありがとう！
可愛い台詞大賞&助かる可愛いCパートんーまっへへっ最高に可愛すぎるこよちゃんが大好き
多忙な今週もこよちゃん体調に気を付けて頑張ってね！Shorts&こよちゃんに逢えるのが幸せな時間すっごく楽しみに応援しているね！いつもありがとう"
WkjUofqdgBY,おつこよ〜
WkjUofqdgBY,カウントダウンライブがあるって事はそろそろフログロの3Dも近い感じかな。去年もリグロスも年末までに全員が3Dになってたし、ダンスレッスンがどうのこうのっていう話も最近よく聞くようになったから。
WkjUofqdgBY,これからのこよちゃんの旅（こんこよ高校）に幸運があらんことを！ゲス配信も楽しみにしてます！お仕事がんばってー
WkjUofqdgBY,やはりフログロもテスト受けさせるべきではないかい？こよちゃんｗｗｗ
WkjUofqdgBY,"朝こよ
250回目前"
WkjUofqdgBY,今年の流行語大賞候補「こよる」
WkjUofqdgBY,"朝こよおつこよ
のどかさんの退職と団長の優しさに涙が
ポルポルは納得だったけどニコたんよ…"
WkjUofqdgBY,オリーの名前がOrieになってますわよー
WkjUofqdgBY,おつこよ🩷
WkjUofqdgBY,"
今週も朝から楽しい一時間をありがとう！
ニュースは質量ともにすごかったし、遠吠え一喝も面白かったよ〜
ありがとう"
WkjUofqdgBY,The Tower. Lets goooooo!!!!
WkjUofqdgBY,"
朝こよありがとう！楽しかったよ
のどかさん直接ではありませんが、お世話になりました
今後のご多幸を祈っています"
WkjUofqdgBY,Thank you for the AsaKoyo~!
WkjUofqdgBY,"朝こよ、おつこよーでしたー
٩( 'ω' )و
毎週火曜の楽しみです、朝から元気もらえます🎶"
WkjUofqdgBY,"今週もありがとう✨
めっちゃ嬉しい時間だし夜勤族だからこよりちゃんの配信リアタイ出来るのが嬉しい！朝こよ最高"
WkjUofqdgBY,今日も楽しかった！
WkjUofqdgBY,"今週も楽しかったよ！
D-LABさんとの共同研究プロジェクト頑張ってね
今週はかなり忙しそうだけど体調崩さないよう気を付けて
金曜日のホロ甲育成も楽しみにしてるよ！団長の祈願やフブさんの豪運にあやかりたいね"
WkjUofqdgBY,"朝こよおつよこー
いつもお疲れ様〜"
WkjUofqdgBY,"6:11-開始 / 朝〜こ〜よ〜
6:46-おはこよ～！ 
7:19-(眠そう)ふにゃふにゃ助かる 
8:01-249回目！ 
8:48-(Koyori's Hot News /​KHN！KHN！KHN！)   
9:18-①春先のどか、退職... 
12:01-助手ちゃん 
12:24-同業他社w 
13:11-➁公式グッズ続々発売中 
13:49‐8 周年！ 
14:51-ホロカ ！
16:52-渋谷ツタヤのね
17:32-6 FESのBlu-Ray 
18:12-③ボイス8%オフキャンペーン 
19:22-④カウントダウンライブ開催! 
20:31‐もう 1 年終わるのかぁ...
21:40-⑤オリー先輩専用チャンネル...? 
24:19‐⑥ReGLOSS2周年パーティー 
25:25-もう2年経つんだね
26:24-⑦『灰仭巫覡』イメージソング 
27:39-⑧ 一番くじVillain Style
29:02-⑨ ファミ通.comで対談
30:16‐⑩ ミオ先輩ソロライブ今週!
31:03‐がんばえ〜 
31:17‐⑪ こより、D-LABと共同研究
32:57-ロケ映像楽しみ！  
33:44-⑫ホロぐらにこよりの気配 
34:17-そういえば唯一JPか 
34:49-こよママ 
35:06‐(台詞大賞)  
35:15‐台詞一(8番出口w)
36:02‐(遠吠え一喝) 
36:46‐①愛(⚔) 
37:39‐団長，優しいねぇ…
39:04- 
39:18- ありがとう団長....
40:05-➁はだか 
41:41- セーフ
42:28-ラプちゃんの返信 
42:48-
44:15-③カドショキングRTA 🌽
45:42-さすフブ！ 
46:07-豪運きーつね！ / 嫉妬がｗ
48:00-他校調査ｗ 
48:37 フブさんの返信
48:42-やはり物欲センサー 
49:56-(週刊 朝こよ！)  
50:29-恐怖耐性特集 
51:46-最弱四天王... 
53:34ニコたんの返信 
54:10-は？ 
55:15-台詞二(聖上ｗ / かわいい) 
55:42-(クイズコーナー)🔮こより占い🔮 
56:18-簡単なのか (★☆☆☆☆) 
56:31-The Tower 【正位置】
56:58-(解說)  
57:57-(結果) 
59:02 それ丑の刻参りじゃｗ
1:00:22-こーうんの壺で草 
1:03:14-次で250だね
1:03:50-おつこよ〜 
1:04:30-Cパート助かる  
1:05:36-最後まで諦めんなよー！ 
1:06:42-"
WkjUofqdgBY,"朝こよおつこよ！
今週も楽しいニュースありがとー！
ラッキー待受…ボケてやってるのか、純粋にやってるのか、こよちゃんならどっちもありえる"
WkjUofqdgBY,"朝こよおつこよー！
今日も分かりやすいまとめありがとうございます！
こよちゃんの運が、爆上がりしますように"
