video_id,comment
X1UMIUaXLoc,I HATE THE. EWWWWW!
X1UMIUaXLoc,EWWW NOT ANIMES
X1UMIUaXLoc,"The animation is brilliant, and so is the music. (Sorry for the English, English isn't my first language)"
X1UMIUaXLoc,q
X1UMIUaXLoc,❤️❤❤❤wow ☆□☆
X1UMIUaXLoc,ゴーストマリンの笑顔が可愛すぎる😂
X1UMIUaXLoc,部分的にア〇カツみたいなカット入るの好き…
X1UMIUaXLoc,90年代を感じる…
X1UMIUaXLoc,This is my favourite song of yours
X1UMIUaXLoc,❤❤❤❤
X1UMIUaXLoc,ごおdっそんg
X1UMIUaXLoc,もう可愛すぎて眠気覚める❤❤❤
X1UMIUaXLoc,Spotify plz..
X1UMIUaXLoc,ALLA JAPANESE ?!
X1UMIUaXLoc,"ほんとにこの人のMVって映像のクオリティって凄いよなぁ
ホロリスではないけど品質の高さにいつも驚かされるわ"
X1UMIUaXLoc,二人のマリン船長かぁ……どっちが若いとかあります？
X1UMIUaXLoc,Ooo this is teto
X1UMIUaXLoc,I don’t understand a thing and i might have offended a whole ass nation but… Holy goon..
X1UMIUaXLoc,You look really beautiful
X1UMIUaXLoc,They all look so adorable
X1UMIUaXLoc,髪下ろしてる船長めっちゃ好き
X1UMIUaXLoc,Es una cancion pegadisa
X1UMIUaXLoc,Pls tell me u are not lesbian pls pls pls
X1UMIUaXLoc,"€}#%~!~~€%<€#}>%}€%#€#<^#>>}<€%<€<<€#~€%#?>}<%}>#~>#<!<<£<~€<<>>?€<<~?<,<,,?>~?>????,?<|%}*}~*}|^%{#~#>~<><||~~~~~~~~~~~~~>%#}}*<>€^#<>#<>#<~~<<>#<}~>##>#}€>>>>~<#~>}~>}}<>#}>}<#}>#>#<€>><<<"
X1UMIUaXLoc,She's my favorite person now
X1UMIUaXLoc,ここに70歳マリンたしたらどうなるんだろ...
X1UMIUaXLoc,本当に船長推してよかったって改めて思った
X1UMIUaXLoc,船長可愛い❤❤
X1UMIUaXLoc,幽霊船戦の船長の服が黒から白になって綺麗になってるのが好き、救われたんやな...
X1UMIUaXLoc,いろんなマリンがいるでしょ！
X1UMIUaXLoc,ふたなりのマリン船長に見えてしまった
X1UMIUaXLoc,Many wives
X1UMIUaXLoc,I love this ❤
X1UMIUaXLoc,Umm hi
X1UMIUaXLoc,本当にすごすぎる…
X1UMIUaXLoc,おい、もうFYPに載ってるぞ
X1UMIUaXLoc,❤
X1UMIUaXLoc,🎉🎉🎉🎉🎉🎉
X1UMIUaXLoc,"最近思ったこと...「なにこの曲！？マリン船長が2人！？天国～」
って思った😊"
X1UMIUaXLoc,Pistacho 🐟♥️
X1UMIUaXLoc,there's TWO OF THEM
X1UMIUaXLoc,Yaşayış
X1UMIUaXLoc,3 times in a row? God damn
X1UMIUaXLoc,ライブで聞いてこの曲めっちゃ好きになった
X1UMIUaXLoc,"この方がテレビでお茶の間を
めちゃくちゃ凍らせたおばちゃん
かぁ!!､
歌もそこまで上手くないんだな｡"
X1UMIUaXLoc,😊❤
X1UMIUaXLoc,🥹It’s just so peak
X1UMIUaXLoc,ふたりのマリン船長が疲れててふたな…に見えた
X1UMIUaXLoc,😆❤️
X1UMIUaXLoc,ふっふー！
X1UMIUaXLoc,Hhjyhh❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
X1UMIUaXLoc,3人のマリンは高校時代ー今ー活動後の姿を形容してるのかと思った
X1UMIUaXLoc,my queen in fields of wheat
X1UMIUaXLoc,❤❤❤❤❤❤
X1UMIUaXLoc,:_Doyamarin::_Doyamarin:
X1UMIUaXLoc,เช็คอิน
X1UMIUaXLoc,一味の女子なんか足ながない？
X1UMIUaXLoc,انا العربي الوحيد هناااا
X1UMIUaXLoc,Blah blah blah my ass
X1UMIUaXLoc,Guys I'm an Indian could someone explain what's this about I stumbled here ?
X1UMIUaXLoc,右かな
X1UMIUaXLoc,Cuál es el nombre del anime
X1UMIUaXLoc,Salve brasileiro 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷❤️❤️❤️❤️❤️🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷
X1UMIUaXLoc,porque essas lombra aparece pra mim ? só queria um conteudo util
X1UMIUaXLoc,Qual o nome?
X1UMIUaXLoc,"Did I just find her?

Where is this meant to be from?"
X1UMIUaXLoc,isso é um anime😅😅🤔🤔♥️♥️
X1UMIUaXLoc,sin comentarios
X1UMIUaXLoc,これ出来る限りヴォーカルに合わせて作ってんな
X1UMIUaXLoc,"船長かっこいいしかわいい
なんか手下達？が一緒に笑顔で踊ってるのなんか更にかわいい"
X1UMIUaXLoc,マリンの新曲大好き😍
X1UMIUaXLoc,"best japan song i ever heard, listen to it for days! thx <3"
X1UMIUaXLoc,マリ箱の船長いるの尊い
X1UMIUaXLoc,Столько людей постарались для марин
X1UMIUaXLoc,La amo a Marine Hoshino ❤️ somo quisiera un saluda de ella 😢
X1UMIUaXLoc,可愛い×可愛い=最高に可愛い
X1UMIUaXLoc,Alright guys I’ll take one for the team and  marry her
X1UMIUaXLoc,これは決められないです
X1UMIUaXLoc,どっちも好きだから❤
X1UMIUaXLoc,マリン船長のオリジナル曲のmvはいつも素敵です
X1UMIUaXLoc,どっちの船長も可愛いし魅力ありすぎ
X1UMIUaXLoc,❤❤❤❤😊😊
X1UMIUaXLoc,そんなの…どっちもに決まってるやんか!!!!
X1UMIUaXLoc,あまりV好きじゃない僕でも、この曲は刺さる
X1UMIUaXLoc,多分これも幽霊戦船の伏線かなんかなんかな？
X1UMIUaXLoc,The animation and music are so good
X1UMIUaXLoc,*AYAYAAAAAAAA*
X1UMIUaXLoc,どっちもー！！
X1UMIUaXLoc,モルジアナ感あるよね
X1UMIUaXLoc,宝鐘マリンはかわいいってことですね
X1UMIUaXLoc,か、かわええ……❤
X1UMIUaXLoc,i wanna dance with her
X1UMIUaXLoc,ロングへぁーの船長かわいいな
X1UMIUaXLoc,どっちも好きだから選べるへん
X1UMIUaXLoc,スキDieに出てる船長みんなかわいい
X1UMIUaXLoc,幽霊船戦のマリン船長じゃん…（т-т）
X1UMIUaXLoc,"Fellas, I might be down bad for Marine."
X1UMIUaXLoc,"マリン、君は君らしく、君は君らしくて可愛いね :3

あっ、そんなこと言ってしまったかな？"
X1UMIUaXLoc,"マリ箱で亡くなった船長が
幽霊船戦で解き放たれて
それぞれの軸が混ざり重なってスキスキでパーティーしてる(お盆)"
X1UMIUaXLoc,全ての船長が可愛いです❤
X1UMIUaXLoc,船長が「キミたち」って呼ぶ声が大好きなんだなあ
X1UMIUaXLoc,新しいUSJハロウィンの歌ですか？
X1UMIUaXLoc,ワンピースの方はお姉さんですか？w
X1UMIUaXLoc,船長のしゃくり好き
X1UMIUaXLoc,お尻が大きい方が船長だな？
X1UMIUaXLoc,可愛い！！
X1UMIUaXLoc,Marine!!!
X1UMIUaXLoc,マリン船長ｶﾜ(・∀・)ｲｲ!!
X1UMIUaXLoc,Я танцую со своей шизой 🤣👍
X1UMIUaXLoc,だいすき
X1UMIUaXLoc,どっちも可愛い🍀
X1UMIUaXLoc,I thought it was Kasane Teto for a moment
X1UMIUaXLoc,MVで見るマリン若いなw😂
X1UMIUaXLoc,いや好き！！！！！！！！！！
X1UMIUaXLoc,"なんとなく少女らしい表情の船長と
大人っぽい感じの表情の船長が揃うと破壊力えぐいな"
X1UMIUaXLoc,"どっちがではなくどっちもかわいい😍
てか選べないお"
X1UMIUaXLoc,どっちも可愛い、、、、
