video_id,comment
ZkTOi7zRilk,次のダスピも楽しみにしてる！今日も楽しかったよ〜。
ZkTOi7zRilk,❤❤💛💛🧡💖💖💖
ZkTOi7zRilk,This was a nice stream Nene. I hope you have a good day.
ZkTOi7zRilk,❤
ZkTOi7zRilk,1:19:23　一直線にモザビに向かっての落下は芸術点高いｗ
ZkTOi7zRilk,"6:14 開始
7:12 ダシュピ始動
9:32 キャラ選択
12:27 1試合目
14:50 早速銃撃
16:17 ねねち死にすぎ事件
19:16 敵の連携射撃に…
21:26 1試合目部隊全滅
23:37 2試合目
25:18 蘇生中に…
25:32 2試合目部隊全滅
27:21 3試合目
29:53 配信始まる前の話
ねねちとすいちゃんの話
ねねトワの話
36:38 敵と対面
37:15 3試合目部隊全滅
38:39 4試合目
40:44 ねねちいけー
　　　4試合目部隊全滅
42:45 5試合目
44:40 打ち合い すいちゃんのミサイル
44:45 ５試合目部隊全滅
47:28 ６試合目
52:26 スライディングジャンプ キューポン‼️
54:43 敵と戦闘開始
56:15 ６試合目部隊全滅
58:32 7試合目
1:04:46 ねねち援護に加勢
1:05:59 命のリレースタート
1:09:13 ここにいるなり
1:12:25 強敵と遭遇
1:14:54 7試合目部隊全滅
1:17:02 ８試合目
1:19:24 あ、やばい
　　　　道があると思った
1:21:00 ねねちの面白さ
1:25:20 ねねランチャー
1:25:57 敵と対面
1:26:34 8試合目部隊全滅
1:28:00 ９試合目
1:37:28 トワ様の大〜ぃ好きぃ
1:42:53 ねねちの大活躍
1:43:28 ９試合目部隊全滅
1:44:59 10試合目
1:54:12 ふぁ ふわふわ〜
2:02:40 ラストの戦闘
2:03:02 試合終了 2位
2:04:28 ダスピ2位までいけた また三年後
2:04:44 おつダスピ
ダスピでのAPEX配信お疲れ様〜
久しぶりのねねちとすいちゃん、そして上手いトワ様の
ダスピの連携で2位までいけたね‼️またコラボ配信待ってるよ。"
ZkTOi7zRilk,"おつダスピ！
まったり雑談しながらエペめっちゃ楽しかった！最後の2位は惜しかったね…！GG！
3年後と言わずまたダスピで集まるの待ってます✨"
ZkTOi7zRilk,ねねち、すごく楽しかった！おつねね〜🌟🌼
ZkTOi7zRilk,Por el enorme esfuerzo que hicieron por llegar a estas instancias😊♾👏2:02:45🧡💜💙gracias nuevamente ねねち por otro momento entretenido y divertido a la vez...!!!
ZkTOi7zRilk,3人の配信良かった！
ZkTOi7zRilk,🧡💜🩵
ZkTOi7zRilk,"惜しくもチャンピオンならずも2位惜しかった！
そして、3人の自然体のゆる～い感じの雑談が最高によすぎる…
また次のダスピも楽しみにしてます！"
ZkTOi7zRilk,"おつダスピ
APEX配信ありがとう！
楽しかった！
次回の配信も楽しみにしています"
ZkTOi7zRilk,"Thank you for the hard fight but fun Apex Legends collaboration stream with Sui-san and Towa-sama, Nene-chi!

You all did your best regardless 👍"
ZkTOi7zRilk,DäsupでのApex配信ありがとうございます
ZkTOi7zRilk,"1:58:06 いたずらすいちゃんにビックリするねねちの御二人かわいい
ダスピフルパAPEXおつダスピ！ゆるく雑談しながらも2位GGでした！
道中での雑談を聞いているともっとダスピを見たくなったのでこれからも是非！"
ZkTOi7zRilk,おつダスピ🧡💙💜
ZkTOi7zRilk,
ZkTOi7zRilk,ねねちのコラボ＆おしり♡もチャンピョン
ZkTOi7zRilk,😁😁😁🧡💙💜✨️🥰🥰🥰🧡💙💜💕
ZkTOi7zRilk,"こんねねねねちたち。
配信ありがとう。可愛くて温かくて楽しかった。
お疲れ様。ダスピすてきな友情。
APEXむずそう。2番おめでとう。ダスピ上手です。

ねねち🍑、とわ様👾、すいせい様☄、ハムちゃんや皆様最高にありますように。
全ての夢できますように。
良い夢を。おやすみ。"
ZkTOi7zRilk,Thank you for the fun stream Nenechi! It's great seeing you playing more Apex Legends!
ZkTOi7zRilk,"おつダスピ～
楽しかったねぇ"
ZkTOi7zRilk,O
