video_id,comment
_1ffz3ADSNI,「ラプラス先輩本当に気持ち悪い…(ボソッ)」が好きすぎて何度も見に来ちゃう笑
_1ffz3ADSNI,ラプ様の親はこれを見てどう思ってるんだろう……
_1ffz3ADSNI,"初見です！
なんですかこれ！？"
_1ffz3ADSNI,20:56 21:51 23:26 23:39
_1ffz3ADSNI,Yagoo dream so destroyed that even the maintenance workers for the bathrooms at taco bell and 7/11 cant fix it
_1ffz3ADSNI,Nerissa 22:07
_1ffz3ADSNI,💜😂
_1ffz3ADSNI,She was nerissa aka mommy and the twin dog is fuwamoco
_1ffz3ADSNI,救済やな〜
_1ffz3ADSNI,Yes my dog😊
_1ffz3ADSNI,ネリッサかわいい
_1ffz3ADSNI,It should've been me 😭
_1ffz3ADSNI,"マジで無敵の人
アーカイブ残ってるの奇跡"
_1ffz3ADSNI,Wait this stream is okay to stay on this place!?
_1ffz3ADSNI,"久々にまた観に来たけど
やっぱりネリッサお姉様の声
最高です"
_1ffz3ADSNI,34:01 34:01 ループにして聞くべき
_1ffz3ADSNI,24:36
_1ffz3ADSNI,31:05 mocochans reaction to being called a bad girl is sooo hilarious 😭😭
_1ffz3ADSNI,現地で実演してるの草
_1ffz3ADSNI,Gallons were lost.........
_1ffz3ADSNI,LaPlus! Thank you very much for making this stream possible!
_1ffz3ADSNI,これは、youtubeの、ホロライブの限界に挑んだ、とある欲にまみれたショタの物語である。
_1ffz3ADSNI,最近すごいね😳、もう、びっくりしたよ！でも、どんなラプ様も好きだー
_1ffz3ADSNI,有料クローズドコミュニティ専用のコンテンツではなくて！？
_1ffz3ADSNI,i would give anything to be a fly on the wall of that room
_1ffz3ADSNI,34:05 tskr
_1ffz3ADSNI,セクシーなママ
_1ffz3ADSNI,彼女が変態なのが好きだ
_1ffz3ADSNI,I love pervertssss~~~
_1ffz3ADSNI,This is a stream that deserves to be in the Hall of Fame
_1ffz3ADSNI,"i'm not gonna lie i know how to speak 7 languages, but there was no other way to teach me this much, all in 30 min or less of how to say things in Japanese 🤣😅💙💜💕💙"
_1ffz3ADSNI,ちょっとさこれはさ未成年の俺は頭が弾け飛びそうだっよ           ﾃﾞﾓﾁﾖｯﾄｺｳﾌﾝｼﾀ
_1ffz3ADSNI,they really think they can BEAT vallure?? 🤣🤣 typical hololive L man you can’t beat the peak that vallure provides 😌 if smacks is the best they can give then they will always be light years away
_1ffz3ADSNI,your trying to be vallure but i wont get roped back into my memberships… absolutely disgusting that kobo makes you pay EIGHT dollars for i assume extremely mid asmr 🤮
_1ffz3ADSNI,Not sure I learned much but it was enlightening.
_1ffz3ADSNI,恵まれました
_1ffz3ADSNI,らぷちゃんの伝説回😈
_1ffz3ADSNI,tskr
_1ffz3ADSNI,"34:00 ~ 34:32 
くらいまでが、人気のシーン。

モココのこれだめぇ！が好きかも"
_1ffz3ADSNI,Laplus Darknesss ---> Laplus Doggy
_1ffz3ADSNI,I need to learn Japanese just for this.
_1ffz3ADSNI,this is what you call: competitive down atrociousness
_1ffz3ADSNI,Legendary Stream
_1ffz3ADSNI,"総帥の職権乱用だろw
ラプラスガチじゃんw"
_1ffz3ADSNI,Yeah I am gonna need someone to put subs on this ENTIRE stream 🤣
_1ffz3ADSNI,何だこのトチ狂った配信…オフコラボ？！
_1ffz3ADSNI,A・SM・R
_1ffz3ADSNI,i don’t know how to read much japanese and thought i was going to get asmr to sleep to 🙂 this is so much better though 😀
_1ffz3ADSNI,"i came here cause of a clip
i thought it was a joke
now i have regrets"
_1ffz3ADSNI,34:09のところ好き
_1ffz3ADSNI,Laplus with the Historical Aura Debt For Generations
_1ffz3ADSNI,Oh my my... 
_1ffz3ADSNI,きもちわる笑
_1ffz3ADSNI,I guess this stream was God's sign to me that I have to learn Japanese
_1ffz3ADSNI,"2025年8月16日アーカイブ生存確認
現在公表されてから12日目
再生数73万回
配信またはチャンネルの削除の兆しナシ"
_1ffz3ADSNI,"ラプちゃんいいぞ！もっとやってくれ！
ホロライブの常識をぶっ壊すんだ！"
_1ffz3ADSNI,笑いすぎて腹筋ちぎれそうになるからASMRにならない
