video_id,comment
aIaqvM2ltbg,ほんと楽しそうにゲームするラミィちゃんが可愛すぎて辛い
aIaqvM2ltbg,"心に来るストーリーだぁ₍₍ (̨̡ ´꒳` )̧̢ ₎₎
でも楽しかったなぁ(∩´∀｀)∩
ラミィちゃんのプレイスタイルやっぱり好き！"
aIaqvM2ltbg,やりなおしをしないところが好き
aIaqvM2ltbg,😊😊😊💙👏👏💙🥰🥰🥰💙✨️💕
aIaqvM2ltbg,やり直さなかったのは只のヒロイズムに酔ってるだけじゃないかなぁ。性格でるよね、ここは。
aIaqvM2ltbg,"ラミィちゃんクロノトリガー配信お疲れ様❄
よかった...クロノが無事に生き返れて本当に良かったね...
今回色々と悲しい出来事やラヴォスとの戦いに必要になってくる色々なヒントをもらえたりルッカやロボの重めの話があったりとすごく濃密な回だったね...
ルッカのあそこは屈指の初見ゴ口しのトラウマシーンって言われてるだけあって初見だとてんぱっちゃったりでああなっちゃうこと多いらしいね...
強い装備や連携も増えていよいよ最終決戦が目前に迫ってきてる感じがするね
この物語が最後どうなっていくのかドキドキだね、最後まで一緒に見届けよう！ラミィちゃん応援してるよ！
楽しい時間をありがとう
また次回も楽しみにしてるよ
ラミィちゃん可愛い愛してるよ"
aIaqvM2ltbg,ボス戦での技の選択の迷い方を見てると、レベル上げではずっと物理で叩いてるんだろうな😅
aIaqvM2ltbg,"今回は重めのストーリー多めでしたね…
ルッカのお母さんのところ、やり直しはしないと言い切ったのはラミィちゃんの本気度合いを感じました
だからこそのロボの優しさが沁みますね…
物語も佳境に入ってきてどのような結末が待っているのか、寂しさはありますが最後まで駆け抜けていきましょう"
aIaqvM2ltbg,"2:21:35 
自分用"
aIaqvM2ltbg,"ルッカのお母さんに関して「ロードできるよ」と言われてもロードしなかった所
メタに走らずRPGの世界を大切にして、人生としてちゃんと心を痛めて受け止めようとする
ラミィちゃんのそういう所が好きで応援しているんだなぁと改めて思いました。

それは雪花ラミィとして皆の夢を大切にしてくれているような活動スタイルにも
繋がっているなと思います。いつもありがとう！"
aIaqvM2ltbg,"おつらみでした！
取り返しがつかない選択ってそういうことだったんだね…あの結果は結構心に来るものがあるね
全てがハッピーで終わらないところが色々なドラマがあって面白い作品！
最終決戦まで残り僅かなのかな？次回も楽しみにしてるね"
aIaqvM2ltbg,"ルッカのイベントは難しいですよね。
プレイしてた当時は攻略サイトもなく、上手くいかなかった記憶があります"
aIaqvM2ltbg,"クロノトリガーが名作なのは勿論だけど、ラミィちゃんの反応がとても良くて毎回アーカイブ追いかけてます😊
リアルタイムで見れる時は見てるけど見逃したとことかアーカイブで見てるよ！丁寧にプレイして感情移入してて凄く良い実況だと感じる！
次回も楽しみにしてるね😆"
aIaqvM2ltbg,おつらみールッカのイベントは初見じゃ助けるのはどうしたらいいかわからないから難しいよね。
aIaqvM2ltbg,
aIaqvM2ltbg,"配信ありがとー☃️
クロノトリガーのギミック難しいの多いから当時沼った記憶が蘇りました！楽しくできれば良いのです🕊️"
aIaqvM2ltbg,💖💖💙💙💖💖💖
aIaqvM2ltbg,"ラミィちゃんが1人1人のキャラクターの気持ちを考えてあげられる優しい心の持ち主なのが素敵だなと思った。
やり直したくてもやり直せない、けど、これも１つの可能性であり世界の形なのは事実、やり直しても歴史を変えられない事だってあるよ
それに、誰よりも人間らしい優しい性格のロボ、ロボがそんな風に人の心を理解出来るように直したルッカ、2人の関係が友達ってのも凄く素敵だよね
ラミィちゃんも後悔する選択を今まで沢山してきたと思うけど、それらについて改めて考えさせられる深いイベントだったね
スタッフさん達のメッセージ性も感じられる...
因みにホロメンだけでいえばお母さんを助けられたメンバーと助けられなかったメンバーとで半々くらいだったから全然気にしなくて大丈夫だからね！
それよりもラミィちゃんの優しさを感じられた回になったよ✨"
aIaqvM2ltbg,機械の緊急停止にパスコードが要る事自体悪魔のシステムだわ😅
aIaqvM2ltbg,"ラミィちゃんの素直なリアクションを観てるとこっちまで感情移入しちゃうよ…
次回もがんばってね！"
aIaqvM2ltbg,"
このゲームに限った話ではないけれど、うまく選択できなくて悔やむシーンがたくさんあったよ。
小学生の頃にスーファミでやった時めちゃくちゃ後悔したし、リメイクでGBA版が出た時も思い出しながらやり直したのが懐かしい～！
ラミィちゃんの配信見てたらまたやりたくなったからやってみようかな♪"
aIaqvM2ltbg,おつらみ、申し少しでクリアかな
aIaqvM2ltbg,"ルッカイベは仕方が無い
コメで教えてた人はさむい"
aIaqvM2ltbg,おつラミ！
aIaqvM2ltbg,"
心をめちゃくちゃにされながらも次に進んでいく気持ちわかるよ(*'▽')✨
歴史に名を刻んだ名作でもあるクロノトリガーもクライマックスへ！
どんな結末を迎えるのか楽しみだよね"
aIaqvM2ltbg,"ラミィちゃん、クロノトリガー6回目
今回もラミィちゃんの配信見ながらクロノトリガー並走できて楽しかった♪
ラミィちゃんがこのゲームを楽しんでくれてるみたいで本当に嬉しい☺️✨
配信ありがとう！
次回はどんな感じになるのか楽しみにしてるね✨"
aIaqvM2ltbg,"クロノ無事に復活！！
ラヴォスを倒すために世界巡ってパワーアップ、がんばってー！"
aIaqvM2ltbg,17:54 45:05 55:46 1:08:22 1:31:59 1:32:02 1:32:04 1:59:52 2:17:32 2:41:11 今日も可愛いすぎる
aIaqvM2ltbg,おつらみ🩵
aIaqvM2ltbg,"実はクロノ復活時にルッカかマールがいるともうちょっとワチャワチャある
自分はマールがいなくてルッカがいるVerが凄く切なさもあって好き

初見プレイですーごくいいペース
HP1くそ笑ったｗ"
aIaqvM2ltbg,"クロノトリガー6日目でしたー！
今日の髪型好きすぎて画面より右下に目が行ってしまう
もう少しでクリアかな！？がんばってー！ふぁいと！"
aIaqvM2ltbg,"14:11 自分もラミィちゃんのいう言葉に引っ張られて惑わされたんだけど、ドッペらなあかんところだから相手のマネをすればいい鏡になればよかっただけでしたね。
一度もドッペれずに終わったラミィちゃん愛らしくもいとおかし。"
aIaqvM2ltbg,"Thank you for the great stream, Lamy-chan ! Today was full of emotions and fun moments too ! I really like how Lamy-chan is playing RPG. We can see your care for the story, characters world development. It's like re experiencing the game for the First time once again 
Don't worry for the puzzle dungeon. You did so well ! And above all showed a really strong boss fight ! You are doing amazing  I can't wait for the next episode !
I wish you a wonderful night and sweet dreams. I Love you, sweet Lamy-chan "
aIaqvM2ltbg,"でした！
クロノ復活できてよかった！しかしあの館にそんな使い道があるとはねwあの山実はラミィちゃん一度踏み入れてるのよ、覚えてない？w
やっぱクロノいないと始まらんよねぇ、そして各時代を巡ってラヴォスに備えると、まさに最終決戦前夜みたいだよね…ルッカに哀しい過去あり救えたはずなのに目の前でやれなかったとは、自分は成功しちゃった方だからなんとも哀しいかな。それでも前に進まねばね、ロボも前に進んでるし俺達も前に進まなきゃ
そして時空の歪みは結局何を俺たちに伝えてるんだろう？ラヴォスとの記憶だとしたらそれが密接なのって…
今回も楽しかった！次回も楽しみだ"
aIaqvM2ltbg,"おつらみでした！
今日もクロノトリガー楽しかった！
ルッカやロボのサブイベントでメンタルに来るのが多かったが、泣いたり喜んだりするラミィちゃんの反応を見れるのは良かったよ
次回もサブイベント楽しんでいこうね！

1:09:52 ラミィちゃんの色仕掛け助かる！"
aIaqvM2ltbg,"今回もほんと心揺さぶられるシナリオがいっぱいの名作だったね～！
ロボの４００年の旅とか凄すぎる、そして機械であるロボが作中で最も優しそうなのがまた。
そして今回のルッカの過去でのシナリオは、失敗したからこそルッカの抱え込んだ気持ちとか
わかってあげられる気はするんだよね、ただ私も初見でかなり心にきた


あとは、クロノ復活のシーンにマールかルッカ、とか魔王配下の時に魔王つれていくとか、
組み合わせで結構見所シーン満載なので機会あったら是非みてくださいな

それではおやすみなさい
ラミィちゃん愛してる(⋈◍＞◡＜◍)。✧♡"
aIaqvM2ltbg,"クロノが戻ってきた事に感動してたらまさかの重めのストーリーが来るとは…
ラミィちゃんの迷子姿が癒しだったよ"
aIaqvM2ltbg,"おつらみでしたー！色んな感情が押し寄せてくるすごいゲームだなぁ…🥲
ラミィちゃんと一緒に初見の楽しみを味わえてホント嬉しい！！
そしてラミィちゃんはラストエリクサー症候群にかかるのかにも期待ｗ
次回も楽しみにしてるね！！"
aIaqvM2ltbg,"今回はクロノ・トリガーでも屈指の選択と行動が問われるエピソードがありましたね
結果がどうあれ、やり直しをするにしろしないにしろ正解は無いんですけど、ラミィちゃんの決断と強さを持った考えを聞くことが出来て良かったです"
aIaqvM2ltbg,"ルッカのイベントは、オリジナルのsfc版をやった人なら99%は同じ結末を見ているので…、やり直さずそれを共有してくれた事に感謝します。


オリジナル版の停止コードの入力は隠しコマンドに近く、初見で気づくのはまず無理でした…。
制作意図としても過去は都合よくは変えられないというメッセージが込められているんじゃないかと思ってます。悲しい過去が科学の天才ルッカを作った。"
aIaqvM2ltbg,"クロノトリガー配信６回目でした！
㊗️主人公復活！
からの、ルッカとロボのストーリーが……トラウマになるし、メンタルにくるね😭
ストーリーも終盤に入ってるし、準備万端でラヴォスに挑みたいね〜！
次の配信も楽しみにしてますね✨️"
aIaqvM2ltbg,"今回は中々メンタルにくるの多かったね
ってかホロ鯖マイクラハードコアの時もあったけどラミィさん一回乙したらそのまま受け入れるの凄いよな
今回の失敗も心にダメージを受けるもそのままやり直さずに進めていくの結構できることじゃないもんね
すげーって思った「語彙力」
ドッペルドッペらないでむせるラミィさんも色仕掛けするラミィさんもドッペルで失敗した時のリアクションもめっちゃかわいかったよ
ゲームもかなり終盤って感じで、え？もう？ってなってるけど終わっちゃうの寂しいな～
けど残りの配信も楽しみにしてるね
我が最愛のハーフエルフはラミィさん
いつまでも幸せでいてね
おやすみ。愛してるよ"
aIaqvM2ltbg,"ラミィちゃん
今日もクロノ・トリガー楽しかったよ！
戻ってきたのは嬉しかったね…！この手があったかという感じだった…！
あのシーンはそらトラウマになる…感情移入しやすいラミィちゃんなら特にかなぁ
ロボの件も含めて本当に心を揺さぶられるイベントが多いね
ラミィちゃんと一緒に見られて良かったよ！配信ありがとう！"
