video_id,comment
bPillswzShY,"タイムスタンプ
5:08 配信開始
11:18 これはヤバい、ラッキー数字すぎる

13:39 ゲームスタート
16:42 成熟した旅館になれるように頑張りましょう
19:48 マッサージチェア建築
23:54 旅館ランクアップ
31:55 たこ焼き屋さんやりたい
35:54 これ観光まで出来るの？ちょっと新たな世界開けたわ

41:20 青春ラブストーリー始まっちゃうんじゃないのこれ
┣43:30 修学旅行に足湯でしょ
┗51:00 旅行結果
55:25 設備に力を入れていきたい所ですね
01:00:06 模様替え気持ちいい～！
01:04:54 売店を置きたい


01:07:07 よし、売店作るぞ！
01:10:15 旅館ランクアップ
01:11:37 相性って大事なんだって気づいたんですよ
01:14:30 整理整頓したーい
01:16:11 2位になった！？
01:21:01 灯篭購入
01:27:13 試行錯誤するの楽しいな
01:31:00 いい事考えました
01:33:11 旅館ランクアップ
01:35:30 初めて100点もらえた！
01:39:54 景色のアップ度が半端じゃない、灯篭って
01:43:19 怖いっ、怖いよ～っ！
┗01:43:56 解雇した筈の温泉太郎がまた来た～！

01:45:40 全国旅館ランキング
01:49:13 灯篭を置いた時の衝撃はもう抑えきれない感動が有る
01:51:25 やっとの事開拓出来るようになったよ～
01:56:09 足湯を増やそうかな、ちょっと一旦
02:03:39 ちょっとメモしたい！
02:05:58 旅館ランクアップ
02:11:01 これ以上道を無くさないでくれ～！
02:13:17 今回こそは成功させる、修学旅行！
┗02:16:56 キターっ、修学旅行生来たっ！
02:17:42 やったーっ！遂に1位になりました～！

02:19:12 おしゃれな旅館にしていきましょう
02:24:14 旅行結果
02:28:04 完璧な配置、 これは完璧な配置！
02:35:00 ゴールデンウィーク来た、ゴールデンウィークに建て替え作業頑張ります
02:44:27 ここは足湯広場にしよう
02:47:14 大掃除してる気分だ今
02:51:00 一旦業績の事を考えるのはやめよう
02:53:09 やめて来ないで、今じゃない今じゃない
02:57:55 今何が欠けているか練り直していこう
02:59:37 旅行結果

03:00:18 ヤバいヤバいヤバいっ、温泉太郎どうしてそんなに…
03:03:23 新しい客層にラッパー追加
03:15:34 またしても買ってしまった…灯篭さえ置けば何とかなるって思ってるんだ
03:20:34 ゆんゆん最新号ランキング
03:24:35 最高じゃないか、腰掛け湯！
┗03:28:28 腰掛け湯が完成した～！
03:29:14 新しい客層に漬物師追加

03:29:44 Cパート
03:31:08 今日は凄い怒涛の嵐のような旅館経営だったな
03:33:15 最強の晴れ女
03:34:37 晴れ女エピソードをみんなに語りたい
03:37:38 観光地がまさか有るとは思わなかったな、やり込み要素本当今日だけでも増えたよね
03:40:10 ダンスShortの話
03:45:52 またね～！おつるーじゅ！(配信終了)"
bPillswzShY,"普段のはあちゃまと違って文章読む時にお年寄りの声
と可愛い声と、イケボを出したりして、毎回プロの声優さん見たいで、すごいなぁ！❤❤❤"
bPillswzShY,Thanks for the stream 
bPillswzShY,"Thanks for the fun stream! It was very exciting and full of laughs! Looking forward to the next stream!
1:43:17 Haachama
Have a good rest~"
bPillswzShY,"おつるーじゅ～　お仕事しながら観てたよ～✨
今回も楽しかった～🎶＞🦜"
bPillswzShY,1:17:30
bPillswzShY,"改めて思ったけど
いい声してるなぁ…😮"
bPillswzShY,"配信お疲れ様です！
はあちゃまのこだわりが詰まった旅館の今後が楽しみ！

実況見てたらカイロソフトのゲームやりたくなってきたから、何か買おっかな～⸜(ू•◡•)໒"
bPillswzShY,
bPillswzShY,
bPillswzShY,クビになってもまた応募してくる温泉太郎がおもしろい
bPillswzShY,はあちゃまが納得できたならGOODです
bPillswzShY,"ウキウキで温泉経営するちゃま見てると自然と笑顔になるよ😊
ちゃまの湯♨️最高！✨✨"
bPillswzShY,はあちゃまお疲れ様！
bPillswzShY,
bPillswzShY,
bPillswzShY,すごく楽しくゲームしてるんだけれどドット絵がめちゃ癒されてチルチルでした〜
bPillswzShY,お疲れ様でした❤
bPillswzShY,"Thanks for the long stream, chama!
Goodnight! "
bPillswzShY,"はあちゃまが楽しそうにしている姿を観ているのがめっちゃ癒されるし楽しかった！！
今日はいっぱい拡張できたね！！
お父ちゃまお姉ちゃまとの時間も過ごせて本当に良かった！！
配信してくれてありがとうね

明日は現地でホロ花火見てきます！！
おつるーじゅ〜！！"
bPillswzShY,OTSUROUGE!
bPillswzShY,"おつるーじゅ！
ゆけむり温泉郷2 第二話 配信ありがとう！
楽しかった！
次回の配信も楽しみにしています"
