video_id,comment
boGRKJjjz6o,❤❤❤❤❤❤❤❤
boGRKJjjz6o,2:30:17-　「屠った」の独自解釈好き
boGRKJjjz6o,"I just came to rewatch the entire stream after finding out the Twitter hate... don't worry doggo you got our yubi, more support to you..ignore that hate"
boGRKJjjz6o,💖💖💖 happy you are playing Hogwarts is wonderful
boGRKJjjz6o,ya muntaqim
boGRKJjjz6o,"I'm happy you enjoyed this game, Korone! Your clips were what drew me to Hololive in the beginning, during COVID."
boGRKJjjz6o,"love the stream koro san, ignore the 1 percent who dislike this, they are not even worth it"
boGRKJjjz6o,"❤❤❤Korone cute love Her gamer energy make my day with fun and laughter Thank You Korone, overseas lurker hope your doing well ❤"
boGRKJjjz6o,1:26:50　マルフォイよりマルフォイ
boGRKJjjz6o,"Id like to say this here, not all trans people are like these freaks. Many of us just want to be accepted and left alone."
boGRKJjjz6o,Goog doggy! ❤
boGRKJjjz6o,I just sub for u also!!!
boGRKJjjz6o,Support!! Play this good game!! Support Harry Potter series also!! Dun care what those creep say!!
boGRKJjjz6o,Great stream
boGRKJjjz6o,🤎🤎🤎🐶
boGRKJjjz6o,"Keep playing, and dont worry Korone! Twitter/bluesky is already a mess! PROTECT THIS DOGGO AT ALL COST!!!"
boGRKJjjz6o,Love watching you play this. Ignore the mentally ill wierdos.
boGRKJjjz6o,ころさんのホグワーツレガシーが続きますように😊
boGRKJjjz6o,any of this hogwarts drama sh. I dont even think Korone knew any of these things. She just wanted perm of this game and then able to play it all for fun. Ofcourse some wanted to sponsor it as well. But in end of the day it just suppose to be game she playing like any game. Then sadly some clown from past drama just out of the bush. Anyway love you Korone keep playing the games you love.
boGRKJjjz6o,You're a Harry Wizard 🪄
boGRKJjjz6o,your a doog Wizard Korone 🧐
boGRKJjjz6o,hello to the delusional freaks dislike this if your here lol
boGRKJjjz6o,"We 🤎 you Korone.🐶
Simply ignore the brainwashed tourists. They have never been a part of your subscribership or your fan base. 

For those curious, they are Western radicalized political Leftists who typically organize online in real time (usually BlueSky these days) & do mental gymnastics to come up with reasons to bully content creators, businesses, etc... over the slightest of things someone said or did that does not align with their Western radical Leftist worldview.

One of their more common attacks is when they find a streamer playing a Harry Potter game they will harass the live stream, channel & sometimes an associated business. Their reasoning in this case is due to the book's writer on social media saying that the erasure of ""gender"" (by trans, gender fluid ideology) is harmful to actual females. Pikamee was targeted by them & they saw that as a success.

So please, do NOT bend the knee to these bullies. Ignoring them takes away all their power."
boGRKJjjz6o,"Don't understand anything said, but dropped by to give a like and a sub for support!!"
boGRKJjjz6o,"Much love to Korone, she brightened my days during 2021 🫂"
boGRKJjjz6o,I hope she plays this game again.
boGRKJjjz6o,"Thank you Koro-san, our dear doggo!"
boGRKJjjz6o,"Overseas, people who imagine they're victims of discrimination based on delusions are actually discriminating in the real world—just like Chinese and Korean people in Japan. It's a sad situation for decent Kaigainikis."
boGRKJjjz6o,"The stream was awesome Korone and thank you for ignoring the haters.  I admire you for sticking to your guns and playing the game regardless of what some people say, I hope you have a great day."
boGRKJjjz6o,Hey western transvestites: Go away we in asia do not need your chopped nonsense
boGRKJjjz6o,"I loved the stream Korone!
I'm die, thank you forever ❤️"
boGRKJjjz6o,"New fan here, really sorry and disgusted by people from the west doing unbearable things just because they are mentally ill. 
Glad to find this channel and to be subscribed to start supporting it. Keep on keeping on! 
Also sorry to all of you from the east. We do not condone this kind of behavior or tolerate. 
It is a minority that in itself doesn't matter but it's so loud that appears like it does. Again we are sorry. 
Have fun and take care of yourself. 😎😄😄"
boGRKJjjz6o,4:41:50 かなた出現
boGRKJjjz6o,I hope you 100% the thing! Don't listen to the muggles!
boGRKJjjz6o,♡
boGRKJjjz6o,"Whenever I feel down, Korone lifts my spirit!"
boGRKJjjz6o,to the TRANSformer community that hated this game: CRY MORE LMAO
boGRKJjjz6o,❤❤❤👍
boGRKJjjz6o,"if you ever read twitter or blueskye just ignore them , sad people with terminally mentally illness in their brain"
boGRKJjjz6o,can't wait for the tiktok clips to come out
boGRKJjjz6o,"GOOD DOG, WE LOVE KORONE"
boGRKJjjz6o,"Thank you, Korone!  💛💛💛  Please, ignore the haters.  Not all us trans people are like this, the noisy ones are just a bunch of trolls.  Keep doing what you do!"
boGRKJjjz6o,Wizard dog!
boGRKJjjz6o,"Sigma doggo dont care about X haters 😂, GOD DOOG for life. May Koro-san continue to play the game more"
boGRKJjjz6o,ホグワーツレガシー大好きだから、ころねが配信してくれて嬉しい！
boGRKJjjz6o,Thank you Korone
boGRKJjjz6o,アンチども俺らのころねをいじめないで！
boGRKJjjz6o,Good to see you had fun!
boGRKJjjz6o,Support the LGBT community guys
boGRKJjjz6o,Subbed because of Hypnotic and Clownfish Tv showing how much hate you got from people who can’t just enjoy a game. Good to see that you play the games you want 😊
boGRKJjjz6o,Imma play this again lmao
boGRKJjjz6o,Shame that you're playing this knowing that you're giving money to someone who wants to opress and harm minorities. Hololive has always been tolerant and trans friendly but now you're inviting the chuds that defend this game and they should never be welcome here
boGRKJjjz6o,Big support to Korone  ❤
boGRKJjjz6o,😊
