video_id,comment
dctZlkyEO4w,ギルガメッシュはきっと別の世界線で元気にしているはずさ…きっと…to…be…なんちゃら…m(_ _)m
dctZlkyEO4w,"ナイスリアクション集
26:06
26:46
1:02:39
2:06:28
2:30:58
2:32:45
3:00:03
3:16:23
4:22:08"
dctZlkyEO4w,"このゲームのED、手紙を書くのがそれぞれのキャラでパターンがあって、衝撃でした。
ジョブコンプ、裏ボス撃破、ED分岐で何度もラスボス倒した覚えが…。
本当に何度もやりがいがあるゲームですね。"
dctZlkyEO4w,RPG全滅ありえない勢からしたら気が狂う　ペコちゃんのプレイ視聴でもうお腹一杯w　大満足🎉
dctZlkyEO4w,わーかっちゃったわーかっちゃったワーイワイが好きすぎる😂
dctZlkyEO4w,ぺこちゃん配信なにしよ～ってなった時にこのゲームのジョブ縛りは結構コンテンツ力高いからネタ困ったら一考してみてな！青魔法縛りとかモンク縛りとか結構おもろいし盛り上がるでｗ
dctZlkyEO4w,無粋だけどおやつさんの動画見て欲しいかも〜
dctZlkyEO4w,"長！！FF5おめ&おつぺこでした！！
長のプレイ見てて、キッズの頃SFC版を現役でプレイしてたけど、ネットもない時代に友達と頭ひねくり回して『どうやってコイツ倒すんだよ！！』『このジョブに合わせるアビリティと装備は…』『○○やったら面白かった！！』とかいうの思い出した！！記憶を消してもう一度遊びたいRPG！！
ピクリマ版もプレイはしたけど、懐かしさもありながら長のプレイであの頃の新鮮な気持ちも甦った！！
本当に素晴らしい配信をありがとう！！
FF6のプレイも楽しみぺこ！！！"
dctZlkyEO4w,"蜃気楼の街は三次元と四次元のはざま…空間と時間の間にいるから時間が止まっているのですね
シークバーにカーソルを合わせると分かりやすい
なるほど"
dctZlkyEO4w,裏で神竜とオメガ倒すためにAP溜めてたらムーバーで全滅してるのは想像できる
dctZlkyEO4w,"クリアおめでとう！
～最後の質問に対する回答～
経験値等倍、ABP4倍で並走して全員全ジョブマスターしたけど、オメガも神龍もラスボスも楽勝だったよ。（装備とアビリティの組み合わせは少し思考錯誤したけど...）
クリア時はLv.47～49、HPは3100～3500だから、オメガ討伐時はもう少し低くかったはず。

オメガはアビリティ次第、神龍は装備＞アビ次第でなんとかなると思うから、
裏でも表でも、もしやるのであれば頑張って！
（FF1～5まで並走してるから、もちろんFF6も並走するぞー！）"
dctZlkyEO4w,"ぺこらさんが神なのはFF4～６を一気にプレイする所です。この３作は１セットな感じがありましすからね、FFの進化を体感できると思います
ちなみに７から開発スタッフに新しいディレクター、シナリオライター、キャラクターデザイナーが多く加わり雰囲気が良くも悪くも一変します"
dctZlkyEO4w,"オメガと神龍を倒さなかったのは英断です！
なぜなら、２回目をいつかプレイ出来るからです！
ぺこらさんは今後、５年後、１０年後と色々なRPGをプレイしますと思いますが、その時に思うでしょう「FF5は特別なRPG」だったと！
「FF5　ランキング」などで検索して頂くとFF5だけ異常に作り込まれているので１周だけクリアするのは勿体ないのでお勧めです！"
dctZlkyEO4w,"3:29:54  1 turn and auto win
4:36:32 ~ 4:56:07  Based end"
dctZlkyEO4w,"Lucky rabbit 1:08:47
Odin 1:29:59
Gogo 1:44:00 
Cute peko 2:22:40
Gilgamesh 3:44:04   4:05:23"
dctZlkyEO4w,"クリアおめでとう！
けど、ネオエクスデスカッコいいかな？カッコいいかも･･･？"
dctZlkyEO4w,クリアおめでとう、僕と結婚しましょう。
dctZlkyEO4w,2:32:02からのお決まりのｗ  初見で倒せるのは普通に居ませんｗ  ツインタニアの倒し方ｗｗｗ  ヘイスト4乗してるから普通に行動来ねえってｗ
dctZlkyEO4w,数十回、ff5はクリアしたけど、初めて見たエンディング。同じことしか、しなかった自分に気付かされつつ、初エンディング見れて幸せかも(*ˊ˘ˋ*)ありがとうペコちゃん( * ॑꒳ ॑*)
dctZlkyEO4w,"クリアおめでとう〜🎉✨👏
レナの剣舞すごかった💃⚔️✨
あそこまでの火力出すとは恐れいったね😳
ぺこちゃんがEＤこれで良かったって言ってくれたのは嬉しかったな。それほどガラフが好きになってくれて嬉しいよ自分もガラフ大好きだからね😊
次は6
6は今までのFFとはまた違った感じで楽しめるよ😉
自分が一番やり込んで何回もクリアしてきた6、ぺこちゃんがどう感じるか楽しみだ✨
オメガや神龍のリベンジも楽しみしてるよ〜😌"
dctZlkyEO4w,5は個人的に1番好きな作品だから、こんなに楽しそうにプレイしてくれてめちゃめちゃ嬉しい
dctZlkyEO4w,"6は名前どうするんだ❓
ぺナ⁉️😱"
dctZlkyEO4w,"感動のラストをありがとう
人生初の推しができ、舞い上がってる野うさぎです
FF５は初めてやったFFで、とても思い出深いゲームなので、今回の配信とても嬉しいです。
土日ごとに楽しませて頂きましたが、エンディングが特に良かったです。
レナとクルルが疲れ果てて帰れなかったとき、先輩野うさぎ達の反応を見て（これは先の流れはサプライズかな）と感じました。
その後ガラフの声と共に戻ってきた二人を迎え、胸を打たれるペコちゃんを見てこちらも感動させられました。
ペコちゃんが胸の内を熱く語ってくれ、自分の好きなゲームを楽しみぬいて、感動してもらえ感無量です。
視聴者が一致協力できたことにより、たどり着いた至高のラスト。
ファン同士で協力し、推しに配信を楽しんで貰える素晴らしい回でした。
これぞ真の推し活"
dctZlkyEO4w,"可愛く喋ってるのとても良かった
昔のぺこらの真似といってやってたぺこらの喋り方がぺこらママと同じ雰囲気だったのが親子感じたよ"
dctZlkyEO4w,"最後のエンディングからスタッフロールでぺこちゃんの感想が最高過ぎる
FF5をプレイしてくれてありがとう"
dctZlkyEO4w,"クリアおめでとうございます！
これまでのシリーズを経験したからこそ、エンディングには衝撃を受けますね
FF6も楽しみにしています！"
dctZlkyEO4w,ぺこらちゃんが、とても楽しんでプレイしているのを見て、私もうれしくなりました…………って、次の日の配信が、『魔法少女の魔女裁判』ですか……落差がすごいですね…………。配信の順番で仕方ないのでしょうけれど……。
dctZlkyEO4w,"アーカイブ見ました本当いい実況でした
神ゲー＋良実況で大満足です
6も楽しみに待ちます
おつぺこです"
dctZlkyEO4w,"FF5クリアおめでとう＆お疲れ様でした。
FF6はたくさんのキャラが登場して、且つ一人ひとりの物語がそこにはあるからやって絶対損しないよ！
週末にぺこちゃんが心躍らせながらやってる所を想像して楽しみにしておくから、ぺこちゃんも楽しみにしててね"
