video_id,comment
ddtmAXPq2CU,❤💜💜💜💜💖
ddtmAXPq2CU,💜🧡🩵
ddtmAXPq2CU,おつ
ddtmAXPq2CU,6:07 トワ様の「もーーーー！」が大好きなんだけど分かる人いません？
ddtmAXPq2CU,
ddtmAXPq2CU,"おつダスピ
色んな雑談も混じえつつのエペめちゃ楽しかった～
わちゃわちゃで"
ddtmAXPq2CU,配信お疲れ様
ddtmAXPq2CU,モンストにいそうなサムネだ
ddtmAXPq2CU,"おつダスピ〜
３人のトークは面白かったし、最後の試合で２位取れたのナイス"
ddtmAXPq2CU,"雑談あざす!!
こーゆーほんわか雑談回？かなりいい！"
ddtmAXPq2CU,"雑談エペは暇な時の緩い感じとファイト集中時の
バランス感が絶妙に面白いね！おつDäsup! "
ddtmAXPq2CU,"ダスピエペ、おつでした。トワ様のIGLを久しく見ても、勘も力も衰え知らずで
何より、めちゃくちゃ楽しんでてやっぱ笑って仲間と話してですな"
ddtmAXPq2CU,おつやっぴー
ddtmAXPq2CU,"Däsup!(ダスピ!)'Apex Legends'おつダスピー！
今日の最高順位は2位！ 惜しかったけど、でもナイスファイトでした！🥈
3人のてぇてぇ、そしてすいちゃんとねねちの実力も見られて楽しかったです！
トワ様、すいちゃん、ねねち、ありがとうございます！👾☄🍑"
ddtmAXPq2CU,トワ様、ナイスプレイ！おつとわ〜🌟💜
ddtmAXPq2CU,針好玩
ddtmAXPq2CU,おつだすぴ！
ddtmAXPq2CU,"おつでした！
3人のまったりしたオフ感のある配信本当に微笑ましくて好きです
そして！トワ様うますぎ！？エイム綺麗だしフリックエイムも上手いしかっこよかったです"
ddtmAXPq2CU,"おつダスピー！
三人のAPEXめっちゃ楽しかったです！戦闘もしっかりこなしつつ、三人のトークも雰囲気◎でとっても良きでした
最後の二位もナイス！また集まって遊ぶのを楽しみにしています！"
ddtmAXPq2CU,Thank you for the ultra SSR apex collab! 
ddtmAXPq2CU,"おつダスピ〜！
Däsup!最高！めちゃくちゃ楽しかったー！
三人の身長差好き"
ddtmAXPq2CU,"おつ
試合をする毎にどんどん順位も良くなっていってたし最後は2位と惜しくもチャンピオンには届かなかったけどいい試合だった
ダスピでわちゃわちゃAPEX見れて面白かったよ!"
ddtmAXPq2CU,おつダスピ🧡💙💜
ddtmAXPq2CU,"Thank you for the hard fight but fun Apex Legends collaboration stream with Sui-chan and Nene-chi, Towa-sama! 

The last round was just so close but don't let that deter you from having fun!"
ddtmAXPq2CU,"Towa-sama and Sui-chan haven't played APEX for a while and Nenechi also joined this time! 
Otsu"
ddtmAXPq2CU,"おつダスピ
APEX配信ありがとう！
楽しかった！
次回の配信も楽しみにしています"
ddtmAXPq2CU,Däsup 久しぶりの集まりありがとうございますApexお疲れ様です
ddtmAXPq2CU,
ddtmAXPq2CU,"最高だったよ
三人の話しもめっちゃ楽しかった～配信本当にありがとう～！
みんな大好きだよー💜💙🧡"
ddtmAXPq2CU,Thank you for the fun Apex collab! 
ddtmAXPq2CU,"おつダスピでした！
こんなにカワイイAPEXは初めてかもしれません！
次回があるとしたら何をして遊びましょうね！考えているだけでも楽しくなります！"
ddtmAXPq2CU,"おつ
Däsup!の3人でのエペめっちゃ面白かった！
トワ様のマスティフほんと上手すぎる"
ddtmAXPq2CU,おつダスピー！
ddtmAXPq2CU,"Y’all did good today, this was fun! Also, you’re a great sensei Towa-sama, helping Suisei and Nene understand Apex more! You and the Peacekeeper are a golden combo. You had a couple really close rounds, you put up a great fight! I do think your 「れちご」is cute. Thank you for all of your hard work, I hope you get some great sleep tonight Towa-sama"
ddtmAXPq2CU,"I really enjoy Towa playing Apex with other Holomembers. The last match was so close!
Thanks for the awesome stream, Towa-sama!"
ddtmAXPq2CU,今からアーカイブ見ますﾜｸﾜｸ
ddtmAXPq2CU,"4:06-開始 / こん
4:31- こ、こんばんは！？ 
5:11-Däsup...です！ 
6:14-んもー！ 
6:36- 何年ぶりなんや ?w
7:40-(すいちゃん)オルター知らないかｗ
9:21‐ワイルドカード…暇な時間は少なめかもね 
10:19‐👏👏👏 れちごー！
11:28‐CoDとかの方が 
11:56‐ 第1試合(ワイルドカード) 
13:14‐まま…EVA8はｗ
14:15‐ええ… ねねちw 
15:15‐(ねねち)アイテムボタンｗ 
16:14‐ 
16:34‐ 何が起きてるんだ ww 
18:39‐弓はあるね… 
19:26‐あああ…(肩慣らし完了) 
20:34‐(違う違う)それは童磨じゃんw 
20:51‐猗窩座は...? 
21:44‐第2試合 
23:29‐あっ… 
24:35‐ まだ7大豆がｗ 
25:49‐第3試合 
26:14‐(イケメン?)スパローねw 
26:34‐炭治郎ｗ 
28:36-心の距離がｗ 
29:45-パワーアップアイテムだ 
31:33-11時...北ですね 
33:30-あらら...他のチームはどこですか？ 
34:37- 
35:14-おしいいい 
36:30-バンガ強いよ 
36:38-第4試合  
37:30- 
38:24-
38:43-おしいいい  
39:19-(すいちゃん)お試し2PC 
40:43-デバフw 
41:16-第5試合 
42:40-おしい…！ 
44:08-ランクは固定だね 
45:29-限定解除! 
46:06-第5試合  
46:53-最近ハマっているのゲーム 
47:07-砂テトリスかー！ 
48:13-あー原神！ 
49:52-(癖の話が)さすがすいちゃん 
51:28-(女子の会話) カフェ…
52:51‐ 
53:48‐あ…
54:13‐2v1はきちぃ 
55:52‐(すいちゃん) 外仕事多かったのね
56:46‐メンタルはマジで大事ね 
57:04‐第6試合  
59:41‐定時連絡ｗ　　　　　　　　
1:03:06‐ナイスタッチ 
1:06:07‐初ウルトｗ  
1:08:11‐ 
01:10:46-エイムえグゥ！？ 
1:12:55-おしいい！ 
1:13:54 ストポ！
1:15:13-第7試合 
1:16:54-(豆しば)モザンビークは？ 
1:17:27-(PON)ねねち～ 
1:23:21‐ナイスエイム 
1:23:52‐ 挟み撃ちだったか
1:24:30-かわいい
1:26:49‐第8試合  
1:28:36-おー取り切りナイス 
1:32:15-ナイスゥ！エイム綺麗だなー
1:32:28- ナイス連携！
1:35:18-マスティフいいねぇ！ 
1:35:54-ジブマブ w 
1:37:16-ミルきちゃー！ 
1:39:53-ナイス判断！ 
1:41:30-おしいー！ 
1:41:53-ラスト！ 
1:43:42-第9試合   
1:47:23-ナイスゥ！ 
1:47:41-ナイスゥ！ 
1:49:40‐れちご！ 
1:51:45ナイスゥ！完璧な漁夫だー！ 
1:52:49‐ちゃんぴおんれちご！ 
1:53:23-AEｗ 
1:54:09‐発射台安置はちょっと嫌だな… 
1:56:03- 
1:58:10-あぶあぶｗ 
1:58:29-オネエ街 w 
1:59:23-ナイスゥ！   
2:00:34-ラスト！ 
2:01:02-おしいいいい！ 
2:02:16- FPSが出ねえのねｗ 
2:02:36-3年後ｗ 
2:02:52- おつだすぴー！ / ED"
