video_id,comment
f1SDHBOWBpA,"ねねち作の「さ」の道
改良されて「し」になったたけど
「す」の人に建築褒められてて良かったね"
f1SDHBOWBpA,🧡💛💛❤💖💖🧡🧡
f1SDHBOWBpA,建築おつかれさま〜。私は可愛く出来ていたと思うよ某街さんも褒めてくれてたよ〜。
f1SDHBOWBpA,"ねねち、結構いい感じに出来てたんじゃない？😊

誰かは忘れたけど…
ねねちの建設見て、えー！めっちゃかわいい！あの子すごいじゃないの！とか言ってたの見た！"
f1SDHBOWBpA,❤
f1SDHBOWBpA,ねねち5周年おめでとう🎁🎂🎉ございます
f1SDHBOWBpA,👍Thanks Nenechi!
f1SDHBOWBpA,🧡🧡🧡
f1SDHBOWBpA,ねねちの加速装置が爆笑過ぎた件
f1SDHBOWBpA,☺️☺️☺️🧡💕🥰🥰🥰🧡💕
f1SDHBOWBpA,"2:46 開始
3:30 懐かしの羊マシーン
4:26 マップ散策
5:38 ねねち初クリエイティブ
6:12 すいちゃんとVC
10:17 荷物をしまう
11:27 ししろん周年
　　　机を量産
15:40 床下のこだわり
16:57 クモの糸マジック
18:26 ねねちのオシャレ建築
23:58 すいちゃんの建築アイデア
28:09 植木作り
38:40 みこちワールド参加
38:59 みこちゾンビに敗北
44:02 氷渡りの防具の弊害
47:15 突然道だけ爆誕
48:59 なんとかなってる
52:27 オシャレって何？
53:15 地上絵みたいにち⭕️こ
54:32 道と机の距離
　　　さの道だけ出来上がり
56:56 一旦完成させる
58:12 何も考えず建築？
58:32 素材を言い訳
59:32 無計画を後悔
1:00:20 ししろんの周年へ
1:00:40 お終い。
やっぱりねねちの建築はオシャレ意識しても､ねねちらしい建築になったね。
素材を言い訳にしない。
"
f1SDHBOWBpA,
f1SDHBOWBpA,"【アーカイブ視聴！】サマパ建築配信お疲れ様でした！
自由過ぎる故かオシャレへの疑問が出る程の苦戦になるとは思いもよらず
時間・計画的にも大変そうだったので次回はより良いものが出来ますよ！提出物ファイトです！"
f1SDHBOWBpA,
f1SDHBOWBpA,Arigatou Nene ~
f1SDHBOWBpA,例の装置は作らないの？
f1SDHBOWBpA,"本編とは直接関係ないけど、
ねねねのOPはやっぱりこれが一番好き"
f1SDHBOWBpA,53:18 突然おかしな事を言うねねち😏
f1SDHBOWBpA,マイクラ配信ありがとうございますお疲れ様です
f1SDHBOWBpA,ねねち、そんな悪くなかったよ！ただおしゃれは自己満足が大切だからね！しっかり計画練練ってリベンジだー
f1SDHBOWBpA,ねねちがんばれ~! 配信ありがとう🧡
f1SDHBOWBpA,またねね🧡
f1SDHBOWBpA,"こんねね〜！
マイクラ配信ありがとう！楽しかった！
次回の配信も楽しみにしています
計画性👍"
f1SDHBOWBpA,時間がなさすぎた次頑張ろうねねち
f1SDHBOWBpA,"初のクリエイティブモードでいろいろできるからこそ、課題も見えた回だったね…
良いものを作ってみんなに喜んで欲しい！っていう、ねねちの優しさから来る葛藤かなと思ったので、次はきっと納得のいく素敵な建築ができるはず！
リベンジ、楽しみに待ってるね！"
f1SDHBOWBpA,
f1SDHBOWBpA,うん？　(´･ω･`)。。。
f1SDHBOWBpA,安心してね！ねね！どんなにオシャレ建築ができなくたって僕はずっとねねが大好きだよ。
f1SDHBOWBpA,"配信ありがとうございます！
壁にぶち当たったということは成長チャンスということですね！
いやまぁオシャレ建設ではあったんですよね
つまり……計画性…？"
f1SDHBOWBpA,❤❤❤
f1SDHBOWBpA,Why did nene stop streaming?
f1SDHBOWBpA,wot happened
