video_id,comment
fIPpvJInkcQ,死ぬかと思いました。くるしい。
fIPpvJInkcQ,"いろはちゃんからのとか最高すぎてガッツポーズ台パンしたよね
女でもきゅんすぎてはしゃぎましたありがとうございます監督！！！"
fIPpvJInkcQ,ラプちゃんさすがのプロデュース！ござるの良さがめっちゃ出てて可愛かった😊
fIPpvJInkcQ,"Thank you, Lap-sama.
Thank you very much."
fIPpvJInkcQ,"ラプラスｐには脱帽ですわ
神台本すぎて感謝しかない"
fIPpvJInkcQ,ラプ様素敵な台本ありがとございますw　いろはちゃんのめっちゃかわいいところ見れてよき
fIPpvJInkcQ,ラプ様が最近無敵の人になって暴れまくってるの好きすぎる。
fIPpvJInkcQ,いろは殿可愛いすぎ😍
fIPpvJInkcQ,ラプラス、、、　いや総帥　信じてたよ
fIPpvJInkcQ,Iroha is a cutie pie!
fIPpvJInkcQ,"La+, nice."
fIPpvJInkcQ,公式いろはすまじであざっす‼️
fIPpvJInkcQ,青春という感じで爽やかですね。
fIPpvJInkcQ,"こよに罵倒ASMRやらせた時も思ってたけど今回で確信したわ。
あんた最高の総帥だよ。
一生着いてく"
fIPpvJInkcQ,
fIPpvJInkcQ,"さすがラプP、いろは殿の良さを極限まで引き出すツボを分かってらっしゃる…
恥ずかしがりながらやりきってくれたいろは殿ありがとう…！かわいい✨
しかも「二度とやらない」ではなく「しばらくやらない」…天使！"
fIPpvJInkcQ,今度は風間殿プロデュースのラプ様の動画作るか
fIPpvJInkcQ,
fIPpvJInkcQ,cute 
fIPpvJInkcQ,"ラブちゃん凄いねw
でも告白のセリフが無音でちょっと残念ですw"
fIPpvJInkcQ,ラプちゃんの演出良かったし、いろはちゃん女優もできるんだね　2人の才能素晴らしい
fIPpvJInkcQ,大変素晴らしい演出でした！2人ともありがとうございます！！
fIPpvJInkcQ,"

That so cute.. Laplus need do it too!!! 😭"
fIPpvJInkcQ,"ラプラスPは天才だ！
ござるさんは滅多にボイスやセリフ出さないので大変貴重な動画です。保存しました。"
fIPpvJInkcQ,とても良い！のでVR版実装お願いします🙏
fIPpvJInkcQ,ラプちゃんガチ目の指導してて笑ったwワンチャンドラマの監督なれるんちゃう？とりあえず言えることは、台本書いてくれてありがとうございます！
fIPpvJInkcQ,ラプ天才！
fIPpvJInkcQ,"これは！！………最ッ高にキュンとしたぜーー！！！！
ラプ殿！！！貴女は最高だー！！！ありがとう😉👍
いろは殿！！ありがとう😉👍
いろはス最高！！！😂"
fIPpvJInkcQ,"やっぱり力解放したラプ様つえー
さすが我々の総帥"
fIPpvJInkcQ,"いろはちゃんがすっかり元気になってくれて萌えて面白くて嬉しくなった。
ラプちゃんグッジョブ！！
恥ずかしくて走り回るいろはちゃんカワイイ！"
fIPpvJInkcQ,今はただラプ様に感謝を...😇
fIPpvJInkcQ,ラプ様まじでありがとう
fIPpvJInkcQ,偉大なる総帥に乾杯🍻一生ついていきます
fIPpvJInkcQ,最後のせーのでばいばい尊すぎる
fIPpvJInkcQ,ラプラスプロデューサー、有能
fIPpvJInkcQ,ござるさん！かわいい過ぎる！
fIPpvJInkcQ,"年一くらいでいいから（いろは殿で）こういう企画してほしい

おかにゃんの時を思い出すなぁ"
fIPpvJInkcQ,"ござるさんかわいいなぁ
ラプちゃんいい仕事したな！"
fIPpvJInkcQ,"今日から敬愛を込めてラプＰと呼ばせてくれ。
総帥として、指導者として才能あり"
fIPpvJInkcQ,8:40 wink
fIPpvJInkcQ,最高ですね
fIPpvJInkcQ,ラプ様ありがと。ござる可愛すぎ。。
fIPpvJInkcQ,"Lapu has entered her ""make other members say embarrassing stuff"" phase it seems, and I'm here for it."
fIPpvJInkcQ,やっぱりかわいさ全開が一番好き
fIPpvJInkcQ,いろはあああかわいいい
fIPpvJInkcQ,"足開いて「おっきいバイバイだよ」が地味に刺さった。
可愛かったですぞラプちゃん🤓"
fIPpvJInkcQ,"いや～、中々面白さと可愛さがあったいい企画ですねw
いろはちゃんのシチュエーションものは中々見れないので貴重なものが見れて良かったですw
本当めっちゃ可愛くてよく頑張ったなって感じましたw
それに加えて熱心に細かく指導する総帥や、恥ずかしくて苦しんでいるいろはちゃんが面白かったですw
見てて楽しい動画でした！！！2人とも可愛くて楽しいものを見せてくれてありがとう！！！"
fIPpvJInkcQ,ラプ様ありがと～！
fIPpvJInkcQ,今はただ…ラプ様に感謝を…
fIPpvJInkcQ,ホロリスが現実で胸キュンシチュエーションになるなんて、太り過ぎでの心臓へのダメージ以外ないんだよ!
fIPpvJInkcQ,ありがとうございます！！！
fIPpvJInkcQ,"素晴らしく可愛いかった👏👏👏
タレントでもシチュエーションボイス収録だけでも強く躊躇う人がいるほど大変だというのにここまでの事をやってくれるのは本当に感謝しかない。
ありがとうございます🙏"
fIPpvJInkcQ,続編(クリスマス編)希望🙋‍♂️
fIPpvJInkcQ,ホロックスもうお笑い集団だな
fIPpvJInkcQ,ラプ様ありがとう...本当にありがとう　いろはスてぇてぇZE
fIPpvJInkcQ,有難う、有難う、有難う………っ！！！！！
fIPpvJInkcQ,"Thank you very much, Lap-sama!🙏"
fIPpvJInkcQ,ありがとうラプ様…ござるさんの最高にキュートな姿にやられました😇
fIPpvJInkcQ,"もうね言えることはラプ様よくやった
これはいいものだ
周回しょう"
fIPpvJInkcQ,らぷさま神企画した逆やろう逆やろう
fIPpvJInkcQ,笑
fIPpvJInkcQ,"尊ﾀﾋ〜尊ﾀﾋ〜尊ﾀﾋ尊ﾀﾋ尊ﾀﾋ〜
コナンの平次が和葉に告白するシーンを思い出してキュンときた"
fIPpvJInkcQ,"胸がときめきます。
ござる殿下、ラプラス殿下、心より感謝申し上げます。
 （deepl）"
fIPpvJInkcQ,"ニヤケが止まらねぇ😍
ラプ殿本当に感謝でござる…"
fIPpvJInkcQ,流石ラプ様アイドルぶt...プロデューサーなだけあって胸キュンポイント高いこだわりの感じられるムービーでした！！
fIPpvJInkcQ,"ラプ様本当にありがとう😭
そしていろはそんな君が大好きだ。"
fIPpvJInkcQ,"ラプちゃんをここまで尊敬したのは初めてかもしれない笑
（最近ドMなラプちゃんしか見てなかったから笑）"
fIPpvJInkcQ,"精神力使い果たした言うてたのがヨウワカッタ(･∀･)
そして我々の精神力は大回復です😊
アリガタヤm(_ _)m"
fIPpvJInkcQ,"なるほどござるさんが負ったヤケドはコレかwラプ監督の指導がガチ細かくておもしろすぎる（思考が女子のソレではない）

とりあえず一言、マジでありがとうございます！！！！"
