video_id,comment
fXhEzZNI8KQ,"ラミィちゃんがおまるんって呼ばずにポルちゃんって呼んでるのがとっても新鮮だった印象があるよ。メインストーリーの合間合間に手助けしてくれるポルちゃんのナイスアシスト感と、なんで配信でその位置におまるん居るねん！って気持ちでノンビリ眺めていました。完全にラミィちゃんの後ろに立つポルちゃん！って立ち位置がシュールすぎて面白いんだよなぁ・・・後ろからそっとポルちゃん。
前回のコラボ枠だったのに結果できなかったのを取り戻すかの如く二人で遊んでるのみてるのは癒された。そしておまるんはフェネックなのに自称癒し系ハーフエルフやろ！って無理やり感ほんとむちゃくちゃだけどこの二人の会話ならアリだよね！見てて楽しいよね！　2025.3.14"
fXhEzZNI8KQ,"アーカイブ3周目
それにしてもウズ・トゥナの剥ぎ取りをスルーするのは何回見てもツッコミ所満載だｗ
ちなみにモリバーは猫というよりカワウソに近いね
別の狩りゲーのせいかアジャラカン2体は若干物足りない感はあるけど初めてだと辛いよね(^_^;)
ヌさんが終わった後のヴェルナーさんとハンターの会話が良いんよな"
fXhEzZNI8KQ,ラミィさんワールドの時から生きるのは上手かったから今作に追加された集中モードで攻撃も当てやすくなって結構良い感じだな
fXhEzZNI8KQ,"おつらみでしたー！らみぽる良き(*'ω'*)
モンハンのわくわく感やっぱいいね(∩´∀｀)∩
いつ見てもラミィちゃんのモンハンは楽しい！爽快！！！次回も楽しみだー！！！"
fXhEzZNI8KQ,"ラミィちゃんアーカイブ見たよ！
弓弓になってたり、ポルちゃーん！って呼びまくるの面白かったｗ
ストーリー順調に進んでるし、おまるんと一緒に楽しそうで良かったよ！
いずれねぽらぼでもやりたいね！"
fXhEzZNI8KQ,"ラミィちゃんモンハン配信お疲れ様❄
ストーリーいっぱい進められてよかったね！
新しい環境に新しいモンスターもいっぱいで新しい楽しみがどんどん広がっていってるね！
サポートしつつもちょくちょく愉悦はさむおまるんのおかげで可愛いラミィちゃんがいっぱい見れてすごく楽しかったよw
前回長くは一緒に遊べなかったおまるんといっぱい遊べてよかったね！
今回も楽しそうにモンハンプレイするラミィちゃんがたくさん見れて嬉しいし癒されたよ
楽しい時間をありがとう
ラミィちゃん可愛い愛してるよ"
fXhEzZNI8KQ,"おつらみでした！
アーカイブ観たよー！
ストーリーもいっぱい進めたね！
おまるんの笛サポートもありつつ、ラミィちゃんの大剣も役目をしっかり果たせたね👍
ねぽらぼモンハンもいつか見たい"
fXhEzZNI8KQ,"おつらみでした！
おまるんと一緒に楽しく
ストーリーを進められてよかったね！
新モンスターもいっぱい出てきてテンション上がるよ！
初見でもクリアできるからラミィちゃんめっちゃ上手いよ"
fXhEzZNI8KQ,"でした
大剣使えるラミィちゃん凄い
これからの一狩りを楽しみにしてます"
fXhEzZNI8KQ,アーカイブで見ました😊
fXhEzZNI8KQ,"ワイルズでした！
アーカイブで観たけど、ストーリーもかなり進んだね。
とも楽しく狩りに行けて良かったね〜！
タコの大剣もカッコいいね！
次のモンハン配信も楽しみにしてますね✨️"
fXhEzZNI8KQ,"でした～！
ストーリーめっちゃ進みましたね！武器も新調できて強そう"
fXhEzZNI8KQ,なんとか今日モンハン初めたからラミィちゃんに追いつこうと頑張らないと…！
fXhEzZNI8KQ,"おつらみでした！ヒラバミはスラアクの紹介のPVにもあったやつだと思う
インゴットはスキルが優秀でオススメだよ！
ちなみに装備の製作の時に端っこの◯か◆に試着のボタンをやると一式で試着出来るよ"
fXhEzZNI8KQ,"モンハンワイルズ配信～
ラミポルモンハン！
何でメイン武器もサブ武器も弓になってんの！？ｗ
ラミィちゃん
合流きちゃ！
弓意外と戦えてるのでは？
装備を変えに行くぅｗ
第二形態！？
さすがにそんなことはなかったｗ
同じポルとしてｗ
何かぶよぶよしてんなぁｗ
ソロ耐性ｗ
まぁラミィちゃんは上手いから
がやりたそうにしてたのね
モンハンいいねぇ
レ・ダウきたか
あっ、やられちゃった
かわいい
レ・ダウ撃破ないすぅ！
ラーメンマンこっわｗ
3体来たｗ
アジャラカン二体はやばいｗ
タコもよう燃えとる👀
かっこいい武器出来たねぇ
今後も良い装備が出来るといいね
配信ありがとう、楽しかったよ
おまるんといっぱい狩り出来てよかったねぇ
ラミィちゃんだけ大好き愛してるよ"
