video_id,comment
gsbzCOmfY-0,"
ソロライブもうすぐでワクワクだ！"
gsbzCOmfY-0,"おはみぉーんです！✨🐺
前日はゲネプロだったのですね
どんどんスタッフさんが増えていくと否応なく本番が強く意識されそうです
たくさんの人が関わっているの視覚的なプレッシャーやばそうｗ
一期一会、色々と後悔がないように努めたいと強く考えてしまうことでしょう
やれることはすべてやって本番に臨みたいですね
でも自分的には無事予定通りに公演が開かれたらそれでもう御の字です
どうか周りの期待に応えようと気負いすぎないでもろて…
そうそう、喉に来るコロナ流行ってるようです
暑いですけどマスク厳守…！

前日のゲネプロでは7割ぐらいいけてるかの出来だったのですか
そうですねえ、全曲を100％の精度で憶えるのすごいハードルの高さです
プロンプターはないのでしょうか
ああ～、あっても踊ってると目に入らないのですね
しかしダンス踊りながら歌うって、配信者という概念を遠い昔に置き去りしてる感があります
本当にすごいことしてますね、ミオしゃ…
もし本番で間違えても、堂々と押し通ってくださいね！
観客にしてみたらそれがライブですし、ハプニングも良い想い出になるものです！

朝ミオおたより: ソロライブに持っていきたい物

持っていきたい物すべて
CD、Tシャツ、アクスタ、フィギュア、ぬい、お酒？ｗ
お酒は自宅会場ならではの醍醐味ですねｗ

ミオしゃ仕様の痛バイク
すごい！これで会場入りするのですね
これ多分背景は赤城山の大沼でしょうか
会場に赤城神社の御利益を運んできてくれそうです

龍角散ダイレクト
喉が壊れてしまうほどの全力コール！
龍角散を飲んで臨む覚悟がすごいです
この猫の格好、どこかサザエさんのみかん支えて踊るタマに似てる～

歴代缶痛バ
すごい！！！こんなにあるんですね！！
ものすごい愛を感じます…
90個もあるのですか
1個10gとして1kg近くありそうなのやばいｗ
歴戦のミオファ先輩です

フェルト張りで自作した団扇
かわいい～！
ミオファがミオしゃのカツラかぶってる～ｗ
コ―レスでミオファがミオしゃになってしまう現象ｗ
もはや様式美になってしまってるので、もうあれがないと逆にさみしい気がするかもｗ

名刺
ミオファ同士の交流がはかどりそうです
デザインも凝ってますね～！

自作の虫セット
海外の方なのにすごいニッチな力の入れようｗ
ミオファがてぇてぇ虫の着ぐるみまとってるの草

ゲマズ2フードと痛バ
グッズって応援が視覚的にはっきり見える形になるのが良いのでしょうね、きっと
自分はどうしてもグッズ文化に慣れていないのと、歳なので気恥ずかしさがどうしても勝ってしまいます
ですのでTシャツとミオファペンラと概念カラー装備でさりげなく参戦して森に溶け込む所存です…！

銀テの保管ケース
これこれ！このツイート見てケースになりそうなもの買ってきました
たしかにそのままだとクシャクシャになってしまいますものね

生誕記念Ｔシャツを入れたトートバッグ
ほんとにぴったり！
ロック系アーティストみある～！

自作応援うちわ
これもすごい！石でキラキラに凸ってある～！
ぐるぐるお目目かわいいｗ

双眼鏡
なるほど、たしかにアップで見れるのは良いですねえ
でも片手使って覗かなきゃいけないのはちょっとわずらわしそうかも
メガネみたいに顔にかけるタイプがあるといいのですけど…
ぴあアリーナ、見やすいの楽しみ～！
Ａ席だけど正面席当たりますように…！

ホロフレと一眼レフ
後ろのポニテがでかすぎてのけぞっちゃうのかわいいｗ
自分も一眼とグッスマの可動フィギュア持っていって会場周りを記念に撮影してまわりたいと思います

気持ち
応援と感謝、全力で楽しむ気持ちをみんなで！✨
最高に輝く一日になりますように…！

ライブ直前朝ミオの次回のおたよりテーマは、気合いを入れたいときのごはん！
ライブ直前に飯テロｗ
ミオしゃはむくまないように塩分控えめですか
前に夜にラーメン食べたら次の日むくんで大変だったって言ってましたものね
舌もむくんだりするんですねえ
フブちゃん御用達の一蘭はソロライブ後になるのでしょうか
自分だったらご馳走でなくて逆にいつもと変わらないものを食べるかなあ
カツは油物だし体調崩すリスクありそうだし

朝ミオニュース
ぺこちゃん6周年記念ライブ
例のごとくパチスロ演出が極まってましたね
ミオしゃ2曲連続出演、堪能させてもらいました～！
ホロウィッチ3Dお披露目
フブちゃんのこの濃い灰茶色の衣装、シックでおしゃれ～
ホロライブ罵倒選手権
欲望をさらけだす企画がまたひとつｗ
へええ、ぽるぽるついていけない感じの常識人枠だったのですか
面白いｗ

ホロライブホラー2025開催
まさか戦慄迷宮に行くなんて…
この検証お題の取って付けた感ｗ
とにかく適当な理由で戦慄迷宮にぶち込みたいという愉悦の意思を感じるｗ
ホラゲより実際のお化け屋敷のほうが大丈夫って不思議ｗ
ホロライブ甲子園2025開催決定
ミオしゃはみこちのチームになったのですね～
しかし大型企画が途切れなくリレーで続いてくのすごいです
ホロライブとしてのチームの一体感みたいなのが感じられます
ホロウィッチライブ開催決定
ハロウィンテーマでやるのですか～

すいちゃん Forbes JAPAN 30 UNDER 30 2025 に選出
今回は星街すいせいは噛まずに言えたのに、30という思わぬ刺客があって草
サーティーワンのサーティ、ミオしゃかわいいｗ
フォーブスジャパンなので日本限定なのかも
Kaelaverse: PEMASACPE リリース！
へええ、カエラちゃんがプロデュースしたゲーム？！
船長、NHKこどもニュース『チルシル』に登場
これNHK付けてたら突然船長の声流れてきてびっくりしました
センシティブ上等な船長が子供番組…大丈夫なのでしょうかｗ
当然ちょっと心配になりますよねｗ

ホロ7DTDハード無事終幕！
今夏もたいへんに面白かったです～！
見どころ撮れ高たっぷり、フィナーレも予定通り迎えることができて最高でした…！
ソロライブ前の長期間大型企画をひっぱってくれたミオしゃ、本当におつかれさまでした…！
Yahoo!カーナビ推しドラｘホロライブコラボ！
あずちゃんに加えてぺこちゃんも！

ミオしゃ2nd Album『My Sparkle』週間オリコン1位に輝く！
すばらしい快挙でしたね！✨
事務所初というのも非常に記念碑的一歩をミオしゃが達成したこと、本当に心からうれしいです！
おめでとうございます！！
新宿クロスビションでド珍MV放映中
どなたかが動画で撮ってくれたのをYoutubeで拝見しました
なんだか感慨深いものがありました
念願のソロライブですね…！

そして、ミオしゃに続いてあずちゃんもぴあアリーナでソロライブ開催決定！めでたい！

雑談
戦慄迷宮のこと
入り口から進めないだなんて、フワモコちゃんたちよほど怖かったのでしょうｗ
自分より怖がってる人いるとスンって冷静になっちゃうの分かる
庇護欲半分愉悦半分みたいに傍観者の立場になる気がするのですよねｗ
音ループ把握してるのメタいｗ
ゲームオーバーという概念があるからゲームのほうが怖いという感覚、不思議～
おどかす側は規則的に接触不可能だとメタ読みするわけですか～
フブちゃんとふたりだとパニックになりそうなのは分かるｗ
フブちゃんはむしろ仕掛け人側だから怖くないのでしょうね
むしろわくわくしてそうｗ
でもお化け屋敷じゃなくて本当の心霊スポットだときっとまた話が違ってくるのでしょうね

今週も朝ミオありがとうございました！✨🐺
とっても楽しかったです
おつみぉーん！"
gsbzCOmfY-0,I love Mio's voice! 😄
gsbzCOmfY-0,朝ミオおつみぉーん
gsbzCOmfY-0,"おつみぉーん🐺☀️

ソロライブに向けてこちらの緊張感が高まって来てます…🔥

お化け屋敷界隈に詳しいミオさん草w
メタ読みして
冷静になってしまう所もカワイイ🥰

分かります、自分より怖がってたり、狼狽えてたりする人が居ると案外落ち着いてしまう…♬

ミオさんがジェットコースターに乗る前って
『うちはこんな所では未だシねない…！』
って顔してそうですよね笑🤗

㊗️オリコン週間ランキング1位🥳
そして！1stアルバムNight walkの現地販売ありがとうございます‼︎😭"
gsbzCOmfY-0,グッズ買えなくてすみませんでしたあッm(_ _)m
gsbzCOmfY-0,❤❤❤
gsbzCOmfY-0,29:18 自分用
gsbzCOmfY-0,だんだん迫ってきましたね...
gsbzCOmfY-0,"オリコン１位おめでとうございます🎉
７大豆２お疲れ様でした。今回も楽しく配信見させていただきました😊最高でした!"
gsbzCOmfY-0,"朝ミオお疲れ様でした！
皆の熱量が凄い…！　ソロライブ当日が楽しみです！
ニュースが本当に盛りだくさんで、めでたいことが多いのは良いですね。戦慄迷宮の話は笑ってしまいました…ｗ　フワモコ、本当にダメなんですね…ｗ
アルバム一位も本当におめでとうございます！
今週も皆さま、良き週でありますように！"
gsbzCOmfY-0,"この世界には「運も実力のうち」っていう言葉があるのに、なんとも謙虚なおおかみさんやでｗ
🤔…（この書き方だと、うち＝ミオさんにもなって、まるで超強運持ちのようにも見えるけど、まぁええか🥳）

パッケージの美しさ、特典グッズの魅力、サイン書きの日々。素晴らしい出来のクロスフェードや、ミオさんや運営さんの告知、各販売店さまのプッシュなども大きなブーストになったと思いますが、やっぱりアルバムに収録された楽曲、歌のパワーがいっちゃん大きいと思いますワイｗ
前に超ゲマズの振り返りのとき、ぼくらの声を「魂の叫び」と言ってもらえましたが、このアルバムを聴いていますと、それこそミオさんの、喉よりもお腹よりも、魂から出てる声を感じますわよ

運があっただけではない、出来が良かっただけでもない。ミオさんからスタートした想いの強さが、ぼくらや色んなみなさんに伝播し波及した結果、1位っていうお花になったのかなって、ぼくは思ってますでｗ
改めて、オリコンやビルボードでの1位おめでとさんですわよ

おたよりもほんと、みんなの想いの強さ、感じました😌
ソロライブの当日も、どうか楽しくステキな1日になりますよう🙏✨
今日も朝ミオ、とってもおつみぉーんです。今週もミオさんにみなさんに、よき巡りがありますように、ですぞい
戦慄迷宮やリハも、ほんまお疲れさまですわよｗ"
gsbzCOmfY-0,"極力その日の夜にアーカイブで見させてもらってます!
ミオしゃのアルバムで１位おめでとうございます!"
gsbzCOmfY-0,7 days to die ENcore
gsbzCOmfY-0,"みんなの愛溢れる自作グッズすごいね！
自分はそういうの作れないけど、素敵なライブグッズ達を装備して参戦するぞー！！
それと先週はニュース盛りだくさんだったね～！まとめてくれてありがとう！
ソロライブまでもう少し…!! 体調に気を付けて頑張ってね！！！"
gsbzCOmfY-0,"アルバムのニュース、いちミオファとして本当に誇らしい気持ちでいっぱいだったよ改めて、オリコン1位本当におめでとうだ！
来週のソロライブに向けて、皆のワクワクが伝わってくるようなおたよりだったねお互い体調を崩さないように気をつけて、元気に当日を迎えようね！"
gsbzCOmfY-0,"ソロライブ楽しみ〜
そしてオリコンアルバム週間1位おめでとう！"
gsbzCOmfY-0,"アーカイブでの朝ミオ
お化け屋敷で逆に冷静になってメタ読みしだしてるのはですわ"
gsbzCOmfY-0,今日も朝ミオ
gsbzCOmfY-0,"朝ミオおつみぉーん！
リアリスト＋守護りたいバフでお化け屋敷が結構大丈夫だったのは驚きだｗ
より良いライブを届けてくれようと頑張ってて本当にすごいよ…！ライブ当日が本当に楽しみ
体調に気を付けてみんなで最高のライブにしようね！"
gsbzCOmfY-0,おつみぉーん ソロライブも近くなってきて忙しいけど目標に向かって努力するミオしゃは素敵だよ フワモコお化け屋敷は思った以上に2人がびっくりしててホラー感満載だったね
gsbzCOmfY-0,"朝ミオ！
戦慄迷宮でメタ読みしまくってるのリアリストのミオちゃんらしくて笑ったw
ソロライブももう来週！
体調管理も含めて準備しっかりしていこう！"
gsbzCOmfY-0,"朝ミオアーカイブから
みんなのソロライブに持っていくものが多様でなるほどなーって思いました！
ミオしゃのアルバムがオリコン週間ランキング1おめでとう御座います！
1ファンとして凄く嬉しかったです！"
gsbzCOmfY-0,"自分用 22:23 
ちなみにゲマズ2を通してみおしゃを最推しにしました"
gsbzCOmfY-0,バン(かわいい) 42:59
gsbzCOmfY-0,"朝ミオおつみぉーんです
少しでも良いものをと追求するミオしゃは本当に凄いです。
でも、無理しないでミオしゃが楽しめるライブをしてもらえればと思います！
歌詞飛びはライブならではの醍醐味でもありますから！"
gsbzCOmfY-0,朝みお配信お疲れ様です！
gsbzCOmfY-0,"朝ミオ！
皆のおたより、それぞれ熱意が感じられて良きでしたね！
戦慄迷宮でのフワモコちゃんたちとのエピソードが可愛くて和んだ&お化け屋敷に対する考え方が実にらしくて面白かったです
ソロライブリハーサルの裏話も聞けて良かったです！
ソロライブに対する意気込みや想い、そして頑張りが感じられてグッときました
ライブ楽しみにしてるね
ファイトです"
gsbzCOmfY-0,Ily
gsbzCOmfY-0,"朝ミオおつみぉ〜ん！
とうとうソロライブまで約1週間だね
忙しい中朝ミオありがとう
戦慄迷宮での裏話が聞けて楽しかった
守護る対象がいると頑張れるのか
体調管理に注意して今週も頑張ってください"
gsbzCOmfY-0,"今週のおたよりのハッシュタグでみんなの参戦アイテムを見ていると、過去のグッズや自作グッズで気合いの入ったものも多くて、いよいよライブも近いんだなってわくわくも最高潮

オリコン１位も改めておめでとう
最近はホロのグッズが売ってるお店でもミオちゃん関連のグッズは軒並み売り切れになってて、ミオちゃんの人気とミオファの熱量の高さをひしひしと感じられて嬉しい

お化け屋敷での話もミオちゃんらしくて面白かったw

リハや準備で忙しい中、今週も楽しい朝を届けてくれてありがとう
ソロライブに向けて体調も万全にしていこう"
