video_id,comment
iXOELIsCqnE,❤🧡💛💖💖💖
iXOELIsCqnE,またねね🧡
iXOELIsCqnE,"ねねちって反復練習さえすれば
ちゃんとゲーム上手くなるタイプよね
気が向いたらリベンジ待ってる"
iXOELIsCqnE,ねねちのおしり♡も沼
iXOELIsCqnE,すごく不思議なゲームだったね。めちゃくちゃ笑わせてもらいました。ねねちが楽しそうにプレイしているのを見るのが楽しくて好き。
iXOELIsCqnE,"
ゲームのBGMとカラカラの二重奏ｗ
宣伝助かる！
あれ？カラカラ二重じゃね？
あ、なおったｗ
中心によってんねぇｗ
導入ひでえｗ
動きｗ
おちりｗ
序盤でつまずいてるｗ
動きｗ
難しそうｗ
惜しいｗ
まずいなｗ
３択でいっちゃんむずいの引き当てるのすごいｗ
話しながらの方がうめぇｗ
険しすぎるｗ
にゃーかわ
おお、ブレーキを使いこなしてる！
秋の訪れいいね
何もない所を掴んでいるｗ
ハラハラするｗ
虫オジｗ
もうどうにもならんｗ
うまい！
おおー！面接おめでとう！🎉✨
普通に落ちたなｗ
募集要項いいね
火の輪ｗ
なんてこったｗ
入社オファー通知来ちゃー！
おじぃぃぃぃぃ！！！
振り出し…
研修完了おめでとう！🎉✨
ドンマイじゃ
リベンジある！
自動保存ないすぅ！
出世するの楽しみにしてるｗ
"
iXOELIsCqnE,"おじの就活おつ！
またすごいシュールなゲームを…めちゃくちゃ面白かったけどねww
後半はかなり爽快に就活？wしててよかったよー！！！"
iXOELIsCqnE,😁😁😁🧡💕☺️☺️☺️🧡💕
iXOELIsCqnE,"ハゲおじプリケツ虫っぽさとある意味シナジーのあるチョイスでよかったｗ
リベンジもだしねねちのアンテ未知数すぎて見てみたいな"
iXOELIsCqnE,お疲れ様ー！むちゃくちゃ楽しかった！トライアンドエラーで成長していくねねち凄かったよ！
iXOELIsCqnE,👍Thanks Nenechi!
iXOELIsCqnE,"バカゲーかと思いやしっかり高難易度ゲーでびっくりｗ
ねねちも初めは困惑してたけどプレイするたびに順応してたし、次あればおじのはバリバリ出世で髪の毛ふさふさ間違いなし！！"
iXOELIsCqnE,"思いもしないところに貼りついたり宙ぶらりんになったりして面白かった。
やる度にどんどん上手くなっていって、１面クリア？するときには結構爽快だったし楽しかった！"
iXOELIsCqnE,"Thank you for the hard Tony Hawk Pro Skating in the fun Get To Work stream, Nene-chi!

* 1:04:12 That's one way to say that he's just *hanging* around"
iXOELIsCqnE,
iXOELIsCqnE,"サムネにねねちが
いないから一瞬わからなかったw"
iXOELIsCqnE,ねねちの選ぶシュールゲームはセンスしか感じないし本当に面白い🤣！！ハゲおじのシュールな見た目と裏腹に難しいゲームだったけど、苦戦しつつもどんどん上手くなっててさすねねだし可愛い反応沢山見れて最高でした🥳リベンジもアンダーテールも楽しみ！！
iXOELIsCqnE,"お疲れ様ー！
今回は面接くらいまでしか行けなかったけどねねちの上達スピード早いからまたやればめっちゃ進みそう！！
いつかリベンジ待ってるで✨"
iXOELIsCqnE,今日もお疲れさま
iXOELIsCqnE,"Get To Workお疲れ様でした！操作する度に上手くなっていってさすねね
勢い・位置の微調整やブレーキなど進み続けていけるセンスが発揮されたのでは
次回のリベンジや候補に挙がっていたゲームの配信も待っとります！"
iXOELIsCqnE,"配信お疲れ様でした～！
今までのゲームでねねちのプレイスキルが上がっていても就職の道が困難過ぎておもろかったよw"
iXOELIsCqnE,00:01:58 開始
iXOELIsCqnE,"バカゲーかと思いきや、なかなかの難易度で出世の道はなかなか険しい…
最初は無理そうに見えても、試行錯誤でどんどんクリアしてくねねち、すごかった！
ハゲおじの出世のため、リベンジ待ってるね！"
iXOELIsCqnE,"配信ありがとうございます！
わりと早い段階でコツを掴んでてもしやねねさんはスーパー就職コーディネーター"
iXOELIsCqnE,ナイスランでした！久々リアルタイム嬉しすぎた！
iXOELIsCqnE,"配信おつねね〜♪
壁にへばりつくの面白かったꉂ😂w"
iXOELIsCqnE,"お疲れ様〜
なんかでチラッと見た事あるゲームやなぁって思ってたけど、見た感じよりメチャメチャ難しいゲームやねっ😲
難所を安定してクリアできるようになってくねねち、マジすげぇわ(≧∇≦)b
続きやってくれるの期待してるね〜♪
楽しい配信ありがと〜"
iXOELIsCqnE,配信お疲れ様でした！✨🧡
iXOELIsCqnE,
iXOELIsCqnE,沢山笑ってしまったよ
iXOELIsCqnE,peak endurance 🙏
