video_id,comment
kp2gnezyrsA,👀
kp2gnezyrsA,"4:03:58
5:06:23
5:07:10
ぽゆか！"
kp2gnezyrsA,配信みたよ～楽しかった！貞子パニックがあったり嵐来たりなど色々だったね！7DTD本格的に始まってきたなと楽しくなりつつ、かわいく楽しいおかゆんたくさんみれて楽しかったよ！
kp2gnezyrsA,"お疲れ様でした～！
貞子やばかった…4日目も楽しみ！！"
kp2gnezyrsA,"DAY３お疲れ様
今回の資源集めのペースがはやかったね！次の襲撃前に電気トラップ完成できったらいいね！
貞子ループやばかったなぁ、全ロスなしでよかったね
面白かった、次回も楽しみ〜！"
kp2gnezyrsA,"貞子ですがHeat値が上がるとランダムで湧きますが
その時最大３体だったか４体湧きますが
貞子が貞子を召喚する事はないです
無碍地獄になるから
同じ理屈でブラッドムーン時に貞子が湧かない仕様になってます"
kp2gnezyrsA,DAY3もお疲れ様でした！みんながいない中での貞子ループなどもあって今回もハラハラしたね…協力しあって乗り越えれて良かった！2回目の襲撃もやばそうだけどきっと大丈夫よね！次回も楽しみだ！
kp2gnezyrsA,"ホロの7大豆２三日目お疲れ様でした！
やば…ハードモードは冗談じゃーねぇぞ。貞子が貞子を
そしてさらに貞子が！？いつもと違うメンバーと絡むのは
7大豆の醍醐味だ！やっぱふぇねっこてぇてぇええやん…"
kp2gnezyrsA,お疲れ様でした
kp2gnezyrsA,あとちょっとで治りそうです。
kp2gnezyrsA,22:00-5:00が一応標準なのかな、ぞんさんの襲撃時間。深夜割増料金の時間帯ですねぇ。
kp2gnezyrsA,"定期貞子はEXPポッドと考えるとおいしいけどヒート値下げたいならたいまつよりもろうそく、作れるならランタンがおすすめです
ランタンは電気系の電球並みに明るいうえに作っちまえば燃料いらずでヒート値もゼロの理想のともし火"
kp2gnezyrsA,"お疲れ様でした
やっぱ、わちゃわちゃしているところ見るとオモロい"
kp2gnezyrsA,"配信おつかれさま！
やっぱりおかゆんはみんなのお姉ちゃんだって思った！"
kp2gnezyrsA,"day3お疲れ様でした〜
今回もハラハラドキドキすることがたくさんあったけど楽しかった〜
次の襲撃もがんばれ〜"
kp2gnezyrsA,"配信お疲れ様
ゆっくり休んでね"
kp2gnezyrsA,"お疲れ様でした
"
