video_id,comment
lKTJcCrY1k0,"大切な時間を一緒に過ごせるって良いよね
本当にソロライブお疲れ様でした！"
lKTJcCrY1k0,ミオしゃソロライブお疲れ様!!ほんとめっちゃ最高でした！最高の1日になりました！ミオしゃの夢とミオファの夢が叶ったなってしみじみ思えた1日でした！
lKTJcCrY1k0,"現地ではなく配信チケットだけどソロライブはじめて見た。最高だった！泣かぁないでーで泣いたわめっちゃ
それにマイク無しの声は感動した、画面越しだから現地とは違うけど、ちゃんと聴こえた！
そして、ソロライブ前の配信ではトイレ行かないぐらい汗かくような事してたって言ってたから、山かな？と予想してたんだが、まさかの予想がぶっ飛ぶような結果で笑った　笑"
lKTJcCrY1k0,"振り返り雑談おつみぉーん！
びっくりする裏話が多くて楽しかった笑
改めてライブ本当にお疲れ様…！
今回はツリー席だったけど次は必ず現地に行きたい！
体に気をつけて頑張って…！
本当に最高のライブをありがとう…！！
大好きミオしゃ！！！"
lKTJcCrY1k0,"ミオしゃがセツナライトを歌い終わって消えたあと、なんだか言いようのない寂しさがあった
でも、その後の長いアンコールの声に応えてミオしゃが戻ってきた時はすごく安心した
その感情とリンクするように、
長いこと目標にしていたソロライブを叶えて祭りの後の寂しが少しだけある中で、次は2ndソロライブに向けて走り続けるという言葉は寂しさを吹き飛ばしてくれた！
最高のライブをありがとう！この最高をもう一度目指してくれてありがとう！
夢にまで見たミオしゃのソロライブはまさに夢見心地だったよ、感動をありがとう！"
lKTJcCrY1k0,"びっくりするような裏話が多くて面白かったw
次は会場行きたいな。"
lKTJcCrY1k0,"ミオちゃんソロライブお疲れ様でした！
絶対に失敗したくない時ってどうしてもネガティブになっちゃうんだよね…色んな事を考ちゃって…でもライブは大成功だったよ！
次は2ndライブに向けて新しい目標できたね！"
lKTJcCrY1k0,"現地参加しました
本当に最高のLIVEでした
歌ってるミオしゃとしては’もっと’と思う部分もあるだろうけど、
私は今まで見たLIVEの中で過去一じゃないかと思うくらい素晴らしかった"
lKTJcCrY1k0,振り返りおつみぉーん！色んなお話聞けてよかった！まさかミオしゃが暇を持て余して1人ディズニーしてたなんて、、リフレッシュできたみたいで良かった！！目指せ2ndライブ！これからも応援してるよー！！
lKTJcCrY1k0,本当に最高のライブでした!忘れられない一日だった!
lKTJcCrY1k0,"振り返り雑談！
裏話を聞いてまた感動してしまいました
本当に最高のライブをありがとう！また同時視聴楽しみにしてますね！
そしてまたいつか2nd楽しみに待ってますね！"
lKTJcCrY1k0,"また泣いちまったよ😭
本当に最高のソロライブだった！
本当にありがとう！
ずっと応援してます"
lKTJcCrY1k0,"最高でした〜🥳🙌
こう言う歌が聞きたい！って歌を沢山歌ってくれて🎶
自分は…夏宿り、ですね😇

ダンス凄くて🔥
顔の向き、目線、動作からの動作の間、指先まで
大神ミオ史上最高の完成度😎✨

生バンドめっちゃ良っ！🥰

1stソロライブ本当によく頑張りましたね🤝

ミオさんの感謝の言葉
2階席にも届きました💥👊🐺"
