video_id,comment
lcS0NNeqriw,"加藤清正といえば熊本城
正解はそこだったかもしれない
くそ強い打者となかなかいい投手が揃っているので
次回あれば考慮していいかも
今回は序盤でつまずいたけど絶対諦めないのが博衣こより
京都に旗を持ち帰ろう
"
lcS0NNeqriw,"見事ゲッサーを獲得できて有言実行ですね！ＡＺｋｉちゃんの独壇場かと思ってましたけど、全然そんなことない　こよりちゃんもやりますね！
神社や寺巡りを見れて楽しかったです！お疲れ様でした、本選に向けて頑張ってください！"
lcS0NNeqriw,"神社巡りおつこよ
結構サクサク場所を特定してて最後の運ゲーに持ちこんでてすごかったね
Cパートの雑談も楽しかったよ。知らないお作法も結構あって勉強になった
箭弓稲荷神社でほぼほぼゼロゲッサーの時に終わりにしても良かったと思うけど、しっかりやり切るこよちゃんさすがだね
妥協しない姿を神様も見てたと思うから、ホロ甲育成もきっと見守ってくれるよ"
lcS0NNeqriw,"0ゲスおめでとう！！！

久しぶりのゲッサーこよちゃんと一緒に神社巡りデートしてるみたいで楽しかったよ"
lcS0NNeqriw,"
これはゼロゲッサーに時間かかっても運気チャージ出来ましたわ
知ってるとこも多く出てきたからなんか楽しかったw"
lcS0NNeqriw,"0ゲッサーおめでとうございます。
自分も寺社巡るの好きなので、行ったことがある場所も結構出てきて画面の前で、
「ここ○○じゃん！」何回か叫んでしまいました。
ホロ甲もがんばれ！

※細かい点ですが、2:56:09の亀岡の「ほうりんじ」ですが、ゲスした「宝林寺」ではなく、
同じ亀岡にあって読みも同じ「法林寺」の説明を読んでいる模様。
既出でしたら申し訳ありません。"
lcS0NNeqriw,長時間お疲れ様でした。 ノエたんが参拝した神社もそうだけど何処も本当に僅かな誤差で素晴らしい精度だった！！
lcS0NNeqriw,最終的には優勝を納めてノエちゃんと東松山に報告→川越観光まで楽しんでもらいたい
lcS0NNeqriw,"Geoguessrで神社巡りおつこよ〜！
観れてない所も観たよー！

色んな神社を日本各地一緒に巡ってホロ甲でのこんこよ高校の祈願もして！
団長との絆！箭弓 稲荷 神社に奇跡のようなめぐり逢いもして博衣家トークに知識さすこよなめっちゃ楽しい雑談しながらよう頑張ってえらい0ゲッサーおめでとう🎉

まったり雑談のテンション&集中して探す姿や楽しんでよく響いて幸せな気持ちになる笑う声も最高に可愛すぎるこよちゃんが大好き
運気をあゲッサーの次回こより監督の育成も楽しみすぎる一緒に神社巡りのデートありがとう!"
lcS0NNeqriw,"いろんなお寺に神社があったね！
開運に御利益もつき、これでこんこよ高校は優勝を狙えるはず！！
こよちゃんがんばれ！！"
lcS0NNeqriw,"神社巡り0ゲッサー耐久おつこよ
箭弓稲荷神社が出てきたのはホントすごい！そして惜しかった！
運気はきっと上がったはずだ！
来た道をスタート地点まで戻って怖がってるの可愛い"
lcS0NNeqriw,"
長時間お疲れ様でした！０ゲッサーおめでとう
運気アゲアゲで育成も上手くいく！がんはってね


和装前髪下ろし姿！可愛すぎる"
lcS0NNeqriw,一緒に旅行しているみたいで楽しかったね︎💕︎
lcS0NNeqriw,祈願成就したらお礼参り行きましょうね〜
lcS0NNeqriw,"０ゲッサー耐久おつこよ〜！
神社、仏閣いろんな土地を旅して、お話し聞いて楽しかった
配信で、タイムリーな箭弓稲荷神社を引けるのも運よね🍀
こんこよ高校、こより監督ファイトだよ
普段の前髪での和装...めっちゃ可愛いやんけ"
lcS0NNeqriw,"おつこよ！
6時間もこよちゃんと一緒に、日本全国の文化財を巡れたのすっごく幸せです
そして、諦めずにゼロゲッサーおめでとおおおおお！！！
絶対に諦めない不屈の心でもぎ取った勝利！
本当にすごい！！！！！！"
lcS0NNeqriw,こよちゃんおつこよー！ゼロゲッサーおめでとう！運気もゼロゲッサー！行ったことあって懐かしい場所とか、観光巡りみたいに見れて楽しかった！
lcS0NNeqriw,"耐久
こよちゃんと一緒に神社巡りしてるみたいで楽しかった
こんこよ高校の育成が上手くいきますように🙏"
lcS0NNeqriw,"おつこよ

箭弓神社惜しかったねえ⛩"
lcS0NNeqriw,"20:33 
ハイエースで無くMAZDAボンゴなんよww
現行はハイエースOEMやけどもw"
lcS0NNeqriw,"
ゼロゲッサー耐久お疲れ様"
lcS0NNeqriw,おつこよ🩷
lcS0NNeqriw,"おつこよー！
0ゲッサー達成おめでとう！
こよちゃんと一緒に旅行めっちゃ楽しかったです！
最後まで諦めずに頑張ったこよちゃんならきっと勝てると思います！
頑張ってください！応援してます！
こよちゃん配信ありがとう！"
lcS0NNeqriw,"おつこよ〜！
惜しいのが何度も…長時間になったけど無事0ゲッサーおめでとう！
神社やお寺について調べながらまったり観光気分で楽しかったです！団長がお参りに行った神社も見れたのすごかった！
いっぱい巡ってお参りして運気上昇！こんこよ高校がんばれー！

16:06 城のエレベーター
16:38 ママーテ見てる？w/んーままままw
17:42 シャチホコだ！
20:43 現れて消えるバスw
35:27 閉じ込められた!?w
43:02 こよこよするw
49:30 194km w
1:13:33 クリーニング店がw
1:53:09 支配下にw
1:56:29 惜しいw
2:16:10 一輪車乗れなかった
2:27:35 清い心 /こよりみたいな
2:28:57 友達募集中w
2:58:37 土方としぞうじょうw
3:24:20 団長がお参りした神社!?
3:32:54 スーパーでも買うように/惜しいw
3:35:00 長門有希w
3:42:06 行ったことある/連れてかれたw
3:45:06 こよってるw
4:01:56 清水寺/ここどすw
4:40:51 すするかすすらんかw/スルスルw
4:50:20 イメチェン気付いた？
4:51:43 こよりにネコ要素ない？？w
5:58:31 0ゲッサー！
6:22:01 電子マネー賽銭w/上手投げwアンダースローw
6:48:11 友達と鎌倉巡り"
lcS0NNeqriw,"03:24:20 ノエルが参拝し、こよりがデジタル祈願をした箭弓稲荷神社
03:58:03 清水寺　04:14:11 諏訪本宮　04:45:03 仁和寺
↑こちらには参拝してこよりとホロライブの繁栄と必勝祈願をしてまいりました
これからもこうした神社仏閣のようにホロライブが長くされ続けることを日々祈る次第。"
lcS0NNeqriw,"おつこよ！　もうほぼゼロゲッサーみたいなとこまで何度も詰めれてたの凄かった！
色んな神社を巡っていくのとっても面白かったし本編後のデジタル化してく神社の雑談も興味深くて面白かったです！"
lcS0NNeqriw,"こよちゃん
一緒に神社巡りできて楽しかったよ
運気も上がって
こんこよ高校がんばれー！"
lcS0NNeqriw,こよちゃんといろんなところ回れて楽しかったぁー！何かしらの名所だから話の種が尽きないね旅行気分で幸せな時間だったよそして無理やりパワプロと繋げて御利益にあやかろうとする姿勢大好き
lcS0NNeqriw,"
こよちゃんと色んな場所を旅してるみたいで楽しかったよ！
こよちゃんはいい子だから神様も見守ってくれるんじゃないかな
ホロ甲頑張ろうね！ありがとう"
lcS0NNeqriw,Getting to know new places without leaving home is great! 
lcS0NNeqriw,"おつこよ〜
各地の景色や神社情報を一緒に見て知れて楽しかった
そしてゼロゲッサー達成おめでとう！"
lcS0NNeqriw,"おつこよ！
耐久にはなる……と思っていたけどここまでがっつりかかるとは……ｗ
これが今の運って感じの微ズレしかない感じ、だがこれだけありがたい所巡ったんだ、ここからよくなるはず！
見てる分としてはほんとに全国あちこち、旅行みたいで楽しかったｗ"
lcS0NNeqriw,0ゲッサー耐久配信ありがとうございますお疲れ様です
lcS0NNeqriw,6時間の激闘の末、ゼロゲッサーおめでとう！箭弓稲荷神社も巡ったしこれで育成もきっと大丈夫だ！
lcS0NNeqriw,"おつこよでした！
無事に０ゲッサー達成おめでとう！
こよちゃんといろんな神社とその周辺の景色も見て回れて楽しかった！
野球にご縁のある神社が出たのも何かの縁！
次回のホロ甲何かあるかも？！楽しみにしてる！"
lcS0NNeqriw,"耐久おつこよ〜！
こよちゃんと一緒に寺院巡りしてるみたいで楽しかった！
一緒にどの都道府県なのか考えるのも楽しかったよ！

またこよちゃんのジオゲ見たいな！

無事にゼロゲッサー出来たし、これできっと運気も上がったはず！
ホロ甲秋大会ここから頑張っていこうね！"
lcS0NNeqriw,"神社0ゲッサー耐久
長時間待機お疲れ様！
地元が出たり野球のとこが出たりいろんな事があってこよちゃんと一緒に見て回れてめっちゃ楽しかったよ！
これでこよちゃんに運が付きます様に！
自分も近くの神社に祈ってみるね！
明日、明後日も沢山のお仕事頑張ってね！"
lcS0NNeqriw,"長丁場おつこよさまでした、ゼロゲッサーおめでとう
たくさんの神社やパワースポットを巡ったので諸々積まれたと思います。
まったり観光チル配信で楽しかった、良いことたくさん起きますように"
lcS0NNeqriw,"ゼロゲッサーおめでとう！運気を上げる行為ってこんなにも苦労するのか
ノエ笠の聖地を見てまわれたりと楽しい旅でしたね"
lcS0NNeqriw,"
長時間に及ぶGuess本当にお疲れ様！
本当に惜しい場面が多くて悔しかったね･･･
それでも最後までやり遂げてだったよ！"
lcS0NNeqriw,"おつこよー！
色んな神社や観光地みれて楽しかった！
こよちゃんとデートしてるみたいで幸せ
また何かテーマを決めてやるのもいいかもね"
