video_id,comment
lurJDZsXc4c,"Harvest Moon 64 (牧場物語２) is easily one of my favorite Harvest Moon games, so it's really cool to see Sora-chan play it! It's very nostalgic!
楽しい配信ありがとうございました！ソラちゃん、今日も変わらず可愛かったです (≧▽≦)✨"
lurJDZsXc4c,『そら物語。』暫訂。
lurJDZsXc4c,このゲーム大好きだった！！
lurJDZsXc4c,"そらちゃん配信ありがとうございました
すっごく効率化されたようなプレイが面白かったです！
好きがいっぱい伝わってきて楽しかったです"
lurJDZsXc4c,"아아....남한에서도 남자라는 버튜버는 많습니다
그중에서 유명하다고 여겨지는 쪽이...

WALDOKUN, TongKKangYi, HowCow 이 있어요"
lurJDZsXc4c,そらちゃんの思い出のゲーム、そらちゃんの「好き」がいっぱい伝わりました。
lurJDZsXc4c,這遊戲太久遠了，我都沒看過
lurJDZsXc4c,そらちゃんのクリフへの添い遂げてほしいという願望がある種の愛があるのかなって思いました。
lurJDZsXc4c,"昨夜眠気に負けてアーカイブと言う形で見ましたが、そらちゃんの牧物配信楽しかったです！
今回プレイした2って、そらちゃんにとって思い入れが有るんだなぁって事を、初めて知りました。"
lurJDZsXc4c,なつかしい〜２年目くらいに犬にエサあげれること知ったのを思い出した😂
lurJDZsXc4c,❤❤❤
lurJDZsXc4c,Thanks for the fun stream Sora!
lurJDZsXc4c,おつかれさまでした❤色んなゲームやってるそらちゃん好き❤
lurJDZsXc4c,opの曲を歌うそらちゃんも、可愛いけど牧場物語2をプレイして楽しむそらちゃんのが、もっと可愛いね!❤❤❤
lurJDZsXc4c,お疲れ様でした❤
lurJDZsXc4c,"牧場物語なつかしい～





冒頭のお話がGのことなら侵入経路に換気扇も入りますねぇ
換気扇の隙間から小さなGが侵入してくることがあります
換気扇の中も湿っぽかったり油っぽかったりするので"
lurJDZsXc4c,牧場物語お疲れ様でしたー❤❤❤
lurJDZsXc4c,"牧場物語2配信お疲れ様でした〜
昔やった懐かしいゲームをまたやるのはすごく楽しいですよね〜 今日もありがとうございました(*･ω･)*_ _))ﾍﾟｺﾘ"
lurJDZsXc4c,あんきも・・・あんた馬車馬のように働くんやで・・・また新たなシリーズが始まった感じがして楽しみですね　お疲れ様でしたみんながいて、大切な仲間がいるときのそらパークが楽しみです！
lurJDZsXc4c,"そらちゃん牧場物語お疲れ様でした！そらちゃんが幼い頃にやったことがある牧場物語をありがとうございます！
昔ながらの不便なやり方やキャラクターの好みや色々と楽しかったです！"
lurJDZsXc4c,"牧場物語2のRTAの解説を見ているみたいでとても楽しかったです！
「めちゃめちゃ詳しいんかいっ！」ってずっと心の中で思ってました！
好きなものについての知識や思い入れが豊富で、伝えたいことがたくさんあるのかなって思ってます！
これからも遠慮せず全部伝えてください！ありがとうございます！"
lurJDZsXc4c,"Thanks for sharing the first game you ever played with us Sora!
You always mentioned how 牧場物語 (Story of Seasons) was a special series to you, and now we finally know why!
While the new designs for the characters are nice, seeing them in the original forms while running around befriending everyone, avoiding your rivals, and opening the menu to equip items/tools is so nostalgic! Also, good job holding on your own in the never ending battle against insects in your new pace!

The first Story of Seasons I played was Harvest Moon: Back to Nature on the Playstation,  also known   「牧場物語：ハーベストムーン」in Japan.
(So, the subtitle for the game in Japanese is what the series used to be called in the west...I just found this out right now and  )
Anyways, I played the 2 (64) later on and I was shocked to see that despite releasing first and having the same characters, their personalities, relationships, and stories were completely different between the two games! I did enjoy the differences, but it makes me wonder why they kept the characters as is in the version I first played and not yours... A mystery for the ages!

Also there's a trick where you can raise Karen's affection really fast to max if hold your dog and keep showing it to her, and if you do it in the bar when time stops... !
Okay, it's a bug and is pretty much cheating, but I thought it was fair at the time since I already married her in the other games! 
But watching you play... makes me want to it right!"
lurJDZsXc4c,お疲れ様でした
lurJDZsXc4c,"そらちゃん、牧場物語2お疲れ様でした〜！
そらちゃんの「好き」をたくさん感じられて見ててとっても楽しかったです✨️またこういう感じで思い出のゲームプレイ見たいな〜！ "
lurJDZsXc4c,"「牧場物語2」配信、お疲れ様でした！
いとこっちのお家で遊んだ思い出のゲーム、わかりやすい解説や他作品との違いなんかも話しつつ進めてくれたから、凄く楽しかった！！

スローライフに見えてやりたい事盛りだくさんだし、今作は1日の進みも早いから、結構大忙しだったね！笑

かわいいリアクションや、のんびりお話しも聞けてまったり癒やされた！
各キャラの好みなど、大好きならではの詳しさから、そらちの作品への愛がたくさん伝わってきた！！
やっぱり、そらちが好きな事を楽しんでる姿観られるのが一番幸せ！！大好きな思い出の作品、紹介してくれてありがとう！

凄く楽しかったから、また気が向いたり機会があれば、続きも配信で見せてね！のんびり待ってます！
ゆっくり休んでね！おやすみ〜！"
lurJDZsXc4c,
lurJDZsXc4c,"牧場物語2お疲れさまでした！
釣りだったり他のことも詳しくて楽しそうにプレイしてるなって思っていたら、好きな作品ででいとこっちとの思い出の作品だったんですね。
楽しそうな姿で癒されましたし、めちゃ楽しくなりました！！！疲れも飛びます。ありがとうございました！！！"
lurJDZsXc4c,お疲れ様でした〜
lurJDZsXc4c,A fun chill time of ranch work! Thanks for the stream Sora-chan!
lurJDZsXc4c,"～タイムスタンプ～
2:08 開始
・Ｘでのやりとり（そらスタにヤツが…！？）の話
7:04 牧場物語２がシリーズの原点な話
10:06 各種名前決め

13:24 ゲームスタート
19:19 ウマの名前は…？
29:42 そらちが狙っているエリィちゃん
33:52 独身ＥＮＤがあるそう → 魚釣れなくて拗ねるそらち
39:56 畑もひと工夫必要…？
47:02 初めて釣りに成功するそらち
・53:42 好みもばっちり
1:08:16 仲良し度は上げないといけないし上げ過ぎてもダメ
1:16:37 逆にくっつかせたい二人もいます
1:42:09 草競馬始まる
1:52:07 🐻「（セリフが変われば）勝ち」

1:55:09 牧場物語トークしながら締め
・最終的に「みんないる」牧場を目指したいそう"
lurJDZsXc4c,牧場物語ゲーム配信お疲れ様です！
lurJDZsXc4c,Sora-sama ❤❤❤❤
lurJDZsXc4c,"お疲れ様でしたー
すごく楽しそうにプレイしてて、とても思い入れがあるんだなあと感じました"
lurJDZsXc4c,"牧場物語2お疲れ様でした
以前本作のリメイクを配信で遊んでいましたが、想いでのゲームという事であえてレトロなチョイスにしたんですんね
最後に話していた通り、先日述べていた「自分の好きをアピールする」一環なわけですね
好きなものを饒舌にテンション高く配信するそらちゃんは魅力的なので、良い試みかと思います
一方、まだライブ前で多忙であり、続き物ゲームを終えられていないこのタイミングで更に追加となったのは懸念事項になり得ますね
並行してる各ゲームの熱量をなるべく保てるようなスケジュール感を意識した上で、好きをアピールする活動ができると需要と供給が嚙み合って相乗効果が生まれそうですね"
