video_id,comment
pChQkIDyOJA,綺麗…😭😭😭
pChQkIDyOJA,会場にめっちゃ人いて改めてみおしゃすごいなと実感した！！
pChQkIDyOJA,"だ、誰だ、この美女は！？別人のように可愛いな！！
1st Live 開催おめでとー！！"
pChQkIDyOJA,Congrats Mio!
pChQkIDyOJA,まだホロライブを知って1年。まだまだ未熟だけどいつか絶対にホロメン誰かのソロライブに行きたいって思ってる。次の日が学校だろうと関係なく楽しみたい。
pChQkIDyOJA,"Thank you for the live... I was really glad to be there. Hearing Mio singing Sirius live was amazing. Glad I was there to enjoy them, I'll watch the livestream too!

Also congratulations for the new outfit and tail release! I hope you keep on making music and be a strong wolf for everyone!"
pChQkIDyOJA,"1曲目からのHowling
マイク通さずの「ありがとう」

挙げればキリがないけど、現地に行けて良かったと心の底から思います！"
pChQkIDyOJA,この3曲を無料で聴けるなんてなんて幸せ者なんだ
pChQkIDyOJA,"ソロライブ本当におめでとうございます！
このときに立ち会えて本当に幸せでした…！　2ndライブもきっと！"
pChQkIDyOJA,Howling入ってるの神すぎだろ
pChQkIDyOJA,初手ハウリングやばすぎ！！
pChQkIDyOJA,"Thank you for the free part! I am so proud of Mio! Congratulations on your first solo live ""Our Sparkle"" Mio! I love the new 3D outfit, it looks so cool and the TAIL looks so cute."
pChQkIDyOJA,"夢が叶った瞬間を現地で、この目で見届けられてよかった…
おめでとう！そしてありがとう！！！"
pChQkIDyOJA,
pChQkIDyOJA,"最高のライブだった。
現地でミオしゃの肉声が聞こえた時は心臓が止まりそうな衝撃が身体を駆け抜けました"
pChQkIDyOJA,The gift that keeps on giving
pChQkIDyOJA,ミオかっこいいです。ライブいけなくてごめんね
pChQkIDyOJA,真剣に2ndを考えてくれてるミオしゃ、ミオファの温かさに気づいたミオしゃ、今回は配信だったけど、次は絶対に現地行ってやる!!
pChQkIDyOJA,"行きゃあ良かった😭
めっちゃええやん！！！"
pChQkIDyOJA,ミオしゃの母親感やっぱ凄いな
pChQkIDyOJA,"現地行けなかったけどマジでよかった
今回のライブ衣装も過去一クラスで好きだし最高だ
"
pChQkIDyOJA,3曲とも聴きたかったやつでソロライブ衣装も見せてくれてゲストの声も聞かせてくれて、これ本当に無料でいいんですか？
pChQkIDyOJA,リアであの空気を感じ幸せでした！涙が止まらなかった、、ありがとう😭
pChQkIDyOJA,Imaginary miofa voice😂😂
pChQkIDyOJA,"予定が合わなくて現地には行けられなかったでも、
この動画を見て素晴らしいライブだったんだな、と思いました。
だってこれだけでも、泣けてくるもの、
いままでずっとやりたかった夢が叶ったのが自分のことのように嬉しい。
ほんとうに、ほんっとうに生まれてきてくれてありがとう
あなたはわたしの天使です。
これからも応援する。
大好き！おめでとう！🎉"
pChQkIDyOJA,現地だとあまり分からなかったけどHowlingの時ちゃんとカメラ探す動きしてくれてる⋯？
pChQkIDyOJA,おめでとみおおおお🎉🎉🎉🎉🎉🎉❤
pChQkIDyOJA,"一夜明けて
改めて、慈愛に満ちた公演でした
またどこかのアリーナで"
pChQkIDyOJA,ちゃんと、存在するんだな、そこに本人がいなくて映像だけ写してるって思いが変わったな、確かにそこにいた。
pChQkIDyOJA,よし、ブルーレイが出たら買おう
pChQkIDyOJA,"思い出しただけでうるうる🥺
するようになっちまった
最高すぎる"
pChQkIDyOJA,"現地で肉声で「ありがとう」を聞けたときは本当に涙が溢れてきた
そこにいるんだなと改めて実感しました！
ミオしゃありがとう！
2ndも待ってる！絶対に行くからねー！！"
pChQkIDyOJA,I'm glad that we're all in the same boat as in we could all wait for anything as long as her intro song is playing
pChQkIDyOJA,"マイクを通さずに叫んだミオちゃんの声が聞けて、そこにいるんだなと実感したし、本当にありがとうの気持ちでいっぱいでした
もうずっと泣いていました
現地に行けて本当に良かった
そして5年半前、ミオちゃんを知れて良かった
最高のライブ、最高の時間をありがとうございました
どこまでも、応援させてください！"
pChQkIDyOJA,"肉声聞けたの一生忘れない。
本当に最高だった"
pChQkIDyOJA,"現地でのマイクなしありがとう本当に心に染みた…😭
ミオしゃの心からのありがとうが胸にドンって響いた…ミオしゃ最高のLIVEをありがとう！！"
pChQkIDyOJA,歌うまいなー
pChQkIDyOJA,ソロライブ衣装凄く可愛いね
pChQkIDyOJA,"最高の一日になりました！
ミオしゃお疲れ様です
"
pChQkIDyOJA,"ミオファのマナーと民度の良さが凄い👍
ミオママの教育の賜物か、痛烈ど畜生畜神ミオの調教の成果か気になるなww"
pChQkIDyOJA,"ミオシャ
おかげさまでとても楽しかったよ。一生の思い出になりそう。 私たちのことを心配してくたり
いろいろと気を使ってくれて本当にありがとう❤❤❤"
pChQkIDyOJA,"最初のHowlingでもう涙が出てきましたわ…ほんとにミオしゃの今までの努力の結晶だと感じました
最後のマイクを通さない「ありがとう」でまた涙がこぼれ…あっという間の約2時間…
ミオ…俺誇らしいよ！
感動をありがとう！"
pChQkIDyOJA,マイクなしでのありがとうは感動的だったしミオファでいて本当によかったと思えるようなライフでした！これからもミオファとしてみおしゃを応援していきたいです！目指せ2ndライブ！！
pChQkIDyOJA,Proud of you mio
pChQkIDyOJA,"ちら見せの段階からカメラワーク悪いのわかるなぁ
なんで大神ミオを見たいのにバンドマン映してんだよ
カバーはいい加減ホロメンを映すことを当たり前にやってくれ"
pChQkIDyOJA,最高だった。絶対ブルーレイ買う。
pChQkIDyOJA,本当に行ってよかったって思えるライブをしてくれたミオしゃに感謝と心からの尊敬を、、
pChQkIDyOJA,"初めて行ったライブがみおしゃで良かった🎉
奇跡的にS席で生声も聞けて最高！"
pChQkIDyOJA,"We MioFa all over the world love you, and we're so proud of you Mio-chan!  
DeepL翻訳: 世界のミオファ一同、あなたを愛しています。ミオちゃん、私たちはあなたのことを誇りに思っています！"
pChQkIDyOJA,ミオにちみょ~んです先ずは改めて[lソロive開催おめでとうございます]そして[開演アナウンスから通常のリアルliveでは珍しい[liveも配信として空間演出をされたり48:15秒付近では(珍チン&運動会組で)[無料枠でしかも3ヵ月前には同級ユニットでliveをされた場で仲良し掛け合いが見られた上でリーダみこさんの私が感じただけかもしれませんが[お声からliveが始まったばかりなので既に涙に来る]物が出てる感じがし今までのリアルlive無料パート中でも最高の無料パートになってます(w&😅をありがとうございます)
pChQkIDyOJA,"ライブも演出もミオしゃの心遣いも全部が最高だった…

最近のライブの衣装チェンジ、昔は一旦演者を隠して行っていたのに今はダンスしながら変わるので、技術の進歩にただただ圧巻されます…"
pChQkIDyOJA,"ほんとに泣けた。
会場暖かすぎる"
pChQkIDyOJA,愛とか絆とかミオしゃのファンや仲間との繋がりが詰まったソロライブだった。ミオしゃの思いがあふれて伝わってきて泣いてしまった。本当に最高だった
pChQkIDyOJA,開幕からいきなりフルスロットルで熱量やば
pChQkIDyOJA,"ミオちゃんのあったかい想いが詰まった素敵なLIVEでした(◍ ´꒳` )
ツリー席からの景色も最高で楽しかった！けどいつかは現地で✨
ミオファになって幸せだなと改めて思えた１日でした"
pChQkIDyOJA,いやぁ、実にいいライブだった
pChQkIDyOJA,"現場参加しました！
最高
これ以外の言う言葉無し
ミオファで幸せです
これからも応援しますから！セカンドライブもよろしくお願いします

+マイク無しでの「ありがとう」最高でした
絶対忘れられないです！
ミオしゃがミオファが本当にそこにいるんだを感じたように同じくミオしゃが本当にそこにいるんだを感じてめっちゃ良かったです
一生忘れられないです…"
pChQkIDyOJA,"ミオしゃソロライブお疲れ様！
最高の思い出になったよ！
今でもミオしゃの「ありがとう」が胸に焼き付いてる…
ミオファの「ありがとう」もきっとミオしゃに届いてるよね"
pChQkIDyOJA,"25:28 待機の歌
まさか聞けると思わなくて驚いた"
