video_id,comment
uX-8Gq-kx7s,"野球知らない奴が指示出してるとしか思えない！打ち気ある相手になぜに前進
守備やねん  ?? ９回に代走入れるの忘れとるし。守備ザルだとセーフになるし。
攻撃伝令と投手伝令も３回までしか使用出来ないんだから そっちもメモに書い
といて適切に使うこと出来れば。本当に１点取りたいならスクイズかゴロGOも吉。"
uX-8Gq-kx7s,3:06:28 3:48:49 一味に厳しい船長大好きな人にオススメ
uX-8Gq-kx7s,船長の声って声優さんの大谷育江さんと田村ゆかりさんの間の声に近いですね
uX-8Gq-kx7s,"試合中、船長の立ち位置が・・・
ゲーム画面を少し縮小してみてはいかがでしょうか"
uX-8Gq-kx7s,自分用　1:02:13
uX-8Gq-kx7s,"このあとも試合頑張ってくださいね。
船長、体力をあまり気にしていないけど、3年縛りでは練習器具以上に体力管理の方が練習の成長率のことを考えると重要になるので、意識してみてください。
観戦も体力回復効果ありますので、
このタイミングでカード使うのもアリだと思います"
uX-8Gq-kx7s,大山さんといい火威GOといい、船長のネーミング時間差でじわじわきて草。真顔でその名前を読み上げる船長も面白いんだよなぁ
uX-8Gq-kx7s,こよるのかあ～こぉよっちゃうのかあああ～む～～ん！
uX-8Gq-kx7s,𝒂𝒍𝒈𝒖𝒊𝒆𝒏 𝒅𝒆 𝒆𝒔𝒑𝒂𝒏𝒐𝒍 ?  𝑴𝒆 𝒔𝒊𝒆𝒏𝒕𝒐 𝒔𝒐𝒍𝒐😢
uX-8Gq-kx7s,調子こいてる時の船長の声ほんと役に立つ
uX-8Gq-kx7s,are your gloves sanitized madam houshou?
uX-8Gq-kx7s,"満塁でスクイズはタッチプレイ（守備が走者にタッチしないとアウトにならない）じゃなくなるのでアウトになりやすい。
全ての塁が埋まってるからどの塁に投げてもアウトになる。

などの理由でリアル野球じゃ奇襲以外ではお勧めしづらい作戦なんだけど、パワプロはゲームだから必ずしもリアル野球のセオリーが通用するとも言えないんだよなぁ。"
uX-8Gq-kx7s,"見入り過ぎて👍️押すの忘れてた😅
面白かったぁ👍️👍️👍️👍️👍️🎉"
uX-8Gq-kx7s,マリン様頑張れ😂推しマリン(ﾉ≧▽≦)ﾉいつも応援してます次のライブ待ってます❤マリン様アンチに負けないでください！😊手紙か来ます❤マリン様に届け！😂コメントください😢高評価かも😢
uX-8Gq-kx7s,内角のイントネーションが内閣😂
uX-8Gq-kx7s,船長素直で可愛い❤️❤️
uX-8Gq-kx7s,メンタルやられてる時の船長の言葉の悪さ元気出るわぁ(^O^)ありがちょ
uX-8Gq-kx7s,こよりライン越え！おめでとうございますｗ
uX-8Gq-kx7s,一年目夏は戦力が皆無なので、1.2勝が関の山。それ以上勝てればかなりアドやかなり運要素も絡むけども…
uX-8Gq-kx7s,"配信お疲れさまでしたー!!
船長楽しそうでワイにっこり☺️"
uX-8Gq-kx7s,"公式戦の最後の試合はマジで感動しました！
勝った時ガッツポーズしてしまった…😭✨
何より魔物無しでの勝ちだったので…ガチの試合のギリギリ感があってドキドキで最後まで見てました…🥺
次の配信も楽しみ過ぎます！早く見たい！

長時間の配信お疲れ様でした！
楽しい配信ありがとうございます✨"
uX-8Gq-kx7s,❤️❤️❤️
uX-8Gq-kx7s,"you are Amazing Marine Senchou 
I fell asleep and missed the stream but next time I want to see you playing."
uX-8Gq-kx7s,誰かクサイところはボールになりやすいの教えてやれよ
uX-8Gq-kx7s,"今回の配信では、なんと言っても二回戦でのサヨナラ負けの可能性のある9回裏の満塁のピンチを、前進守備で信頼できる一味のアドバイスと共に切り抜けたのにシビれたし、船長自身もメモを取って意欲的に勉強されていて素晴らしいです👏

あとは試合の終盤では手堅く塁を進めて勝ち越しを狙う(もちろん次打者や代打が期待出来ないならば打たせますが)ような試合の流れを掴む采配も選択肢に入れば鬼に金棒なので、今後も成長されて名試合を拝見させて下さいね🫡
応援しております❕"
uX-8Gq-kx7s,選手に色仕掛けするところが阿川先生としか
uX-8Gq-kx7s,"配信お疲れ様でした😊
あと２つ勝てたら甲子園！
がんばれ～👍️"
uX-8Gq-kx7s,本当にとりあえず外野は走っとけがいいと思う
uX-8Gq-kx7s,"流行りそうな予感
夏の一回戦or序盤で負けること=こよっちゃう
夏の一回戦or序盤で負けそう=こよこよしてきた"
uX-8Gq-kx7s,"パワプロアプリに来て欲しかったなあ
自操作有った方が配信映えすると思うんだが"
uX-8Gq-kx7s,「こよこよ」したいあなたに贈る回がこちら
uX-8Gq-kx7s,アイリスオーヤマにじわる
uX-8Gq-kx7s,"The best part is getting to play with balls~~
this game is also pretty fun too~~"
uX-8Gq-kx7s,1年目に3勝できりゃ十分まである。既にちょっと安心感あるね。
uX-8Gq-kx7s,"激戦続き過ぎて見てるだけで声出ましたｗ
マリン監督の名采配お見事でした！
こよちゃんすまない…船長は先へ征く…"
uX-8Gq-kx7s,この高笑いを聴きに来たんよ
uX-8Gq-kx7s,パワプロ配信楽しかったんだワ！
uX-8Gq-kx7s,"地道な育成が功を奏しましたね。
ギリギリでも勝利は勝利、かみしめていきましょう！
配信お疲れ様でしたー！"
uX-8Gq-kx7s,"何気にころさんよく打つなぁと思ってたら打率5割超えていましたｗ
走力がしっかり上がったら1番とか打たせたい逸材ですね"
uX-8Gq-kx7s,かなり白熱した戦いでしたね！！！気が抜けなくてドッキドキでしたこの調子で優勝しちゃいましょう
uX-8Gq-kx7s,"栄光ナイン激ムズゲームだった！
リセマラで楽勝でしょと思ってた"
uX-8Gq-kx7s,"白熱した試合ばかりでしたね
ホロ甲配信楽しかったです"
uX-8Gq-kx7s,"楽しく観させてもらっています
相変わらずのホームランのイントネーション😂"
uX-8Gq-kx7s,魔物弱体化した？それとも選手が育ってないからかね？！
uX-8Gq-kx7s,"マリン船長、パワプロ配信お疲れ様でした～。
優勝目指して頑張れ～♪"
uX-8Gq-kx7s,"3:06:33
今回もぶっ頃すぞが聞けてよかったw"
uX-8Gq-kx7s,❤❤😊😊
uX-8Gq-kx7s,Nice
uX-8Gq-kx7s,船長自身が裏でパワプロやってみた話を聞くの楽しいです
uX-8Gq-kx7s,"今後の課題は守備と走力ですかね
見応えのある試合ばかりで楽しかった〜"
uX-8Gq-kx7s,"スクイズ言ってる人なんでそんなにスクイズ好きなん？
満塁や1・3塁のスクイズとかゲッツーコースじゃないん？俺がおかしいんか？"
uX-8Gq-kx7s,😄
uX-8Gq-kx7s,船長お疲れ様でした二回戦まさかの延長まで行くとは思わなかったですけど、勝てて良かったです👏👏👏船長も裏で勉強してパワプロ覚えて来てさすが勉強家だと思いましたよまた次回も楽しみにしております😊
uX-8Gq-kx7s,満塁でスクイズはやめとけというコメントを拾って、あえて試してみるねという采配が見ていてキレキレですごいと思った。ここからは運次第になっていきそうですがどこまで勝ち抜くか楽しみにしています。
uX-8Gq-kx7s,"船長の高笑い久しぶりに聴けて嬉しかったw
もっともっと聴きたいから沢山勝って沢山高笑い聴かせて下さい✨"
uX-8Gq-kx7s,お疲れ様でした❤
uX-8Gq-kx7s,"変化量1があると打たれやすい、というゲームではないので信じなくていいです
変化量1があっても他の変化量が多い変化球を多く投げてくれるので変化量1の変化球はそもそも投げる機会が少なくなります
船長が見たと言ってる動画の「6，1，1，1，1」のように変化球の数が多くなるように育成するのが正解です
本番でも変化量6の変化球をたくさん投げてくれるので1があっても悪いことはないし、本番を考えるなら他の投手でもいいですからね"
uX-8Gq-kx7s,お疲れ様でした❤❤❤
uX-8Gq-kx7s,"ホロ甲2025 1年夏～配信お疲れ様でした！
あまり詳しくない僕でも宝鐘さんのような可愛い監督を観て楽しまさせて頂きましたぞ。
打てなかったり打たれたチームメイトは心に傷負ってそうでしたけどw
ギリギリの展開もありましたがそれでも何とか勝ち進めてて良かったです。
次回の配信も楽しみにしていますよ。
楽しい時間をありがとうございました！
おやすみなさいませ～
"
uX-8Gq-kx7s,"お疲れ様でした
早く青君に大山さん、プレアちゃんの活躍する姿も見たいです"
uX-8Gq-kx7s,船長の夏
uX-8Gq-kx7s,"最高の1年目過ごせそうですね！

1:03:49 その割れた顎マリンがなでなでしてあげる
1:41:33 1回戦の結果
2:02:48 尾藤ホームラン
2:05:24 同点3ラン
3:02:27 2回戦の結果
3:51:47 3回戦の結果"
uX-8Gq-kx7s,
uX-8Gq-kx7s,高笑いが面白すぎた
uX-8Gq-kx7s,コメントがあまりに止まりすぎた
uX-8Gq-kx7s,"マリン船長お疲れ様でした！１年目で３回戦突破はすごい！
ハラハラする展開が続きますががんばってください！"
uX-8Gq-kx7s,"コメントで7点差あってキャッチャーの控えも居るのにパリコレしない方が良いとか、ラオーラ投げさせなかったり。
緩急をダメと言って、前進守備でストライクを取れを押してたコメは何なんだ？。
本戦見据えても特に育成は大事だしビビりすぎじゃないか"
uX-8Gq-kx7s,栄冠はどうしてもコメントが喧嘩したり荒れてしまいがちですが、何とか勝ち進めてて良かった
uX-8Gq-kx7s,"キャプテンは重要なポイントを理解しました。
2人のプレイヤーがアウトの時はスキルを使わないようにしましょう。
この時点で、システムはあなたのスキルを簡単に無駄にする可能性があります。
何も得られない可能性が非常に高いです。"
uX-8Gq-kx7s,"育成配信2回目お疲れ様でした！
白熱の試合を制して県大会3回戦突破凄かったです
次回の準々決勝も楽しみにしてます！"
uX-8Gq-kx7s,配信お疲れ様でした！準々決勝進出おめでとうございますヒリつく展開が多くてドキドキしつつも楽しかったです！船長がちゃんと勉強して臨んでる姿ほんと偉い！！次回も楽しみにしてますね！
uX-8Gq-kx7s,2日目配信ありがとうございますお疲れ様です
uX-8Gq-kx7s,Arigatou for the stream SUPER kawaii Marin!!!
uX-8Gq-kx7s,永遠に終わらないスクイズ議論
uX-8Gq-kx7s,"1年目で夏3勝すごい！！どれもいい試合でしたねー！
一手一手コメントといっしょに考えて進めて，それが勝利に繋がってるのも楽しい！
着実に成長してますし，次からも楽しみですね！"
uX-8Gq-kx7s,"船長が栄冠ナインめっちゃ詳しくなってるのが伝わってきました…凄い！！
ギリギリの戦いが続く愛知県大会ですが、頑張ってください"
uX-8Gq-kx7s,"手に汗握る熱戦でヒリつくねぇ
船長には大会でも本戦でも優勝して欲しいなぁ"
uX-8Gq-kx7s,「こよこよしてきた」
uX-8Gq-kx7s,"実は「本大会最強ピッチャーのフブキングが打たれている」けど勝っている状況が興味深い所でした。
ここを何故点がとられているのか、何故それでも勝てているのか・・・これを運や結果論でなく分析出来れば凄くいい育成が出来そう！
次回はもう合宿だろうという冷静さも見せており、これはもうバタフライ勝ちだわ。ステイしそうなイメージだらけの頼りない翼でも飛んでいる。強い。"
uX-8Gq-kx7s,"お疲れ様でしたー！
接戦が続きましたが、思い切りのいい采配で順調に勝ち上がっていっててすごいですね！
これからも育成頑張ってください！

余談になりますが、２回戦の対新城戦の９回表のフブさんの打席のような、ランナー1・3塁のような場面では、スクイズ以外にも送りバントのコマンドでも３塁ランナーはホームに走ります。(2025年版の栄冠を実際にプレイしていて、そういう挙動をします)
打ちあがってフライアウトになったり三塁ランナーの足が遅いとアウトになりやすいというリスクの面ではスクイズと同じですが、なぜかスクイズと異なり、空振ってランナーがタッチアウトになるのは、送りバントコマンドの場合自分は見たことがないので、スクイズの数字が極端に低い場合は、ランナー1・3塁の場合に限っては、送りバントもおすすめです。"
uX-8Gq-kx7s,"1年目、夏の県大会3回戦目突破おめでとうございます👏
2回戦目はタイブレークまでいくハラハラする内容でしたが、勝ちぬけて良かったです
次は準々決勝からですね。このままの勢いで優勝まで勝ち取りましょう！"
uX-8Gq-kx7s,"お疲れ様でした！
ハラハラする試合が多かったけど順調に勝ち進めててすごかったこのまま甲子園まで行きたい！"
uX-8Gq-kx7s,"マリン船長🚢3勝おめでとうございます😊
どうでも良いアドバイスですが戦いながら戦術（伝令や代打等）を考えられるように3年や2年は名前に性格別の記号等をつけると見やすくて良いと思います👍

戦術がないと勝抜できにくいから、戦術は大切☝️

「マリン船長の選択が最強」
↑これ大正解すぎる😚

1年目、夏大会 次も勝つぞ！！！！⚾️🔥"
uX-8Gq-kx7s,"1年目3回戦突破は素晴らしい結果です！

何より驚いたのは栄冠と野球の知識が前回のミリしらより、格段に上がっている事です！

夏と秋を勝って学校の評判が中堅になれば、さらに良い選手達をスカウトできるようになり、チームが大幅に強化されます！

マリン監督とAHOY高校、どちらの成長も目が離せません！"
uX-8Gq-kx7s,1年目夏に3勝はかなり熱い！そろそろ相手も厳しくなってくるけど評判そこそこになったしこれはデカいわ
uX-8Gq-kx7s,"マリン船長​​おつかれ〜
ホロ甲配信ありがとう！
楽しかった！
次回の配信も楽しみにしています"
uX-8Gq-kx7s,"9裏で同点に追いつかれて満塁敗色濃厚だった2回戦 4番2ランホームラン1発で逆転負けが見えてた3回戦
1年目なのにヒリつきすぎて流石に勝った時は画面の前でガッツポーズですよ"
uX-8Gq-kx7s,お疲れ様でした！
