video_id,comment
uddAk4yYnVo,"You were outfoxed!
The intro was longer than the pulls."
uddAk4yYnVo,*FBK Tries It™: Bugged RNG Mechanics (Ayame's Enchanted Book Endurance Fishing Stream Edition)*
uddAk4yYnVo,Endurance stream? More like a speedrun
uddAk4yYnVo,切り抜きで観て観に来たら本編が切り抜きだった件
uddAk4yYnVo,史上最快直播😂
uddAk4yYnVo,Half of the stream just from the opening lol😂😂
uddAk4yYnVo,Fox Friend pulls a Fox Friend
uddAk4yYnVo,
uddAk4yYnVo,"LMFAO
Thx for the stream!"
uddAk4yYnVo,"Friend got friend, so end."
uddAk4yYnVo,이건 나도 풀버젼 볼수있음
uddAk4yYnVo,オットォ〜またよろしくお願いします！w
uddAk4yYnVo,何回見てもやっぱり7分............え？
uddAk4yYnVo,The opposite of the golden magikarp streams lol
uddAk4yYnVo,Nice stream lol
uddAk4yYnVo,bruh
uddAk4yYnVo,Coming here from a clip. Think someone should put a full translation of this endurance stream 😂
uddAk4yYnVo,White fox Endurance stream ended quickly by an 11M white fox(?)
uddAk4yYnVo,Official clips
uddAk4yYnVo,I love how excited Fubuki got at 6:25.  🤍
uddAk4yYnVo,Thanks for the stream Fubuki! Endurance streams can be really tough huh ww
uddAk4yYnVo,lol Fubuki Speechless is so cute
uddAk4yYnVo,Nani😳
uddAk4yYnVo,😂
uddAk4yYnVo,The intro is half the stream w
uddAk4yYnVo,The card is a white fox too!
uddAk4yYnVo,well well well i think kaela found her endurance stream rival right here..
uddAk4yYnVo,Amazing 😂
uddAk4yYnVo,The fact that almost half of this stream is just Fubuki's loading screen
uddAk4yYnVo,Thanks for the definitely long endurance stream lol
uddAk4yYnVo,"Lmao, love it"
uddAk4yYnVo,lmao Fox luck
uddAk4yYnVo,nice
uddAk4yYnVo,LOL that was epic!!!!
uddAk4yYnVo,cute and foxy
uddAk4yYnVo,Friend draw Friend. Perfect stream.
uddAk4yYnVo,"oh.. its speedrun ""endurance stream"" 😂"
uddAk4yYnVo,She just used all her lucks this year
uddAk4yYnVo,Fastest endurance stream from our cutest fox friend
uddAk4yYnVo,😂😂😂
uddAk4yYnVo,"あまりに予想外のことが起こると思わず声出なくなるんですね・・・
このゲーム、フブさんを超えるホロメンさん果たして現れるのだろうか"
uddAk4yYnVo,これが公式切り抜きですか…
uddAk4yYnVo,I'm looking forward to Mikochi reaction 😂❤
uddAk4yYnVo,半分はオーペニングで笑
uddAk4yYnVo,切り抜きかと思った笑
uddAk4yYnVo,"ショートの切り抜きから来たけどマジで配信分数見て笑ったｗ
本当に一瞬で終わったのねｗｗ"
uddAk4yYnVo,おかしいな…OP見てたらアーカイブ半分見終わったんやが……
uddAk4yYnVo,七分って・・・オープニング、説明入れてだよ！？
uddAk4yYnVo,"おつ🌽でした〜
アーカイブ勢にも優しい配信時間ありがとうございます！"
uddAk4yYnVo,"さて…！お酒とおつまみOK！よし！1000万カード出るまで見守り隊準備完了！！

〜7分で豪運爆速引きEnd〜

まだ少ししか手をつけてない大量のお酒とおつまみ…どうすれば…？？"
