video_id,comment
xnSqSJBbZrg,おにぎりっていうと　魔方陣グルグルのキタキタ親父を想起しちゃう…
xnSqSJBbZrg,Stay strong korone 💪💪
xnSqSJBbZrg,レベル12まで余裕でお客さんをさばけてたけど、13以降になってからのころさんが、現実のおにぎり🍙屋さん同様忙しくなって、段々とパニック状態になって来るのが、可愛かった❤❤❤
xnSqSJBbZrg,Thanks for the stream! 🤎🐶
xnSqSJBbZrg,遊んでくれると信じてました、アーカイブ楽しく見てきます
xnSqSJBbZrg,ころさんのこと最近超好き
xnSqSJBbZrg,19:37 またお越しくださいませが村おこし来るスタン・ハンセンに聞こえる経堂駅前のコンビニの店員やんw
xnSqSJBbZrg,おにぎり売るころさん可愛すぎる😍
xnSqSJBbZrg,Thanks for the vod Korone.
xnSqSJBbZrg,42:55 ごましおを売るためなら純米拒否も辞さない
xnSqSJBbZrg,ころ様のEMTはいつも面白くて大好きです❤
xnSqSJBbZrg,no bread house??
xnSqSJBbZrg,♡
xnSqSJBbZrg,lovely dog 
xnSqSJBbZrg,Love you Korone❤
xnSqSJBbZrg,"配信ありがとうございます！

坦々とおにぎりを作り続けるゲームなのにずっと見続けられるのは、流石としか言いようがありません🤔"
xnSqSJBbZrg,"おつころーん
配信お疲れ様でした
面白かった！"
xnSqSJBbZrg,面白かった🤣
xnSqSJBbZrg,1:01:30 イメトレかわいい
xnSqSJBbZrg,"おつころーん！
結局、我慢できず！
コンビニに行っておにぎりを買って食べました！
店が狭いからマルチがあたらハンバーガー屋より漫才の感じがもっと強そうで楽しいと思いますね"
xnSqSJBbZrg,梨の美味しい季節になりましたね〜🍐
xnSqSJBbZrg,"松本の名前出さないでほしい
性犯罪者をホロライブが認めちゃダメだ"
xnSqSJBbZrg,すごい楽しかったからまたやってくれたら嬉しい
xnSqSJBbZrg,"25:16 釜持ったまま接客
25:36 カーマは気まぐれ"
xnSqSJBbZrg,❤❤💛💛💛💖💖
xnSqSJBbZrg,"バーガーシミュレーターのおむすびバージョンっすかね？
ワンオペだとめっちゃ忙しそう😅"
xnSqSJBbZrg,Happy happy doggo🤎🤎🤎
xnSqSJBbZrg,May you stay safe and let your content continue.
xnSqSJBbZrg,"街で評判のおにぎり屋さんです👌
43:03 ごま塩をオススメするも…いや、在庫あるんかいw"
xnSqSJBbZrg,lmao.. Korone addicted to making Onigiri 🤣
xnSqSJBbZrg,I love you korone-baby-chan❤❤❤
xnSqSJBbZrg,ハンバーガー🍔屋さんの時と同じで、現実世界と同じで本格的にころさんが、おにぎり🍙を作るのが、すごく見応えが有って面白かったよ!🎉🎉🎉
xnSqSJBbZrg,"最初はまったりだったけがどんどん忙しくナって大変だったのにワンオペ頑張って狙いの揚げ物までいけてころさん凄かった！！
開店の準備中にころさんの鼻歌と注文の覚え方めちゃ可愛かった～
今日も楽しい時間ありがとー！！呪物でもころさんいつも大切にしてくれるの嬉し"
xnSqSJBbZrg,ころさんが1日だけとは言えおにぎり🍙屋さんに転職して、休んでいるおかゆんとおにぎりゃーも大喜びだね!❤❤❤
xnSqSJBbZrg,"a small group of terminally ill bluesky users vs hololive, lol good choice."
xnSqSJBbZrg,"Korone is so cute, I would definitely eat at her onigiri shop 🍙"
xnSqSJBbZrg,おにぎりが食べたくなりました。いや食べました🍙
xnSqSJBbZrg,"Oh this has english translation subtitles available? I didnt know that, i only been watching you from clip and compilation channels for a year 😂 . Good to be able to watch vods of your streams now."
xnSqSJBbZrg,Korone ❤
xnSqSJBbZrg,Bakery doog selling onigiri as a side job 👏👏😂😂
xnSqSJBbZrg,おつころーん！
xnSqSJBbZrg,"おつころーん
レベル21まで行けてすごい！"
xnSqSJBbZrg,"おつころ〜ん🍙
ころさんボイスに癒されながら寝ます😴"
xnSqSJBbZrg,I 💛 Korone pay pay
xnSqSJBbZrg,おつころーん 24:15 24:21 24:25 24:34 24:39 24:44 24:56 25:06 25:22 25:25 25:28 25:37 25:40 25:44 25:45 25:47 25:48 31:55 31:57 32:07 43:55 44:05 44:14 44:24 44:40 44:45 1:16:47 1:16:50 1:48:43 1:49:05 1:49:12 1:49:17 1:49:26 1:49:33 1:49:34 1:49:36 2:36:43 2:36:45 2:36:48 2:36:53 2:36:57 2:37:03 2:37:07 2:37:09 3:07:39 3:07:41 3:07:45 3:52:33 3:36:41 4:04:47 全てがかわいいすぎるころねさん
xnSqSJBbZrg,Thanks for the fun stream Korone! Goodnight!
xnSqSJBbZrg,ころさんの愛情おにぎしが(ﾟдﾟ)ｳﾏｰ
xnSqSJBbZrg,"パン屋の看板イッヌ娘だけどおにぎり屋もこなせる万能娘！！
さすがころさんだぜ！！"
xnSqSJBbZrg,❤❤
xnSqSJBbZrg,"村興しスタンハンセン
アラン・ドロン不在でした
まさかでるとは笑笑"
xnSqSJBbZrg,おつころーん💛
xnSqSJBbZrg,"チルゲーかと思いきやめちゃ忙しかったね。おにぎりおいしそすぎて飯テロでした🤤
ワンオペでてんてこまいでもミス1回だし、星５の繫盛店にナったのはころさんの腕よ💪✨
ころさんのおにぎり屋さん（パン屋）毎日通いたい人生だった"
xnSqSJBbZrg,"Thank you for the fun Onigiri Shop Simulator stream, Korone-san!

Okayu-san would be proud of you for owning the shop!"
xnSqSJBbZrg,ころさんの手作りおにぎりとか、世界一美味しいからね。かわゆい。大好き。
xnSqSJBbZrg,"おつころーんでした!!
めちゃめちゃ面白くて
次回が気になりました!!✨"
xnSqSJBbZrg,お疲れ様 
xnSqSJBbZrg,"コンビニで売ってるおにぎりも最高だけど、注文して作るタイプのおにぎり屋さんも通ってみたくナるくらいお腹が空くゲームだった！
ころさんの接客もかわいかった"
xnSqSJBbZrg,"スパチャの設定はまぁ気づいたらで良いよ～
それ自体があれば嬉しいけど、必然でも義務でも絶対でも無いものだからね
むしろ、色々忘れてアーカイブ消えちゃう方が困るからしばらく無くて良いよ～

僕らはその時の配信条件でころさんと最大限に楽しい時間を過ごすだけだから、設定とかどうでもよいと思うよ(でも144p固定とかコメントオフはダメよ？w)"
xnSqSJBbZrg,"おにぎり屋さんおつころーん🍙
Come on PeopleJapanese Onigiri うめうめ
今日も楽しかった！ころさんめっちゃ上手だね！
マミーとゆっくりしてね！​​またね〜"
xnSqSJBbZrg,来年のGTAマジで楽しみ
xnSqSJBbZrg,例え給料がおにぎりの残りでも、ころさんと働けるならいっかｗ
xnSqSJBbZrg,"めちゃおいしそうで配信見ながら焼きおにぎり作っちゃった😛
ワンオペお疲れ様です！
ごちそうさまでしたー"
xnSqSJBbZrg,"おつころーん！
ワンオペの手際が良くて本当に凄かった！
ころさんのパンチの効いた接客が面白くて好き"
xnSqSJBbZrg,"一々動作がかわいいし店員さんボイスもかわいくて素敵
忙しかったけどこっちはころさん見てて和んでたので今日もチル回"
xnSqSJBbZrg,おつころーん
xnSqSJBbZrg,"おつころーん！
ころさんの手際が良くてすごかった👏
顧客のオーダーに振り回されて悲鳴をあげちゃう所もかわいかったですｗ
ころさんとシミュレーションゲームの相性はやっぱり抜群だと思います👍"
xnSqSJBbZrg,マルチが追加されて、おかころのおにぎり屋さんやMAXDOGのおにぎり屋さん、こんこんいぬいぬおにぎり屋さんとかも見たいぜよ
xnSqSJBbZrg,まったりと思ってたのにめちゃ忙しかったおにぎり屋さん。ワンオペで捌ききったのすごかったよー！
xnSqSJBbZrg,"★★★★★ とっても可愛くて面白い看板娘さんが一人で頑張って切り盛りされてるお店です！おにぎりの提供スピードも速く味も美味しくて最高でした！また利用したいと思います♬
ちゃんと先に作った方から売ったり同線意識した配置にしたり本当にお仕事してるみたいにワンオペで頑張ってるころさんのお店ごっこ見てて凄く面白かったよ！
商品をお渡しする時の「はい」って掛け声が凄く可愛くて何度もドキっとしてたよ♬ あと焼き鮭とかが本当に美味しそうすぎてころさんの感動や反応に完全同意できて楽しかったｗ
今日もたくさんの笑顔や元気を届けてくれてありがとね🌺 明日はマミーさんと楽しくゆっくり過ごしてきてね🍀"
xnSqSJBbZrg,"ころさんナイス配信、よくやった👏💗難しそうかった、ころさん素晴らしいかった🥰🙌
今日もころさん嬉しいそう、本当によかったね🫶💞この服装かわいい、ころさんかわいいかった☺💓
ゆっくり休んでください、ころさんとマミーとパピー応援します🙏❤

Your Customer Service is S-Rank it's cute and fast 👏💞 Well, you like making people happy so it' was a good choice, and I'd say today too everyone would be so happy 🥰💓
I remember you said you worked Customer Service before 😮 I did too, a call centre then a cashier before getting into Software Engineering, you kept the queue small very well 😌
I'm always by your side, please have a nice rest 🥰🙏

大好きだよ I love you 🥰🤝 おやすみ、Sweet Dreams🫶❤
疲れ様でした!! いつもあなたとあなたのご家族が無事で、元気でいることを祈ってます 🙏❤❤
健康に気をつける、いつも私はあなたの幸せを願います~d(❁´◡`❁)>"
xnSqSJBbZrg,"ワンオペで☆5.0の大繁盛店に育て上げたのすごかった〜
目を回しナがらもお客さんを捌いていくのかっこよかったね！
ころさんが接客してくれるゲームプレイするとお客さんの扱い面白くて大好きｗ"
xnSqSJBbZrg,"おつころーん！ワンオペでもテキパキとおにぎり作りとレジ対応するころさんスゴかった👏✨
ただ途中で忙しすぎてわぁぁぁって声が出ちゃってるころさん可愛かったよｗ
ころさんが店員のおにぎり屋さんがあったら毎日通いたい"
xnSqSJBbZrg,おつころーん！レベル21までワンオペイッヌすごい！
xnSqSJBbZrg,"ひっそり隠れたおにぎり屋さんと思いきや
バリバリ人気の出る大忙し店舗になるとはね
配置考えたり客対応で笑わせたりと面白い時間を過ごせてうれしかったよ"
xnSqSJBbZrg,"注文の復唱可愛すぎたし、一時期の忙しさに発狂もしたけれどしっかり最適化してやり切れるようにナってたの本当に凄すぎた！
直置きしたの戻したり悪態ついたりツッコミどころ多すぎてほんと見ていて楽しすぎｗ
ワンオペ忙しすぎて想像したチルには成らずだったかもだけど、ころさんの配信は今回も笑えて癒されて落ち着く良き時間だったよ～！配信ありがとね！"
xnSqSJBbZrg,"ワンオペ大変だったね～！
ころさん物の配置とかしっかりしてるし、手際よくてめっちゃ上手だったよ！
それにしてもお腹がすくゲームだ～ｗ明日は絶対おにぎり食べる！"
xnSqSJBbZrg,"すっごい忙しいゲームだったけどころさんめっちゃようやってたｗ
てんてこ米になってるころさんも可愛かったよ
ころさんが店員やってるお店毎日通いたい人生だった"
xnSqSJBbZrg,"おにぎり屋さんシミュレーターおつころ～ん！✨
1人でおにぎり屋さん切り盛りしてえらかったよ～！👏
5つ星の人気店になったね！🌟🌟🌟🌟🌟"
xnSqSJBbZrg,この店どこにありますか通います
xnSqSJBbZrg,"ピンチでもクリアしたころさんがすごかったｗｗｗ
ずっと、「うわあああぁ～」って言ってカオスだったけど、上手にできたよ～
少しでも日本のコンビニの食べ物を勉強することができたよ～ ありがとね～！"
xnSqSJBbZrg,紙袋もって店内を走るころさん、とっても可愛かったです！
xnSqSJBbZrg,レベルが上がるにつれて忙しくなってたけど、ころさんが呟きながらお店を回してる姿が可愛く癒されたのでよし！
xnSqSJBbZrg,ゆったりまったり…とはいかずめちゃくちゃ忙しくて慌ててるころさん可愛かったw
xnSqSJBbZrg,"Have a nice and fun break Korosan 💕 I would love to try the mentaiko onigiri, the taste is intriguing me, and I know the taste would be delicious!"
xnSqSJBbZrg,Thank you for the fun stream !
