video_id,comment
ya66eFjdOr4,イタズラされても許しちゃいそうなホロメンを教えて下さい！
ya66eFjdOr4,So.... she's just a fucking Disgaea character come to life huh? .... Okay. Works for me.
ya66eFjdOr4,Anyone have the name of the song at the end?
ya66eFjdOr4,Funny enough gigi would in my opinion be a really good yakuza character in terms of the gameplay storywise they have a lot to work with seeing as its gigi
ya66eFjdOr4,Pretty sure Biboo would have tripped while running.
ya66eFjdOr4,300 people died in the explosions
ya66eFjdOr4,she's multiplying 😮
ya66eFjdOr4,1:41 is she lifting her boobs? 😂 Interesting
ya66eFjdOr4,"literally goes ""y u mad?"""
ya66eFjdOr4,1:16 カリとクロニーの登場がかっこよすぎるw
ya66eFjdOr4,There is chaos incarnate in holoEN and yet gigi murin exist
ya66eFjdOr4,クロニーの「I know you hate these. Eat it...」とカリオペの「Eat the tomato.」が怖いけどかっこよくて好き
ya66eFjdOr4,"calli's ""GIGI"" line read was a little too real"
ya66eFjdOr4,"注意
　1. 水で濡らさないで下さい。
　2. 明るい光を当てないで下さい。
　3. 真夜中（0時過ぎ）にエサを与えないで下さい。"
ya66eFjdOr4,ござるは可愛いから許しちゃう💕
ya66eFjdOr4,why the thumbnail looks like ryzeal detonator lol
ya66eFjdOr4,She touched Koyori tail. That is death.
ya66eFjdOr4,en勢の戦闘力の高さ好き
ya66eFjdOr4,en勢の戦闘力の高さ好き
ya66eFjdOr4,"""Eat it."" ""Eat the tomato.""
Very good delivery."
ya66eFjdOr4,Gigi has angered Death and Time
ya66eFjdOr4,"Sometimes, i wonder if Gigi isn't supposed to be an Advent member... but kept in Justice to have the rest of them keep an eye on her"
ya66eFjdOr4,"So don't feed your Gigi after midnight, or get her wet...
Man, she really is a gremlin."
ya66eFjdOr4,GIGI真的太可怕了，還有被反擊分裂的能力...
ya66eFjdOr4,1:37 Gigi murin has to be in the gremlins movie.
ya66eFjdOr4,Such an adorable menace
ya66eFjdOr4,How is she not in a cell alongside advent?
ya66eFjdOr4,ホロぐらとはまた違うカオスさだったジジの3Dデビュー配信をみんなに見てほしい
ya66eFjdOr4,"0:11
ホロぐら初登場(その60)
ジジ・ムリン"
ya66eFjdOr4,most normal gigi interaction
ya66eFjdOr4,か、可愛いすぎる、！！
ya66eFjdOr4,VTuverとか微塵も興味無いけど「グレムリン」の文字につられてやってきた。飛行機落とせよ
ya66eFjdOr4,カリが死神なのにガルガンタ使ってる。カッコいい。
ya66eFjdOr4,『信じあう〜仲間と一緒に〜』
ya66eFjdOr4,I would HATE living in this town💀 like oh my god this probably happens on a daily
ya66eFjdOr4,"Justiceなのにイタズラ好きなのか…
それもまた良し！"
ya66eFjdOr4,"So biboo has been caught twice 

Once from CeCe 

And now GiGi"
ya66eFjdOr4,0:30 cute biboo
ya66eFjdOr4,"Gigi deserves this writing, haha."
ya66eFjdOr4,1:42 Switch with me right now
ya66eFjdOr4,Why did the end of the video look like a victory screen for a fighting game?
ya66eFjdOr4,Gigi and Ayame both multiplying is pretty much death for the window.
ya66eFjdOr4,1:03 - 1:08 nice dungeons and dragons reference right there
ya66eFjdOr4,0:50 America after miss placing trillions of dollars
ya66eFjdOr4,Truly gigi is just our local mr mxyzptlk
ya66eFjdOr4,Looks like I was wrong.  Gigi _CAN_ Adoragremlin her way out of this.
ya66eFjdOr4,Koyori seems confused and I don't blame her because I am too.
ya66eFjdOr4,"""Hahaha! 😂 Skill issue 😈😈😈""

- Koseki Bijou, apparently... 2025

*her vocal drop really got to me*"
ya66eFjdOr4,It's September... oh god.
ya66eFjdOr4,Kronii's angry voice sent me
ya66eFjdOr4,WOW
ya66eFjdOr4,"With Gawr Gura gone, someone had to fill the role of gremlin on Kronii and Mori. GG’s seems to be filling those shoes quite well, though I can’t recall Gooba ever getting punished for her shenanigans"
ya66eFjdOr4,Una kronini salvaje paso volando
ya66eFjdOr4,"Is the directing bad on purpose, or is all the voice direction done by people who don't speak a lick of English?"
ya66eFjdOr4,So were they actually speaking Japanese and dubbed over in English or is this the official version?
ya66eFjdOr4,NICEEEEEEE
ya66eFjdOr4,Why is it that every time I come to this channel it feels like a fever dream on drugs?
ya66eFjdOr4,1:16
ya66eFjdOr4,"1:51

I know what she wanted to do there."
ya66eFjdOr4,"Oh yeah I forgot she could just do that, classic Gigi"
ya66eFjdOr4,Protect Gigi at all costs
ya66eFjdOr4,What happened to Biboo's voice at 0:40?
ya66eFjdOr4,"boat goes binted.

what is going on i love it."
ya66eFjdOr4,An army of adorable Gigi gremlins let loose to wreak havoc would be unstoppable and cause the end of the world.
ya66eFjdOr4,The horror.
ya66eFjdOr4,やピーかわいい
ya66eFjdOr4,"0:57 😂
1:31 😂"
ya66eFjdOr4,My dream belike:
ya66eFjdOr4,지~~~~ 무린~~~~~~~~~
ya66eFjdOr4,mating press
ya66eFjdOr4,And that is why Holo Staff doesn't feed her after midnight
ya66eFjdOr4,グレムリンは増えるものやからな（３つの約束を壁に貼りながら）
ya66eFjdOr4,we all love gigi
ya66eFjdOr4,this is hard
ya66eFjdOr4,Damn Kronii hit her with the 『ザ・ワールド』
ya66eFjdOr4,エンディングかっこよ！
ya66eFjdOr4,"okay but like ... are we not going to discuss 1:27 ?
that line delivery by Kromii was something else"
ya66eFjdOr4,gigi voice acting needs more chaos she sounds so reserved lol
ya66eFjdOr4,"so if we feed her tomatoes, do we all get to have a Gi Murin? 🤔"
ya66eFjdOr4,"Oh I get it, ITs.............A TROLL 2 REFERENCE!"
ya66eFjdOr4,the only member of justice to successfully capture a criminal
ya66eFjdOr4,Now she's multiply
ya66eFjdOr4,"1:21 A very angry Kronii and Calli appeared!
Gigi: hello darkness my old friend I’ve come to talk to you again.
Elizabeth after seeing all the chaos: what da frig, I don’t get paid enough for this 🤦🏻‍♀️
CC and Raora: 😂🤣"
ya66eFjdOr4,"Why are these💢✌💦in the subtitle for Gigi Murin?
Are they trying to tell us something😭?"
ya66eFjdOr4,She hit my GG spot with this one
ya66eFjdOr4,"Tomatoes make her multiply?
🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅"
ya66eFjdOr4,So Gigi is just Johnny Somali but Vtuber. 😅
ya66eFjdOr4,"non ho sinceramente capito nulla della trama ma ok, G Murin"
ya66eFjdOr4,I need more of Kronii and Cali using their celestial and underworld powers. Their entry was awesome 🤩
ya66eFjdOr4,時空を裂いて現れるクロニーとカリオペのワープかっけぇ
ya66eFjdOr4,"新キャラきましたね〜😊
でも、最後はまさかの増殖😮"
ya66eFjdOr4,"Did Mori Calliope just use the Garganta like Espadas / Arrancars / Hollows (Menos Grande) do when they cross the human world?
Peak Bleach reference."
ya66eFjdOr4,やっぱジジと対になるのってビジューだったのね😊
ya66eFjdOr4,1:47 this animation is way too good at the end here. Love this part alot.
ya66eFjdOr4,The time should be midnight to make Gigi eating multiply...
ya66eFjdOr4,She is more chaotic than the Warden of Chaos.  Who frankly is not very chaotic.
ya66eFjdOr4,this is getting out of hand! now there are *loses count of all the Gigi's* way too many of them!!!
ya66eFjdOr4,1:14 cue pillar man theme
ya66eFjdOr4,"Just gonna point out, the text says “no good” but Gigi says: advent has been up to good for to long."
ya66eFjdOr4,absolute hell
ya66eFjdOr4,Gigi rules
ya66eFjdOr4,😉👍✨
ya66eFjdOr4,ジジとこよのペア好き👍👍
ya66eFjdOr4,"GIGI HOLOGRA, YEEEEAAAAAHHHH"
ya66eFjdOr4,that last montage felt like it could be a phonk edit
ya66eFjdOr4,"Gigi Murin is a literal gremlin, confirmed. Do not get her wet or feed her after midnight"
ya66eFjdOr4,"I love that she multiplied, just like actual OG  gremlins do LMAOOO"
ya66eFjdOr4,Gigi cuteness and her chaotic prankster.😂
ya66eFjdOr4,こよりの、思ったよりスノーやねが癖になる
ya66eFjdOr4,1:23　分からせには各々趣味嗜好があるだろうが、ワイはこの分からせられる直前の涙目でギリギリ強がって笑ってる顔が一番好き
ya66eFjdOr4,Isn;t Koyori Sempai part of a secret organization out to take over the world for the Vibe points?
ya66eFjdOr4,0:37 Gigi: AND THEN COMES A GIANT FIST
ya66eFjdOr4,ジジとビジューの絡みもっと見たいなぁ、、、
ya66eFjdOr4,Calli opening a garganta portal from bleach
ya66eFjdOr4,I just noticed that her name sounds like gremlin
ya66eFjdOr4,"LOLOL SKILL ISSUE 
-Biboo"
ya66eFjdOr4,Yellows just have this kinda energy.. gigi.. jyushimatsu
ya66eFjdOr4,Meet the goblin
ya66eFjdOr4,"GIGI MY ORANGE GREMLIN OSHI!!!
🧡🧡🧡"
ya66eFjdOr4,I like how Koyori is here despite being part of a evil gang that wants world domination but still helped nevertheless
ya66eFjdOr4,1:17
ya66eFjdOr4,"1:48 As someone who did Taekwondo, that was a fire 540 hook kick!"
ya66eFjdOr4,「一体もらおうか」
ya66eFjdOr4,I'll take 20
ya66eFjdOr4,"Tomato clones. Huh, who would've thought?"
ya66eFjdOr4,"the subtitles say ""advent has been up to no good for too long""

but gigi actually says ""advent has been up to good for too long""

this is perfect"
ya66eFjdOr4,すごい見た目がコナミのゲームに出てきそうな感じしない？
ya66eFjdOr4,Gigi The Fister!
ya66eFjdOr4,they really went with the auto fister xD
ya66eFjdOr4,Gigi so cool 💜💜💜
ya66eFjdOr4,Shouldn't have fed the GG after midnight
ya66eFjdOr4,Oh no. Gigi actually *is* the most competent member of justice.
ya66eFjdOr4,The face at 1:50 is perfect gremlin freaky 😂
ya66eFjdOr4,Sleep deprived reference
ya66eFjdOr4,Out of all the characters capturing advent i was not expecting gigi to be the one to accomplish it
ya66eFjdOr4,gigi my fav from EN Holo
ya66eFjdOr4,"На протяжении всего ролика у меня было стойкое ощущение, что смотрю его в 2x..."
ya66eFjdOr4,Remember. She been award Most Chaotic Vtuber for a reason.
ya66eFjdOr4,"That is the most focused Gigi I have seen, actually caught an Advent member."
ya66eFjdOr4,"The Khronoporation effect is really nice, but i feel like there is a clinking sound missing during the chase..."
ya66eFjdOr4,
ya66eFjdOr4,"Weirdly, Hologra is less chaotic than Gigi is as a whole."
ya66eFjdOr4,Never trust the gremlin
ya66eFjdOr4,She’s just Daffy Duck at this point.
ya66eFjdOr4,"I like how calli's portal trick resembles a Garganta from Bleach, nice little touch"
ya66eFjdOr4,この子良いな～。ギルティギアとかに出ても違和感なさそうｗ出たら使うぞ！
ya66eFjdOr4,"Hold on aren't Koyori and Holo X also Criminals, shouldn't Gigi and Justice also be trying to capture them as well? 😂"
ya66eFjdOr4,..........I got a flashback to a certain Jane Doe trailer with those tomatoes.
ya66eFjdOr4,‏‪1:57‬‏ 😂😂😂
ya66eFjdOr4,"Ok, that was adorable"
ya66eFjdOr4,1:17 ここにいたか…がカッコいい
ya66eFjdOr4,太帥了吧！
ya66eFjdOr4,Kronii using a random store baught stopwatch because someone has her original is a good touch.
ya66eFjdOr4,某総帥「ジジそこ代われ」
ya66eFjdOr4,Boat goes Binted
ya66eFjdOr4,She can multiply! It is now canon
ya66eFjdOr4,Scientist of an evil organization and agent of Justice attempt to capture a rock which evading time and death. Yep the plot writes itself.
ya66eFjdOr4,Check failed. I'm not sorry. XD
ya66eFjdOr4,She's going to be the winner of most chaotic vtuber for sure this year.
ya66eFjdOr4,"クロニーとカリオペの登場かっこいい！
ジジはそのまま格ゲーキャラとして出せそうな感じあって良き"
ya66eFjdOr4,"First, angry Kronii is the best.

Then, this Hologra was so funny. GIgi is a gremlin for real, after all. 🤣"
ya66eFjdOr4,Entertaining as always
ya66eFjdOr4,Press 1 for healing
ya66eFjdOr4,Now I add rocket punch and self duplication to Gigis abilities.
ya66eFjdOr4,ジジかわいい😭😭😭🧡🧡
ya66eFjdOr4,Clearly they didn't watch the Gremlins movie.
ya66eFjdOr4,"It's September guys, and we all need to remember..."
ya66eFjdOr4,gigi lore update
ya66eFjdOr4,Mori used descorrer despite being soul reaper
ya66eFjdOr4,And she is part of the Good ones.
ya66eFjdOr4,1:17 からのクロニーの声良すぎる
ya66eFjdOr4,"Gigi getting full on Gremlins (the movie) lore and multiplying with tomatoes, that was not what I was expecting at all."
ya66eFjdOr4,"1:15 Finally, Calli and Kronii are able to use their powers to enact a bit of payback XD"
ya66eFjdOr4,苦手なトマトを食わせるシーンを見て、「ピーマン、口に突っ込むぞ！」って言われてるわためを思い出したw
ya66eFjdOr4,Gigi being able to multiply is such a genius random power to give her 😂 there's no better way to make her absolutely terrifying. And she didn't even need any grempreg to do it!
ya66eFjdOr4,Having Gi Gi roll a d20 was pure gold 😂
ya66eFjdOr4,ビジューのノーコンの声やばすぎだろ
ya66eFjdOr4,GI MURIIIIIN
ya66eFjdOr4,"Skill issue is crazy xD

Also 1:14

DID KRONII JUST USE DIO'S STAND?"
ya66eFjdOr4,"""I just felt like it today"""
ya66eFjdOr4,0:37 Rocket Punch!
ya66eFjdOr4,Did Gi murin just do a roundhouse tail slap at the end?
ya66eFjdOr4,Calli's entrance was so cool.
ya66eFjdOr4,"Calli's *""GIGIIIII!!""* felt real, and felt personal"
ya66eFjdOr4,1:27←ここのクロニー怖い😧
ya66eFjdOr4,We might be more cooked than ever
ya66eFjdOr4,"Watching this, I was confused if I was playing the video at 1.2x speed somehow."
ya66eFjdOr4,1:30 Deep cut. Kudos to the writers 😂
ya66eFjdOr4,"Fake news, theres no way Beebs ran that far without falling over"
ya66eFjdOr4,"not gremlin

shes a germling
bacteria gigi"
ya66eFjdOr4,Nah that scream came from the soul 0:08
ya66eFjdOr4,クロニーとカリオペカッコよすぎw
ya66eFjdOr4,"Don't eat Doki!


She'll possess your body"
ya66eFjdOr4,The tail wagging 😊
ya66eFjdOr4,"Do not water your gremlins after midnight: X
Do not force feed tomatoes to your gremlin whatsoever: O"
ya66eFjdOr4,全員許せるぞ あとじじかわええな
ya66eFjdOr4,あー、グレムリンとか懐かしいなぁ…
ya66eFjdOr4,"ロケットパンチを複数打てる
気分で増殖できる
強いな…‼︎"
ya66eFjdOr4,gigi chasing biboo is a mood
ya66eFjdOr4,PLEASE tell me that closing beat is gonna be the backbeat for a Gigi song! 😮
ya66eFjdOr4,I'm gonna touch u Gigi
ya66eFjdOr4,0:37 放たれる必殺の一撃、その名も！その名も！その名も！
ya66eFjdOr4,1:50
ya66eFjdOr4,Boat goes binted indeed
ya66eFjdOr4,"最後の曲カッコよすぎ     love gigi
曲名は何だー！！！！！"
ya66eFjdOr4,1:16これは時間の典獄
ya66eFjdOr4,1:14さあ、お前の罪を数えろ。
ya66eFjdOr4,可愛い
ya66eFjdOr4,01:46 song name please?
ya66eFjdOr4,Hahahaha Skill Issue
ya66eFjdOr4,"1:30 來人餵公子吃番茄
給翻譯加雞腿"
ya66eFjdOr4,i know people came here just for this part 1:17
ya66eFjdOr4,1:16 時間と死神の専用移動方法
ya66eFjdOr4,"Yeaaay, it's Gigi time !Wait, she can multiply ? Uh oh
Cute Biboo spotted, rip baby jail again⛓🗿"
ya66eFjdOr4,We need to feed Gigi lots of tomatos so that everyone can have their own personal gremlin at home. 😁
ya66eFjdOr4,It's been a great few weeks to be an EN fan of HoloGra!
ya66eFjdOr4,"multiple mischief, multiple mayhem"
ya66eFjdOr4,in this particular episode Gigi is only using 10% of her gremlin powers.
ya66eFjdOr4,Calli opening a gate like a Hollow from Bleach is a nice touch.. but shouldn't it be a Shinigami Senkaimon?
ya66eFjdOr4,Oh it’s seiso Gigi in the hologra…. What?
ya66eFjdOr4,Get tomato! Get tomato! - Ouro “The Kronster” Kronii
ya66eFjdOr4,"im... im sorry Bae 😢
I think Gigi might have yea beat on Chaos"
ya66eFjdOr4,"Ohhh lord, there more of them"
ya66eFjdOr4,以後沒有人修窗
ya66eFjdOr4,This is a real Gigi moment.
ya66eFjdOr4,ENはいいぞ
ya66eFjdOr4,很好，這集有吸😂
ya66eFjdOr4,"20D1

3が出たのでジジさんは謝りませんでした。


いや、これ、こよさんが振る側なのでは…"
ya66eFjdOr4,Gigi too powerful 😮
ya66eFjdOr4,Finally Gigiiii
ya66eFjdOr4,可愛い小悪魔ちゃんだ。。。
ya66eFjdOr4,中文字幕 來人阿餵公子吃番茄笑死
ya66eFjdOr4,こんこよがマトモ枠だと違和感ががが…
ya66eFjdOr4,"The way Kronii says ""eat it"", makes me wanna go eat the tomato she's holding"
ya66eFjdOr4,悪戯っ子ですらぶちぎれる「森」があるらしいな
ya66eFjdOr4,
ya66eFjdOr4,可愛いね
ya66eFjdOr4,Gigi's voice acting sounds so forced...
ya66eFjdOr4,I love this damn gremlin 😭 look at her go!
ya66eFjdOr4,ギザ歯がかわいい
ya66eFjdOr4,So she really can shoot her fists out like Mazinger Z. Confirmed.
ya66eFjdOr4,Boat goes binted Hologra
ya66eFjdOr4,"There is something missing about this, something about Gigi not mentioning… League"
ya66eFjdOr4,時空の狭間から出てくる二人かっこいい！
ya66eFjdOr4,ホロじゃなくて虚(ホロウ)で草
ya66eFjdOr4,Hard to believe Gigi ISN’T one of the criminals…
ya66eFjdOr4,カリオペたち出てきたところ格好いい
ya66eFjdOr4,Thank God for English subtitles.
ya66eFjdOr4,Notes taken. DO NOT feed Gigi tomatoes or she's going to multiply and unleash uncontrollable amount of chaos.
ya66eFjdOr4,she hella cute
ya66eFjdOr4,0:19 モザイクの仕方草
ya66eFjdOr4,"0:00 through 1:30 - I dunno man, Scripted Gigi feels a bit too _""standard""._

1:30 - I'm sorry what?"
ya66eFjdOr4,Looks like Gigi is the same sort of creature that Haachama is
ya66eFjdOr4,"If You Think about it, in spanish the fister Gigi is la puñetas"
ya66eFjdOr4,ガラス割れないとむしろちょっと満足感を得られない体になりましたw
ya66eFjdOr4,"Gigi got that infectious laugh
Also the fact that this girl here, from ""Justice"" is alot more chaotic than our chaotic Hamster"
ya66eFjdOr4,1:27 👀
ya66eFjdOr4,日本語字幕でもBoat Goes BintedはBoat Goes Bintedのままだったw
ya66eFjdOr4,"I just realized, who ever lives in that city, has some crazy insurance plan."
ya66eFjdOr4,BOAT GOES BINTED
