kanji,count
楽,3907
見,2581
思,2304
様,2219
青,1935
良,1628
好,1603
疲,1366
出,1070
人,1042
感,929
言,925
笑,912
待,859
声,747
気,738
歌,707
嬉,689
曲,654
聞,633
時,629
方,622
話,597
何,546
草,517
続,507
行,502
凄,491
上,446
今,437
色,434
事,427
知,426
来,419
後,401
合,398
愛,397
姉,384
入,382
休,371
助,370
次,369
分,362
子,362
踊,356
中,356
終,351
前,347
目,343
奏,334
切,333
日,323
早,321
私,317
俺,311
過,307
欲,306
強,300
泣,299
幸,291
聴,288
心,274
変,258
推,256
抜,254
多,253
動,253
久,249
振,249
伸,248
初,247
回,243
進,242
悪,239
癒,237
下,233
違,230
付,225
取,224
考,220
姿,218
夏,216
神,213
少,213
生,210
込,210
願,205
優,200
全,198
会,197
手,194
使,193
父,193
戻,190
殿,190
喜,188
伝,187
誰,186
持,186
新,184
食,184
無,183
顔,183
戦,180
珍,179
帰,177
残,177
高,175
返,175
作,175
観,173
増,172
読,170
美,168
足,167
同,165
引,164
難,162
所,159
皆,158
改,157
止,157
先,153
始,150
勝,149
間,148
朝,148
怖,146
飛,142
年,141
立,136
落,136
怒,135
向,133
流,132
焦,131
乗,130
他,128
僕,125
大,124
余,122
懐,119
君,118
当,117
長,117
買,114
決,114
寝,113
明,112
通,111
第,110
倒,110
居,109
忘,108
起,108
夢,108
超,107
遊,103
詰,102
驚,101
盛,99
力,98
黒,98
月,94
重,94
着,93
女,93
悩,92
近,92
届,92
頭,91
開,91
物,89
喉,89
道,89
別,88
辛,85
選,84
覚,83
急,83
特,82
虫,82
娘,82
追,81
口,81
熱,81
喋,79
得,79
救,78
勢,78
角,78
悲,78
負,78
音,77
実,77
教,77
一,76
書,76
走,76
探,75
涙,75
昔,74
味,73
対,73
受,73
刺,72
悔,71
敵,71
寂,70
深,69
旅,69
遅,69
耳,69
消,69
送,67
祈,67
達,66
絡,66
元,66
溢,65
想,65
尊,65
含,64
信,64
系,63
打,63
逆,63
叫,63
掛,62
胸,62
確,62
運,62
直,61
位,61
貰,60
髪,59
謎,59
組,58
嫌,58
呼,58
似,57
頼,57
体,56
忙,56
裏,56
癖,56
嬢,56
金,56
小,56
限,55
歩,55
光,55
猫,55
周,55
屋,54
越,54
赤,54
壊,53
奴,53
羊,53
語,53
化,53
頂,52
若,52
鳴,52
惚,52
広,52
飲,52
者,51
離,51
我,51
服,51
置,50
万,50
隠,50
頃,49
家,49
許,49
煽,48
吹,48
輝,48
指,47
揺,47
番,47
更,47
為,46
死,46
痛,46
豚,45
散,45
風,45
割,45
叩,45
側,44
真,44
恥,43
円,43
褒,43
売,42
件,42
扉,42
繋,42
激,42
腹,42
叶,42
逃,41
遠,41
度,41
夜,41
突,41
効,41
台,41
萌,41
拾,41
慣,41
積,41
苦,40
訳,40
寄,40
絵,39
白,39
男,39
互,39
欄,39
車,39
申,39
投,38
恋,38
数,38
映,38
鬼,38
例,37
横,37
関,37
抱,37
滑,37
祝,37
飯,37
席,37
恐,37
遂,37
押,36
諦,36
森,36
壁,36
迷,36
親,36
素,36
名,35
育,35
撮,35
比,35
溜,35
染,35
閉,35
囁,34
焼,34
必,34
守,34
差,34
惜,34
既,34
果,34
活,34
駆,34
集,34
共,33
相,33
形,33
世,33
的,33
試,33
編,32
沼,32
描,32
低,32
有,32
温,32
求,31
版,31
身,31
細,31
花,31
狙,31
陰,31
表,30
枠,30
歳,30
答,30
治,30
爽,30
巻,30
箱,30
代,30
張,30
短,30
章,29
迎,29
渡,29
舞,29
眩,29
辞,29
踏,29
弱,29
経,29
替,29
絆,28
困,28
最,28
罰,28
空,28
響,28
捨,28
跳,28
外,28
城,28
母,27
水,27
占,27
与,27
役,27
浮,27
村,27
部,27
秋,27
掘,27
店,27
冷,27
吐,26
速,26
連,26
再,26
段,26
羨,26
降,26
沁,26
学,26
眠,26
場,25
仲,25
繰,25
偉,25
内,25
支,25
盗,25
徳,25
荒,25
並,25
解,24
毛,24
甘,24
倍,24
誇,23
厳,23
揃,23
触,23
脳,23
撃,23
魂,23
狩,23
混,23
報,23
秒,22
謝,22
現,22
太,22
成,22
弾,22
等,22
鷹,22
命,22
危,21
面,21
尽,21
山,21
照,21
応,21
嘘,21
説,21
期,21
耐,21
扱,21
黙,21
辺,20
華,20
調,20
極,20
犬,20
望,20
星,20
構,20
飽,20
友,20
本,20
常,20
酒,19
挑,19
腕,19
巡,19
約,19
徐,19
加,19
掴,19
締,19
昼,19
済,19
暑,18
肩,18
詳,18
覗,18
圧,18
階,18
挟,18
奪,18
濃,18
王,18
号,18
湧,18
狂,18
火,18
釣,17
影,17
個,17
剥,17
暴,17
右,17
鼻,17
和,17
崩,17
控,17
氏,16
整,16
噂,16
転,16
折,16
登,16
塩,16
木,16
尖,16
客,16
襲,16
茶,16
幼,16
街,16
演,16
満,16
傷,15
魅,15
地,15
減,15
怪,15
晴,15
放,15
酷,15
失,15
芸,15
種,15
軽,15
奥,15
正,15
惹,15
絶,15
暗,15
三,14
端,14
薯,14
性,14
各,14
腰,14
震,14
左,14
卵,14
程,14
儚,14
殴,14
姐,14
酔,14
飾,14
隣,14
病,14
尻,14
首,14
雑,14
憧,13
罵,13
稼,13
労,13
斜,13
慌,13
海,13
被,13
莉,13
鯖,13
抑,13
燃,13
交,13
筋,13
賑,13
疑,13
未,13
働,13
捕,13
塊,13
彼,13
歪,13
丸,13
紛,13
座,13
罪,13
点,13
息,13
暖,13
舐,13
底,13
技,12
蝶,12
祭,12
堂,12
自,12
匂,12
包,12
闇,12
認,12
町,12
痺,12
静,12
天,12
歯,12
去,12
導,11
肉,11
血,11
捉,11
主,11
撫,11
際,11
要,11
発,11
撒,11
穴,11
古,11
専,11
汗,11
埋,11
善,11
蘇,11
払,11
炙,11
礼,11
汚,11
責,11
賢,11
溶,11
備,11
狐,11
芋,11
吸,11
攻,11
姫,11
捗,11
土,10
二,10
従,10
剣,10
紬,10
恵,10
悶,10
刻,10
削,10
某,10
潰,10
隊,10
独,10
勧,10
銃,10
鳥,10
訪,10
傾,10
妙,10
写,10
兎,10
励,10
吊,10
噛,10
民,10
誘,10
